record_id,doi,recovery_tier,fulltext_source_status,primary_empirical_status,focal_trait_coordinate_status,pollinator_component_status,antagonist_component_status,common_plant_outcome_status,repeated_context_status,total_selection_estimand_status,estimand_recovery_decision,reason_code,source_basis,notes
SCHPRISMA-000308,10.3390/plants14182885,FT3_OTHER_RETAINED,SOURCE_VERIFIED_OPEN_PRIMARY,YES,YES_FIG_MACULA_MULTIFUNCTIONAL_STRUCTURE,POLLINATING_FIG_WASP_MUTUALISM_BACKGROUND_AND_BROOD_ENVIRONMENT,YES_NONPOLLINATING_WASP_OVIPOSITION_AVOIDANCE,NO_COMMON_PLANT_FITNESS_SELECTION_ENDPOINT,FIG_PHASE_AND_WASP_GUILD_CONTEXT,MULTIFUNCTIONAL_STRUCTURE_ECOLOGY_NOT_TOTAL_SELECTION,NOT_PROMOTED,NO_COMMON_FITNESS_SELECTION_ESTIMAND,"Teixeira et al. 2025 Plants DOI 10.3390/plants14182885","Macula morphology, secretion, thermoregulation and non-pollinating wasp behavior are measured, but no repeated final plant-fitness selection effect on macula state is estimated."
SCHPRISMA-000324,,FT3_OTHER_RETAINED,SOURCE_VERIFIED_OPEN_DISSERTATION,YES,FLORAL_RESOURCE_REWARD_CONTEXT,YES_HUMMINGBIRD_RESOURCE_USE,NECTAR_THIEF_CONTEXT_REPORTED,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,COMMUNITY_RESOURCE_AVAILABILITY,RESOURCE_USE_NOT_SELECTION,NOT_PROMOTED,NO_COMMON_REPRODUCTIVE_OUTCOME,"Maruyama dissertation, Universidade Federal de Uberlandia","Floral resources and hummingbird use are the focus; nectar-thief context does not yield a common plant-fitness selection estimand."
SCHPRISMA-000325,,FT3_OTHER_RETAINED,SOURCE_VERIFIED_SECONDARY_OR_OVERLAPPING_REPORT,NO_INDEPENDENT_SOURCE_UNIT,FLORAL_SCENT,BEHAVIORAL_CONTEXT,ANT_BEHAVIOR_CONTEXT,NO_INDEPENDENT_COMMON_OUTCOME,OVERLAPS_FLORAL_VOLATILES_ANT_BEHAVIOR_PROGRAM,SECONDARY_OR_DUPLICATE_REPORT,NOT_PROMOTED,DUPLICATE_OR_SECONDARY_REPORT,"Floral scent in a whole-plant context / overlaps Willmer et al. 2009 programme","Retained for source tracing only; does not create an independent estimand record beyond the primary floral-volatiles/ant-behavior source."
SCHPRISMA-000327,10.1201/9780429455612-10,FT3_OTHER_RETAINED,SOURCE_VERIFIED_BOOK_CHAPTER,NO_PRIMARY_EMPIRICAL_STUDY,FLORAL_SCENT_PATHWAYS,SYNTHESIS_ONLY,SYNTHESIS_ONLY,NO_NEW_PRIMARY_OUTCOME,SYNTHESIS,NOT_EMPIRICAL_ESTIMAND,NOT_PROMOTED,NOT_PRIMARY_EMPIRICAL_STUDY,"Floral Scent Metabolic Pathways and Their Regulation, book chapter","Useful source-chasing synthesis but not a new primary H2 dataset."
SCHPRISMA-000337,10.1093/hr/uhae220,FT3_OTHER_RETAINED,SOURCE_VERIFIED_REVIEW,NO_PRIMARY_EMPIRICAL_STUDY,FLORAL_VOLATILE_CHEMISTRY,SYNTHESIS_ONLY,SYNTHESIS_ONLY,NO_NEW_PRIMARY_OUTCOME,REVIEW,NOT_EMPIRICAL_ESTIMAND,NOT_PROMOTED,NOT_PRIMARY_EMPIRICAL_STUDY,"Horticulture Research review on floral volatile benzenoids/phenylpropanoids","Review evidence cannot create an independent macro estimand row."
SCHPRISMA-000341,10.1111/pce.12314,FT3_OTHER_RETAINED,SOURCE_VERIFIED_REVIEW,NO_PRIMARY_EMPIRICAL_STUDY,FLORAL_VOLATILES,SYNTHESIS_ONLY,SYNTHESIS_ONLY,NO_NEW_PRIMARY_OUTCOME,REVIEW,NOT_EMPIRICAL_ESTIMAND,NOT_PROMOTED,NOT_PRIMARY_EMPIRICAL_STUDY,"Muhlemann et al. 2014 Plant Cell and Environment DOI 10.1111/pce.12314","Review of floral VOC biosynthesis and ecological function; source registry material only."
SCHPRISMA-000358,10.1046/j.1365-2311.2002.00438.x,FT3_OTHER_RETAINED,SOURCE_VERIFIED_NEW_PERSPECTIVES,NO_PRIMARY_EMPIRICAL_STUDY,INVASION_POLLINATION_CONTEXT,SYNTHESIS_OF_NATIVE_POLLINATION,SYNTHESIS_CONTEXT,NO_NEW_SHARED_TRAIT_OUTCOME,PERSPECTIVE,NOT_EMPIRICAL_ESTIMAND,NOT_PROMOTED,NOT_PRIMARY_EMPIRICAL_STUDY,"Ghazoul 2002 Ecological Entomology, New Perspectives","Perspective synthesizing invasion effects on pollination and seed production; not a new primary pollinator-antagonist trait dataset."
SCHPRISMA-000361,10.1007/s11101-019-09642-y,FT3_OTHER_RETAINED,SOURCE_VERIFIED_REVIEW,NO_PRIMARY_EMPIRICAL_STUDY,NECTAR_POLLEN_SECONDARY_METABOLITES,SYNTHESIS_ONLY,SYNTHESIS_ONLY,NO_NEW_PRIMARY_OUTCOME,REVIEW,NOT_EMPIRICAL_ESTIMAND,NOT_PROMOTED,NOT_PRIMARY_EMPIRICAL_STUDY,"Stevenson 2020 Phytochemistry Reviews DOI 10.1007/s11101-019-09642-y","Review of secondary metabolites for antagonists and mutualists; valuable source chasing, not an independent H2 row."
SCHPRISMA-000363,10.20944/preprints202511.1707.v1,FT3_OTHER_RETAINED,SOURCE_VERIFIED_PREPRINT_VERSION,NO_INDEPENDENT_SOURCE_UNIT,PETAL_TERPENE_SYNTHASES,NO_CONSUMER_RESPONSE_MEASURED,NO_CONSUMER_RESPONSE_MEASURED,NO_PLANT_FITNESS_OUTCOME,PREPRINT_OF_000364,SECONDARY_OR_DUPLICATE_REPORT,NOT_PROMOTED,DUPLICATE_OR_SECONDARY_REPORT,"Yuan et al. 2025 preprint; published as SCHPRISMA-000364","Duplicate/version relation resolved to published Horticulturae article."
SCHPRISMA-000364,10.3390/horticulturae12010010,FT3_OTHER_RETAINED,SOURCE_VERIFIED_OPEN_PRIMARY,YES,PETAL_TERPENE_SYNTHASES_AND_VOC_EMISSION,NO_POLLINATOR_RESPONSE_MEASURED,NO_ANTAGONIST_RESPONSE_MEASURED,NO_PLANT_FITNESS_OUTCOME,CIRCADIAN_VOC_AND_MOLECULAR_ASSAYS,MOLECULAR_BIOSYNTHESIS_NOT_CONSUMER_SELECTION,NOT_PROMOTED,NO_MEASURED_CONSUMER_COMPONENTS,"Yuan et al. 2026 Horticulturae DOI 10.3390/horticulturae12010010","Pollinator attraction and antagonist repellence are ecological framing; the study identifies TPS genes/enzymes and VOC emission, not consumer-mediated selection."
