trait,treatment,pollination_state,herbivory_state,treatment_n,beta,se,significance,source_table
plant_height,C+H,OPEN_POLLINATED,NATURAL_HERBIVORY,146,0.087,0.060,NS,Table_A2
plant_height,C+E,OPEN_POLLINATED,HERBIVORES_EXCLUDED,112,0.087,0.041,P_LT_0.05,Table_A2
plant_height,HP+H,HAND_POLLINATED,NATURAL_HERBIVORY,117,0.013,0.060,NS,Table_A2
plant_height,HP+E,HAND_POLLINATED,HERBIVORES_EXCLUDED,110,0.024,0.030,NS,Table_A2
number_of_flowers,C+H,OPEN_POLLINATED,NATURAL_HERBIVORY,146,0.44,0.061,P_LT_0.001,Table_A2
number_of_flowers,C+E,OPEN_POLLINATED,HERBIVORES_EXCLUDED,112,0.41,0.041,P_LT_0.001,Table_A2
number_of_flowers,HP+H,HAND_POLLINATED,NATURAL_HERBIVORY,117,0.34,0.061,P_LT_0.001,Table_A2
number_of_flowers,HP+E,HAND_POLLINATED,HERBIVORES_EXCLUDED,110,0.37,0.031,P_LT_0.001,Table_A2
corolla_size,C+H,OPEN_POLLINATED,NATURAL_HERBIVORY,146,0.055,0.058,NS,Table_A2
corolla_size,C+E,OPEN_POLLINATED,HERBIVORES_EXCLUDED,112,0.067,0.035,P_EQ_0.057,Table_A2
corolla_size,HP+H,HAND_POLLINATED,NATURAL_HERBIVORY,117,-0.023,0.057,NS,Table_A2
corolla_size,HP+E,HAND_POLLINATED,HERBIVORES_EXCLUDED,110,0.032,0.030,NS,Table_A2
spur_length,C+H,OPEN_POLLINATED,NATURAL_HERBIVORY,146,0.18,0.057,P_LT_0.01,Table_A2
spur_length,C+E,OPEN_POLLINATED,HERBIVORES_EXCLUDED,112,0.077,0.035,P_LT_0.05,Table_A2
spur_length,HP+H,HAND_POLLINATED,NATURAL_HERBIVORY,117,0.083,0.053,NS,Table_A2
spur_length,HP+E,HAND_POLLINATED,HERBIVORES_EXCLUDED,110,-0.042,0.029,NS,Table_A2
flowering_start,C+H,OPEN_POLLINATED,NATURAL_HERBIVORY,146,-0.0042,0.054,NS,Table_A2
flowering_start,C+E,OPEN_POLLINATED,HERBIVORES_EXCLUDED,112,0.094,0.031,P_LT_0.01,Table_A2
flowering_start,HP+H,HAND_POLLINATED,NATURAL_HERBIVORY,117,-0.16,0.056,P_LT_0.01,Table_A2
flowering_start,HP+E,HAND_POLLINATED,HERBIVORES_EXCLUDED,110,-0.066,0.028,P_LT_0.05,Table_A2
