canonical_trait_axis_id,trait_coordinate,population,total_direct_selection_path,significant_p_lt_0_05,source_table,source_note
Erysimum_000008_corolla_diameter,corolla diameter,Em01,-0.037,YES,Table_5,"Only Em01 is described in the Results as significant for corolla diameter; smaller corollas produced more seeds."
Erysimum_000008_corolla_diameter,corolla diameter,Em08,-0.033,NO,Table_5,"Numeric path coefficient present but not boldface."
Erysimum_000008_corolla_diameter,corolla diameter,Em23,0.022,NO,Table_5,"Numeric path coefficient present but not boldface."
Erysimum_000008_corolla_diameter,corolla diameter,Em25,-0.005,NO,Table_5,"Numeric path coefficient present but not boldface."
Erysimum_000008_corolla_tube_length,corolla tube length,Em01,0.087,YES,Table_5,"Results identify Em01 among the four populations with significant positive selection for deeper flowers."
Erysimum_000008_corolla_tube_length,corolla tube length,Em22,0.035,YES,Table_5,"Significant positive total direct selection."
Erysimum_000008_corolla_tube_length,corolla tube length,Em23,0.061,YES,Table_5,"Significant positive total direct selection."
Erysimum_000008_corolla_tube_length,corolla tube length,Em24,0.100,YES,Table_5,"Significant positive total direct selection."
Erysimum_000008_corolla_tube_length,corolla tube length,Em25,0.011,NO,Table_5,"Numeric path coefficient present but not boldface."
Erysimum_000008_corolla_tube_width,corolla tube width,Em01,0.058,YES,Table_5,"Wide corolla tubes selected in Em01."
Erysimum_000008_corolla_tube_width,corolla tube width,Em21,-0.079,YES,Table_5,"Narrow corolla tubes selected in Em21; opposite sign to Em01."
Erysimum_000008_corolla_tube_width,corolla tube width,Em23,0.041,NO,Table_5,"Numeric path coefficient present but not boldface."
Erysimum_000008_corolla_tube_width,corolla tube width,Em25,-0.001,NO,Table_5,"Numeric path coefficient present but not boldface."
Erysimum_000008_corolla_shape,corolla shape,Em01,-0.091,YES,Table_5,"Significant local total direct selection; opposite sign to several other populations."
Erysimum_000008_corolla_shape,corolla shape,Em21,0.149,YES,Table_5,"Significant local total direct selection."
Erysimum_000008_corolla_shape,corolla shape,Em22,0.208,YES,Table_5,"Significant local total direct selection."
Erysimum_000008_corolla_shape,corolla shape,Em23,0.256,YES,Table_5,"Significant local total direct selection."
Erysimum_000008_corolla_shape,corolla shape,Em25,0.066,YES,Table_5,"Significant local total direct selection."
