axis,cluster,mechanism,attribution_design,n_cases,repeated_axis,point_estimate_sign_switch,reversal_evidence_level,supported_positive_contexts,supported_negative_contexts,uncertainty_unresolved_contexts,contexts
Gymnadenia_000030_phenology,Gymnadenia_conopsea_agent_selection,MIXED_POLLINATION_X_HERBIVORY,EXPERIMENTAL_FACTORIAL,4,TRUE,TRUE,POINT_REVERSAL_BIDIRECTIONAL_SUPPORTED,1,2,0,OPEN_POLLINATED_NATURAL_HERBIVORY;OPEN_POLLINATED_HERBIVORES_EXCLUDED;HAND_POLLINATED_NATURAL_HERBIVORY;HAND_POLLINATED_HERBIVORES_EXCLUDED
Gymnadenia_000030_spur_length,Gymnadenia_conopsea_agent_selection,MIXED_POLLINATION_X_HERBIVORY,EXPERIMENTAL_FACTORIAL,4,TRUE,TRUE,POINT_REVERSAL_ONE_SIDE_SUPPORTED,2,0,0,OPEN_POLLINATED_NATURAL_HERBIVORY;OPEN_POLLINATED_HERBIVORES_EXCLUDED;HAND_POLLINATED_NATURAL_HERBIVORY;HAND_POLLINATED_HERBIVORES_EXCLUDED
Trifolium_000391_flowering_time,Trifolium_repens_selection_program,POLLINATION_SUPPLEMENTATION,EXPERIMENTAL_SINGLE_FACTOR_WITH_DEFENCE_STRATUM,2,TRUE,TRUE,POINT_REVERSAL_ONE_SIDE_SUPPORTED,1,0,0,HCN_POSITIVE_OPEN_POLLINATION;HCN_POSITIVE_SUPPLEMENTAL_POLLINATION
Erysimum_000008_corolla_diameter,Erysimum_mediohispanicum_selection_mosaic,SPATIAL_MULTI_AGENT_MOSAIC,OBSERVATIONAL_SPATIAL_MULTI_AGENT,4,TRUE,TRUE,POINT_REVERSAL_ONE_SIDE_SUPPORTED,0,1,0,Em01;Em08;Em23;Em25
Erysimum_000008_corolla_tube_width,Erysimum_mediohispanicum_selection_mosaic,SPATIAL_MULTI_AGENT_MOSAIC,OBSERVATIONAL_SPATIAL_MULTI_AGENT,4,TRUE,TRUE,POINT_REVERSAL_BIDIRECTIONAL_SUPPORTED,1,1,0,Em01;Em21;Em23;Em25
Erysimum_000008_corolla_shape,Erysimum_mediohispanicum_selection_mosaic,SPATIAL_MULTI_AGENT_MOSAIC,OBSERVATIONAL_SPATIAL_MULTI_AGENT,5,TRUE,TRUE,POINT_REVERSAL_BIDIRECTIONAL_SUPPORTED,4,1,0,Em01;Em21;Em22;Em23;Em25
Brassica_000775_benzaldehyde,Brassica_rapa_Knauer_selection_program,CONSUMER_IDENTITY_COMPOSITION,EXPERIMENTAL_CONSUMER_REGIME,3,TRUE,TRUE,POINT_REVERSAL_BOTH_SIDES_UNSUPPORTED,0,0,0,BUMBLE_BEE;BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY;CABBAGE_BUTTERFLY
Brassica_000775_phenylacetaldehyde,Brassica_rapa_Knauer_selection_program,CONSUMER_IDENTITY_COMPOSITION,EXPERIMENTAL_CONSUMER_REGIME,3,TRUE,TRUE,POINT_REVERSAL_ONE_SIDE_SUPPORTED,1,0,0,BUMBLE_BEE;BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY;CABBAGE_BUTTERFLY
Brassica_000775_1_butene_4_isothiocyanate,Brassica_rapa_Knauer_selection_program,CONSUMER_IDENTITY_COMPOSITION,EXPERIMENTAL_CONSUMER_REGIME,3,TRUE,TRUE,POINT_REVERSAL_ONE_SIDE_SUPPORTED,0,1,0,BUMBLE_BEE;BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY;CABBAGE_BUTTERFLY
Brassica_000775_p_anisaldehyde,Brassica_rapa_Knauer_selection_program,CONSUMER_IDENTITY_COMPOSITION,EXPERIMENTAL_CONSUMER_REGIME,3,TRUE,TRUE,POINT_REVERSAL_BOTH_SIDES_UNSUPPORTED,0,0,0,BUMBLE_BEE;BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY;CABBAGE_BUTTERFLY
Lobelia_000659_anther_nectary_distance,Lobelia_cardinalis_Bartkowska_selection_program,POLLINATION_SUPPLEMENTATION,EXPERIMENTAL_SINGLE_FACTOR,2,TRUE,TRUE,POINT_REVERSAL_BOTH_SIDES_UNSUPPORTED,0,0,0,NATURAL;HAND_SUPPLEMENTED
Lobelia_000659_flower_size,Lobelia_cardinalis_Bartkowska_selection_program,POLLINATION_SUPPLEMENTATION,EXPERIMENTAL_SINGLE_FACTOR,2,TRUE,TRUE,POINT_REVERSAL_BOTH_SIDES_UNSUPPORTED,0,0,0,NATURAL;HAND_SUPPLEMENTED
Lobelia_000659_daily_floral_display,Lobelia_cardinalis_Bartkowska_selection_program,POLLINATION_SUPPLEMENTATION,EXPERIMENTAL_SINGLE_FACTOR,2,TRUE,TRUE,POINT_REVERSAL_BOTH_SIDES_UNSUPPORTED,0,0,0,NATURAL;HAND_SUPPLEMENTED
Helianthus_000673_ray_length,Helianthus_annuus_texanus_Mitchell_selection_program,LANDSCAPE_CROP_PROXIMITY,OBSERVATIONAL_LANDSCAPE,2,TRUE,TRUE,POINT_REVERSAL_UNCERTAINTY_UNRESOLVED,0,0,2,FAR_FROM_CROP_MULTIYEAR_SITES1_2;NEAR_CROP_MULTIYEAR_SITES1_2
