trait_axis_id,cluster_id,source_id,plant_taxon,trait_coordinate,trait_domain,function_1,function_2,function_pair_family,shared_coordinate_status,pollinator_guild,antagonist_guild,antagonist_role_status,interaction_timing,trait_manipulated,consumer_context_manipulated,common_fitness_endpoint,multilevel_trait_surface,conflict_detected,alignment_detected,one_sided_or_null_detected,context_shift_detected,compromise_detected,cancellation_detected,identification_level,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,eligibility_reason,source_verification_state,source_basis,coding_status,notes
Erysimum_000008_flower_number,Erysimum_mediohispanicum_selection_mosaic,SCHPRISMA-000008,Erysimum mediohispanicum,flower number,MORPHOLOGY,pollinator-mediated selection,ungulate-herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,mixed pollinator functional groups,vertebrate grazer,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_SELECTION_GEOMETRY,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Trait is measured across eight populations with both selective-agent regimes; exact agent-specific sign requires table-level recode.",SOURCE_VERIFIED_PRIMARY,"Gomez et al. 2009 Ecological Monographs; primary abstract/full-text audit",AXIS_FROZEN_OUTCOME_PARTIAL,"Flower number selected similarly in most populations; exact pollinator-versus-herbivore decomposition not yet frozen."
Erysimum_000008_stalk_height,Erysimum_mediohispanicum_selection_mosaic,SCHPRISMA-000008,Erysimum mediohispanicum,stalk height,MORPHOLOGY,pollinator-mediated selection,ungulate-herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,mixed pollinator functional groups,vertebrate grazer,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_SELECTION_GEOMETRY,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Trait is measured across eight populations with both selective-agent regimes; exact agent-specific sign requires table-level recode.",SOURCE_VERIFIED_PRIMARY,"Gomez et al. 2009 Ecological Monographs; primary abstract/full-text audit",AXIS_FROZEN_OUTCOME_PARTIAL,"Stalk height selected similarly in most populations; exact component directions remain unresolved."
Erysimum_000008_corolla_diameter,Erysimum_mediohispanicum_selection_mosaic,SCHPRISMA-000008,Erysimum mediohispanicum,corolla diameter,MORPHOLOGY,pollinator-mediated selection,ungulate-herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,mixed pollinator functional groups,vertebrate grazer,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_SELECTION_GEOMETRY,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Trait is selected only in some populations, establishing context dependence but not yet the agent-specific conflict sign.",SOURCE_VERIFIED_PRIMARY,"Gomez et al. 2009 Ecological Monographs",AXIS_FROZEN_OUTCOME_PARTIAL,"Spatially conditional selection."
Erysimum_000008_corolla_tube_length,Erysimum_mediohispanicum_selection_mosaic,SCHPRISMA-000008,Erysimum mediohispanicum,corolla tube length,MORPHOLOGY,pollinator-mediated selection,ungulate-herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,mixed pollinator functional groups,vertebrate grazer,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_SELECTION_GEOMETRY,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Trait is selected only in some populations, establishing context dependence but not yet the agent-specific conflict sign.",SOURCE_VERIFIED_PRIMARY,"Gomez et al. 2009 Ecological Monographs",AXIS_FROZEN_OUTCOME_PARTIAL,"Spatially conditional selection."
Erysimum_000008_corolla_tube_width,Erysimum_mediohispanicum_selection_mosaic,SCHPRISMA-000008,Erysimum mediohispanicum,corolla tube width,MORPHOLOGY,pollinator-mediated selection,ungulate-herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,mixed pollinator functional groups,vertebrate grazer,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_SELECTION_GEOMETRY,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Trait shows divergent selection across localities; component attribution remains to be frozen.",SOURCE_VERIFIED_PRIMARY,"Gomez et al. 2009 Ecological Monographs",AXIS_FROZEN_OUTCOME_PARTIAL,"Contrasting directions among localities establish context switching."
Erysimum_000008_corolla_shape,Erysimum_mediohispanicum_selection_mosaic,SCHPRISMA-000008,Erysimum mediohispanicum,corolla shape,MORPHOLOGY,pollinator-mediated selection,ungulate-herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,mixed pollinator functional groups,vertebrate grazer,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_SELECTION_GEOMETRY,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Trait shows divergent selection across localities; component attribution remains to be frozen.",SOURCE_VERIFIED_PRIMARY,"Gomez et al. 2009 Ecological Monographs",AXIS_FROZEN_OUTCOME_PARTIAL,"Contrasting directions among localities establish context switching."
Gymnadenia_000030_phenology,Gymnadenia_conopsea_agent_selection,SCHPRISMA-000030,Gymnadenia conopsea,flowering phenology,PHENOLOGY,pollinator-mediated female fitness,herbivore-mediated female fitness,MUTUALIST_ANTAGONIST,SAME_COORDINATE,insect pollinators,herbivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,YES,NO,NO,YES,UNRESOLVED,YES,AGENT_MEDIATED_SELECTION,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,ELIGIBLE_DIRECTIONAL_SUMMARY,YES,"Factorial agent manipulation identifies opposite mediated selection on flowering time on one female-fitness scale.",SOURCE_VERIFIED_PRIMARY,"Sletvold et al. 2015 Ecology DOI 10.1890/14-0119.1; Appendix A numeric extraction pending",OUTCOME_CODED,"Pollinators favor later flowering; herbivores favor earlier flowering; similar additive strength yields little/no net phenology selection."
Gymnadenia_000030_floral_display,Gymnadenia_conopsea_agent_selection,SCHPRISMA-000030,Gymnadenia conopsea,floral display,MORPHOLOGY,pollinator-mediated female fitness,herbivore-mediated female fitness,MUTUALIST_ANTAGONIST,SAME_COORDINATE,insect pollinators,herbivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,AGENT_MEDIATED_SELECTION,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,"The study includes floral display but current registered source summaries do not freeze the direction for each agent.",SOURCE_VERIFIED_PRIMARY,"Sletvold et al. 2015 Ecology; detailed trait result pending table-level recode",AXIS_FROZEN_OUTCOME_PENDING,"Retained to avoid outcome-driven trait selection."
Gymnadenia_000030_spur_length,Gymnadenia_conopsea_agent_selection,SCHPRISMA-000030,Gymnadenia conopsea,spur length,MORPHOLOGY,pollinator-mediated female fitness,herbivore-mediated female fitness,MUTUALIST_ANTAGONIST,SAME_COORDINATE,insect pollinators,herbivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,NO,YES,NO,YES,UNRESOLVED,UNRESOLVED,AGENT_MEDIATED_SELECTION,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Factorial agent manipulation shows both agents select the same trait direction.",SOURCE_VERIFIED_PRIMARY,"Sletvold et al. 2015 Ecology DOI 10.1890/14-0119.1",OUTCOME_CODED,"Both pollinators and herbivores select longer spurs: reinforcement rather than conflict."
Cucurbita_000031_fragrance,Cucurbita_pepo_fragrance,SCHPRISMA-000031,Cucurbita pepo var. texana,enhanced floral fragrance,CHEMICAL_SIGNAL,pollinator attraction,florivore attraction and reproductive loss,MUTUALIST_ANTAGONIST,SAME_COORDINATE,bee pollinators,florivorous beetles,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,YES,YES,YES,NO,NO,NO,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,MANIPULATED_LINKED_DIRECTIONAL,ELIGIBLE_SAME_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,"The same fragrance contrast is manipulated; florivore attraction and seed loss increase but pollinator attraction does not.",SOURCE_VERIFIED_PRIMARY,"Theis & Adler 2012 Ecology DOI 10.1890/11-0825.1",OUTCOME_CODED,"A one-sided ecological cost, not an identified pollinator-antagonist conflict or alignment."
