trait,estimand_role,context_or_contrast,beta_or_delta,se,significance,fitness_measure,trait_standardization,source_table,doi,source_id,programme_id
number_of_inflorescences,TOTAL_SELECTION,CLIPPED,0.20,0.07,P_LT_0.01,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
number_of_inflorescences,TOTAL_SELECTION,CONTROL,0.47,0.07,P_LT_0.001,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
number_of_inflorescences,MEDIATED_CONTRAST,DAMAGE_TREATMENT_X_TRAIT,0.27,0.10,P_LT_0.01,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
number_of_inflorescences,MEDIATED_CONTRAST,POLLINATION_TREATMENT_X_TRAIT,-0.01,0.05,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
number_of_inflorescences,MEDIATED_CONTRAST,POLLINATION_X_DAMAGE_X_TRAIT,-0.12,0.12,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
inflorescence_height,TOTAL_SELECTION,CLIPPED,0.22,0.06,P_LT_0.001,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
inflorescence_height,TOTAL_SELECTION,CONTROL,0.33,0.09,P_LT_0.001,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
inflorescence_height,MEDIATED_CONTRAST,DAMAGE_TREATMENT_X_TRAIT,0.11,0.11,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
inflorescence_height,MEDIATED_CONTRAST,POLLINATION_TREATMENT_X_TRAIT,0.00,0.06,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
inflorescence_height,MEDIATED_CONTRAST,POLLINATION_X_DAMAGE_X_TRAIT,0.11,0.13,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
flowering_start_time,TOTAL_SELECTION,CLIPPED,-0.28,0.06,P_LT_0.001,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
flowering_start_time,TOTAL_SELECTION,CONTROL,-0.03,0.08,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
flowering_start_time,MEDIATED_CONTRAST,DAMAGE_TREATMENT_X_TRAIT,0.25,0.10,P_LT_0.05,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
flowering_start_time,MEDIATED_CONTRAST,POLLINATION_TREATMENT_X_TRAIT,-0.07,0.06,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
flowering_start_time,MEDIATED_CONTRAST,POLLINATION_X_DAMAGE_X_TRAIT,0.01,0.12,NS,relative_total_seed_production,WITHIN_TREATMENT_Z_SCORE,Table_2,10.1093/aob/mcx026,SCHPRISMA-000284,Lythrum_salicaria_Thomsen_selection_program
