canonical_trait_axis_id,cluster_id,plant_taxon,trait_coordinate,trait_domain,canonical_geometry,antagonist_role_status,antagonist_guild_family,source_count,source_ids,h2_lane,h2_priority,context_case_materialization,context_case_unit,notes
Gentiana_lutea_color_axis,Gentiana_lutea_color_program,Gentiana lutea,flower color yellow-to-orange,CHEMICAL_SIGNAL,CONTEXT_VARIABLE,NET_ANTAGONISTIC,SEED_PREDATOR,2,SCHPRISMA-000054;SCHPRISMA-000710,H2A_GEOMETRY_SWITCH_CONFIRMED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Erysimum_000008_corolla_diameter,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla diameter,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000008,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Erysimum_000008_corolla_shape,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla shape,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000008,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Erysimum_000008_corolla_tube_length,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla tube length,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000008,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Erysimum_000008_corolla_tube_width,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla tube width,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000008,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Polygala_000334_flower_size,Polygala_vayredae_robbing_program,Polygala vayredae,flower size,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,NECTAR_ROBBER,1,SCHPRISMA-000334,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Polygala_000334_nectar_reward,Polygala_vayredae_robbing_program,Polygala vayredae,nectar reward / nectar gland dimensions,REWARD,UNRESOLVED,NET_ANTAGONISTIC,NECTAR_ROBBER,1,SCHPRISMA-000334,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Primula_farinosa_000167_corolla_tube_width,Primula_farinosa_scape_program,Primula farinosa,corolla tube width,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,SEED_PREDATOR,1,SCHPRISMA-000167,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Primula_farinosa_000167_flower_number,Primula_farinosa_scape_program,Primula farinosa,flower number,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,SEED_PREDATOR,1,SCHPRISMA-000167,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Primula_farinosa_000167_petal_size,Primula_farinosa_scape_program,Primula farinosa,petal size,MORPHOLOGY,UNRESOLVED,NET_ANTAGONISTIC,SEED_PREDATOR,1,SCHPRISMA-000167,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Trifolium_000391_flowering_time,Trifolium_repens_selection_program,Trifolium repens,flowering time,PHENOLOGY,UNRESOLVED,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000391,H2C_CONTEXT_PRESENT_GEOMETRY_UNRESOLVED,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Blueberry_000076_corolla_access,Blueberry_cultivar_role_switch_program,Vaccinium corymbosum cultivars,corolla access geometry,MORPHOLOGY,ROLE_BOUNDARY,ROLE_DEPENDENT,NECTAR_ROBBER,1,SCHPRISMA-000076,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
