record_id,screening_source_phase,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,trait_axis_action,source_verification_state,eligibility_rationale,outcome_coding_status
SCHPRISMA-000202,V17_BATCH3_REMAINDER_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Floral display and reproductive-effort variables are linked to hummingbird pollination, nectar robbing and reproduction across edge-gap contexts; individual trait axes must be separated.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000208,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Calyx length and other display traits have pollinator- and seed-predator-mediated selection on relative seed set; each trait must be separated before outcome coding.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000209,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Floral pigmentation and correlated morphology are linked to pollinator and seed-predator selection in two populations on fecundity; axes require separation.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000213,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Flowering stalk height is one declared coordinate with pollination and seed-predation components linked to seed maturation across populations.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000214,V17_BATCH3_REMAINDER_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Flowering display is evaluated against hummingbird visitation, nectar robbery and reproductive consequences across disturbance patch types.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000217,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,BOUNDARY_BENEFIT_COST_COUPLED,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_COUPLED_ROLE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Greya visitors include pollinating floral parasites; pollination benefit and seed-parasitism cost are coupled in the same interaction architecture rather than fixed opposing agents.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000233,V17_BATCH3_REMAINDER_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"A floral odor blend is linked to pollinator preference, seed predation and a common reproductive endpoint across an elevational/species panel.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000242,V17_BATCH3_REMAINDER_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SPLIT_FOR_H4,SOURCE_VERIFIED_FULLTEXT,"Ant density is ecological context rather than a measured response to the focal floral symmetry/display coordinate, so two function-linked responses on A are not identified.",NOT_CODED
SCHPRISMA-000246,V17_BATCH3_REMAINDER_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Fragrance attracts weaver ants that disrupt pollinator visits; the current design identifies an indirect antagonist-mediated pollination cost, not two focal functions independently responding to the fragrance axis.",NOT_CODED
SCHPRISMA-000253,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Flowering schedule and display differences between congeners are linked to pollination, flower/seed predation and fruit production; phenology/display axes require separation.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000259,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_SAME_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Flower height is linked to nectar-robbing access, pollinator behavior, pollination success and fruit/seed outcomes; trait variation is observational but the same coordinate is shared.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000261,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_SAME_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Flowering stem height is one display axis with pollination success, pollen limitation, seed predation and female reproductive success measured on the same population.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000277,V15_BATCH3_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Floral display size is jointly linked to visitor rate/pollination, seed-predator damage and seed set along a spatial elevation/invasion gradient.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000287,V17_BATCH3_REMAINDER_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Corolla width, herkogamy, display and mating-system traits are linked to pollination and floral parasitism across populations; trait axes must be separated.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000312,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Flower size and flower number have pollinator-, nectar-robber- and florivore-linked selection with common reproductive output; axes require separation.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000323,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Spotted versus spotless floral morph is one declared coordinate with pollinator preference, florivore ovule predation and reproductive fitness across site contexts.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000330,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Corolla tube length and nectar reward are linked to legitimate visitation, nectar robbing and seed production; separate axes are required.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000334,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Corolla morphology, nectar gland size and nectar reward predict legitimate pollination, robbery and female fitness across three populations; axes require separation.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000336,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Corolla tube and reward traits are linked to pollinator assemblage, nectar robbing and fruit/seed reproduction; separate axes must be frozen.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000352,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Individual- and plot-level floral chemodiversity is linked to pollinator and florivore visitor groups plus plant fitness; scale-specific trait axes require separation.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000353,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Flower number and display centrality are linked to hummingbird pollinators, nectar robbers/florivores and viable seed production; cluster dependence with SCHPRISMA-000312 must be retained.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000354,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Robbery-damaged versus undamaged flower state is generated by the exploiter itself; nectar robbing is the antecedent cause of A rather than an independent response to the resulting A.",NOT_CODED
SCHPRISMA-000376,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Floral exsertion and lower-lip size have pollen-load/pollination and seed-predation components tied to final seed production across fourteen populations.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000380,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,INELIGIBLE_MULTIVARIATE_UNRESOLVED,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_MULTIVARIATE_UNRESOLVED,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"The common-garden contrast contains a bundle of attractive and defensive traits with pollinator and robbery regimes; no single shared coordinate is yet isolated.",NOT_CODED
SCHPRISMA-000389,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,INELIGIBLE_MULTIVARIATE_UNRESOLVED,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_MULTIVARIATE_UNRESOLVED,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Morphology, reward and resistance-associated traits are correlated with legitimate visitors, nectar robbing and reproductive components, but one shared axis is not yet identified.",NOT_CODED
SCHPRISMA-000391,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Factorial herbivore suppression and pollination treatments estimate selection on multiple reproductive/floral traits on reproductive fitness; trait axes require separation.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000393,V19_BATCH4_HIGH_INFORMATION_FULLTEXT,INELIGIBLE_MULTIVARIATE_UNRESOLVED,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_MULTIVARIATE_UNRESOLVED,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Experimental evolution changes defence and floral-trait plasticity under herbivory/pollination regimes, but no single shared trait coordinate is identified.",NOT_CODED
