metric_id,source_component,context_scope,value,value_2,n,statistic,p_value,interpretation,model_case_status
morph_frequency_2001,main_text,69_populations,0.19,0_to_1,69,median_and_range,,short_morph_frequency_median_19_percent_range_0_to_100,PROGRAMME_SUMMARY_ONLY
relative_fitness_significant_short_2000,Fig2_TableS2,2000,14,37,37,count_significant_short_gt_long,,short_morph_significantly_higher_fitness_in_14_of_37_populations,PROGRAMME_SUMMARY_ONLY
relative_fitness_significant_short_2001,Fig2_TableS2,2001,18,46,46,count_significant_short_gt_long,,short_morph_significantly_higher_fitness_in_18_of_46_populations,PROGRAMME_SUMMARY_ONLY
relative_fitness_significant_long_2001,Fig2_TableS2,2001,2,46,46,count_significant_long_gt_short,,long_morph_significantly_higher_fitness_in_2_populations,PROGRAMME_SUMMARY_ONLY
grazing_long_2000,main_text_agents,2000,0.209,0.039,37,long_vs_short_proportion_grazed,P_LT_0.0001,long_morph_grazing_20.9_percent_vs_short_3.9_percent,PROGRAMME_SUMMARY_ONLY
grazing_long_2001,main_text_agents,2001,0.182,0.039,46,long_vs_short_proportion_grazed,P_LT_0.0001,long_morph_grazing_18.2_percent_vs_short_3.9_percent,PROGRAMME_SUMMARY_ONLY
fitness_vs_grazing_2000,main_text_agents,2000,1.193,0.17,37,linear_regression_b_and_R2,P_EQ_0.007,relative_fitness_short_increases_with_grazing_intensity,PROGRAMME_SUMMARY_ONLY
fitness_vs_grazing_2001,main_text_agents,2001,2.164,0.59,46,linear_regression_b_and_R2,P_LT_0.0001,relative_fitness_short_increases_with_grazing_intensity,PROGRAMME_SUMMARY_ONLY
fitness_vs_grazing_5pop_5yr,main_text_agents,5_populations_x_5_years,1.767,0.22,25,linear_regression_b_and_R2,P_EQ_0.010,relative_fitness_short_increases_with_grazing_intensity_across_population_years,PROGRAMME_SUMMARY_ONLY
control_relative_fitness_range,Fig4_factorial,4_populations,-0.580,1.679,4,min_and_max_log_relative_fitness,,control_selection_ranges_from_long_advantage_to_short_advantage,PROGRAMME_SUMMARY_ONLY
grazer_exclusion_effect_short_fitness,Fig4_factorial,4_populations,9.5,,4,F_1_9,P_EQ_0.01,grazer_exclusion_reduces_relative_fitness_of_short_morph,PROGRAMME_SUMMARY_ONLY
hand_pollination_effect_short_fitness,Fig4_factorial,4_populations,5.7,,4,F_1_9,P_EQ_0.04,hand_pollination_increases_relative_fitness_of_short_morph,PROGRAMME_SUMMARY_ONLY
grazer_x_pollination_interaction,Fig4_factorial,4_populations,0.6,,4,F_1_9,P_EQ_0.46,no_detected_factorial_interaction_on_relative_fitness,PROGRAMME_SUMMARY_ONLY
morph_change_24pop_2006_2012,main_text_evolution,24_populations,19,5,24,increase_vs_decrease_counts,P_EQ_0.0002,short_morph_increased_in_19_and_decreased_in_5_populations,PROGRAMME_SUMMARY_ONLY
morph_change_mean_rate,main_text_evolution,24_populations,0.01,per_year,24,mean_change_rate,,short_morph_increased_average_1_percent_per_year,PROGRAMME_SUMMARY_ONLY
fitness_vs_evolution_5pop,main_text_evolution,5_populations,0.90,,5,Spearman_rs,P_EQ_0.037,mean_relative_fitness_predicts_subsequent_morph_frequency_change,PROGRAMME_SUMMARY_ONLY
exclosure_short_frequency,Fig5_evolution,9_populations,0.48,0.36,9,mean_2004_to_2012,P_EQ_0.013,short_morph_frequency_declines_under_grazer_exclusion,PROGRAMME_AGGREGATE_EVOLUTIONARY_RESPONSE
control_short_frequency,Fig5_evolution,9_populations,0.50,0.48,9,mean_2004_to_2012,P_EQ_0.891,short_morph_frequency_stable_in_control_plots,PROGRAMME_AGGREGATE_EVOLUTIONARY_RESPONSE
