cluster_id,source_id,plant_taxon,trait_domain,trait_subclass,function_pair_family,antagonist_involved,abiotic_function_involved,shared_coordinate_status,trait_manipulated,consumer_context_manipulated,common_fitness_endpoint,multilevel_trait_surface,spatial_replication,temporal_replication,conflict_detected,alignment_detected,context_shift_detected,compromise_detected,cancellation_detected,source_pattern_class,evidence_level,confidence,coding_generation,notes
Dalechampia_shared_bract,Dalechampia_existing_SCH_spine,Dalechampia spp.,MORPHOLOGY,showy bract size,MUTUALIST_ANTAGONIST,YES,NO,SAME_COORDINATE,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPPOSING_DIRECTION,case_level_selection_surface,high,LEGACY_PATTERN_SEED,"Opposing pollination benefit and seed-predation exposure on the bract axis; combined fitness tends toward stabilizing selection."
Abelia_orientation,Yu_2021_10.1111/plb.13197,Abelia x grandiflora,ORIENTATION,floral orientation,MUTUALIST_ABIOTIC,NO,YES,SAME_COORDINATE,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,SHARED_TRACKING_NO_CONFLICT,observational_multifunctionality,medium,LEGACY_PATTERN_SEED,"Horizontal orientation improves pollination-related performance; current evidence does not support opposing optima relative to rain protection."
Platycodon_orientation,Nakata_2022_10.1111/plb.13414,Platycodon grandiflorus,ORIENTATION,flower angle,MUTUALIST_ABIOTIC,NO,YES,SAME_COORDINATE,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,SHARED_TRACKING_NO_CONFLICT,experimental_trait_manipulation,medium,LEGACY_PATTERN_SEED,"Horizontal orientation can improve pollen transfer and rain-damage avoidance, providing an aligned multifunctionality control."
Polemonium_flower_size_drought,Galen_2000_10.1086/303373,Polemonium viscosum,MORPHOLOGY,flower size,REPRODUCTION_ABIOTIC,NO,YES,SAME_COORDINATE,NO,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_WEIGHT_SHIFT,experimental_context_manipulation,medium,LEGACY_PATTERN_SEED,"Water availability changes the demographic consequences of floral investment."
Cucurbita_fragrance_context,Theis_Adler_2012,Cucurbita pepo,CHEMICAL_SIGNAL,floral fragrance,MUTUALIST_ANTAGONIST,YES,NO,SAME_COORDINATE,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_WEIGHT_SHIFT,experimental_context_manipulation,medium,LEGACY_PATTERN_SEED,"Enhanced fragrance increases florivore attraction and reduces seed production without a detected pollinator-attraction increase."
Primula_display_morph,Primula_farinosa_program,Primula farinosa,DISPLAY_STATE,display morph/state,MUTUALIST_ANTAGONIST,YES,NO,SAME_COORDINATE,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_WEIGHT_SHIFT,longitudinal_manipulation_program,medium,LEGACY_PATTERN_SEED,"Opposing pressures can maintain alternative display states across space/time rather than one continuous intermediate optimum."
Brassica_evolutionary_redirection,Brassica_rapa_multigeneration,Brassica rapa,MULTIVARIATE_OR_COMPOSITE,multifunctional floral phenotype,MUTUALIST_ANTAGONIST,YES,NO,COMPOSITE_OR_MULTIVARIATE,NO,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_WEIGHT_SHIFT,multigeneration_experiment,medium,LEGACY_PATTERN_SEED,"Adding herbivory redirects pollinator-driven evolutionary trajectories; not yet a strict single-coordinate case."
Castilleja_calyx,Cariveau_2004_10.1111/j.0030-1299.2004.12641.x,Castilleja linariaefolia,MORPHOLOGY,calyx length,MUTUALIST_ANTAGONIST,YES,NO,SAME_COORDINATE,NO,UNRESOLVED,YES,NO,UNRESOLVED,UNRESOLVED,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPPOSING_DIRECTION,observational_trait_path_on_common_seed_fitness,high,LEGACY_PATTERN_SEED,"Calyx length experiences opposing pollination- and seed-predation-linked selection on female seed fitness."
Pedicularis_exsertion,Sun_Armbruster_Huang_2016_10.1093/aob/mcw097,Pedicularis rex,MORPHOLOGY,corolla exsertion,MUTUALIST_ANTAGONIST,YES,NO,SAME_COORDINATE,NO,UNRESOLVED,UNRESOLVED,NO,YES,UNRESOLVED,YES,NO,YES,UNRESOLVED,UNRESOLVED,OPPOSING_DIRECTION,observational_multi_population_trait_fitness_paths,high,LEGACY_PATTERN_SEED,"Greater exsertion tracks more pollen arrival and more seed-predator attack; antagonist weighting varies among populations."
Peucedanum_allocation,Kudo_Shibata_2021_2025,Peucedanum multivittatum,ALLOCATION,perfect-versus-male flower allocation,REPRODUCTIVE_ALLOCATION_ANTAGONIST,YES,NO,NOT_STRICT_SHARED_COORDINATE,NO,UNRESOLVED,UNRESOLVED,NO,YES,YES,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_WEIGHT_SHIFT,multi_year_multi_population_selection_mosaic,high,LEGACY_PATTERN_SEED,"Selection on perfect-flower production changes with predation pressure, but the system is not yet an undifferentiated shared-coordinate case."
Nicotiana_shared_receiver,Kessler_2015_10.7554/eLife.07641,Nicotiana attenuata,MULTIVARIATE_OR_COMPOSITE,benzylacetone/reward attraction coordinate,MUTUALIST_ANTAGONIST,YES,NO,COMPOSITE_OR_MULTIVARIATE,YES,UNRESOLVED,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,SHARED_TRACKING_CONFLICT_CANDIDATE,experimental_coordinate_manipulation,high,LEGACY_PATTERN_SEED,"Manipulated attraction/reward coordinates affect pollinator service and hawkmoth oviposition, but antagonist loss is not on a common reproductive endpoint."
Silene_petals_sexual_function,Zhou_2020_10.1111/evo.13965,Silene stellata,MORPHOLOGY,petal dimensions,SEXUAL_FUNCTION_ANTAGONIST,YES,NO,SAME_COORDINATE,NO,UNRESOLVED,UNRESOLVED,NO,UNRESOLVED,UNRESOLVED,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPPOSING_DIRECTION,sex_specific_selection_analysis,high,LEGACY_PATTERN_SEED,"Male and female fitness components show opposite-sign selection on petal dimensions in a pollinating-seed-predator system."
Erysimum_herbivory_selection,Erysimum_2003_10.1086/376574,Erysimum mediohispanicum,MULTIVARIATE_OR_COMPOSITE,floral and plant morphology,MUTUALIST_ANTAGONIST,YES,NO,COMPOSITE_OR_MULTIVARIATE,NO,YES,UNRESOLVED,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_WEIGHT_SHIFT,field_environmental_manipulation,high,LEGACY_PATTERN_SEED,"Pollinator-mediated selection is present under herbivore exclusion and disappears under herbivory, demonstrating context dependence."
Ipomopsis_sequential_selection,Campbell_et_al_2022_10.1086/716740,Ipomopsis spp. and hybrids,MULTIVARIATE_OR_COMPOSITE,multivariate floral trait combination,MUTUALIST_ANTAGONIST,YES,NO,COMPOSITE_OR_MULTIVARIATE,NO,UNRESOLVED,UNRESOLVED,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,SEQUENTIAL_FILTER_COMBINATION,common_garden_multistage_selection_analysis,high,LEGACY_PATTERN_SEED,"Pollination and seed-predation selection act at sequential fitness stages; not a simultaneous shared-coordinate estimand."
Satyrium_spur_gender_compromise,Ellis_Johnson_2010_10.1086/656351,Satyrium longicauda,MORPHOLOGY,nectar spur length,SEXUAL_FUNCTION,NO,NO,SAME_COORDINATE,YES,UNRESOLVED,YES,YES,YES,UNRESOLVED,YES,NO,UNRESOLVED,YES,UNRESOLVED,COMBINED_INTERMEDIATE_OR_COMPROMISE,experimental_spur_manipulation_with_gender_specific_fitness,high,LEGACY_PATTERN_SEED,"Manipulated spur length yields male and female fitness differences plus a hump-shaped total-fitness surface; the female upper optimum is not bounded."
Gymnadenia_agent_weight_shift,Sletvold_Moritz_Agren_2015_10.1890/14-0119.1,Gymnadenia conopsea,PHENOLOGY,flowering phenology,MUTUALIST_ANTAGONIST,YES,NO,SAME_COORDINATE,NO,YES,YES,NO,UNRESOLVED,UNRESOLVED,YES,NO,YES,UNRESOLVED,YES,CONTEXT_WEIGHT_SHIFT,2x2_factorial_agent_manipulation,high,LEGACY_PATTERN_SEED,"Pollinators favor later flowering and herbivores earlier flowering with similar additive strength, producing near-zero net selection."
