cluster_id,source_id,plant_taxon,shared_coordinate,function_1,function_2,pattern_class,context_axis,evidence_level,confidence,quantitative_pool_eligible,source_basis,claim_ceiling,notes
Dalechampia_shared_bract,Dalechampia_existing_SCH_spine,Dalechampia spp.,showy bract size,pollination opportunity,seed predation,OPPOSING_DIRECTION,pollinator_vs_seed_predator,case_level_selection_surface,high,false,BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,observational_selection_surface_not_causal_optimum_shift,"Same display axis is associated with pollination benefit and seed-predation exposure; combined fitness tends toward stabilizing selection."
Abelia_orientation,Yu_2021_10.1111/plb.13197,Abelia x grandiflora,floral orientation,pollination,rain protection,SHARED_TRACKING_NO_CONFLICT,orientation,observational_multifunctionality,medium,false,BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,multifunctionality_without_separated_optima,"Horizontal orientation improves pollination metrics; current evidence does not establish opposing optima."
Platycodon_orientation,Nakata_2022_10.1111/plb.13414,Platycodon grandiflorus,flower angle,pollination/pollen transfer,rain protection,SHARED_TRACKING_NO_CONFLICT,orientation,experimental_trait_manipulation,medium,false,BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,multifunctionality_without_conflict,"Horizontal orientation can improve both functions, making this a negative control for SCH conflict."
Polemonium_flower_size_drought,Galen_2000_10.1086/303373,Polemonium viscosum,flower size,reproductive/display performance,water economy/viability,CONTEXT_WEIGHT_SHIFT,drought/watering,experimental_context_manipulation,medium,false,BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,resource_dependent_conflict_candidate_not_full_optimum_surface,"Water availability changes demographic consequences of floral investment."
Cucurbita_fragrance_context,Theis_Adler_2012,Cucurbita pepo,floral fragrance,pollinator attraction,florivore attraction/net seed production,CONTEXT_WEIGHT_SHIFT,pollination_x_florivore_context,experimental_context_manipulation,medium,false,BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,negative_side_of_multifunctional_surface_only,"Enhanced fragrance increases florivore attraction and reduces seed production without detected pollinator increase."
Primula_display_morph,Primula_farinosa_program,Primula farinosa,display morph/state,pollination,grazing,CONTEXT_WEIGHT_SHIFT,space_time_frequency_dependence,longitudinal_manipulation_program,medium,false,BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,discrete_state_balance_not_continuous_optimum,"Opposing pressures can maintain alternative states rather than one continuous intermediate optimum."
Brassica_evolutionary_redirection,Brassica_rapa_multigeneration,Brassica rapa,multifunctional floral phenotype,pollinator-mediated evolution,herbivory pressure,CONTEXT_WEIGHT_SHIFT,herbivory_presence,multigeneration_experiment,medium,false,BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,broad_multifunctional_weight_shift_not_strict_same_cue,"Adding herbivory redirects pollinator-driven evolutionary trajectories."
Castilleja_calyx,Cariveau_2004_10.1111/j.0030-1299.2004.12641.x,Castilleja linariaefolia,calyx length,hummingbird-mediated reproduction,pre-dispersal seed predation,OPPOSING_DIRECTION,pollination_vs_seed_predation,observational_trait_path_on_common_seed_fitness,high,false,SCH_CASTILLEJA_SOURCE_AUDIT_V1,opposing_selection_recovered_but_no_randomized_calyx_surface,"Calyx length experienced opposing selection through pollination and seed-predation pathways on female seed fitness."
Pedicularis_exsertion,Sun_Armbruster_Huang_2016_10.1093/aob/mcw097,Pedicularis rex,corolla exsertion,pollen arrival,predisersal seed predation,OPPOSING_DIRECTION,population_antagonist_pressure,observational_multi_population_trait_fitness_paths,high,false,PEDICULARIS_SHARED_CONFLICT_AND_DEFENCE_AXIS_BRIDGE_V1,shared_conflict_recovered_without_causal_state_optima,"Greater exsertion is associated with more pollen arrival and more seed-predator attack; antagonist weight varies strongly among populations."
Peucedanum_allocation,Kudo_Shibata_2021_2025,Peucedanum multivittatum,perfect-versus-male flower allocation,male/display function,female seed production and seed-predator exposure,CONTEXT_WEIGHT_SHIFT,snowmelt_phenology_x_predation_pressure,multi_year_multi_population_selection_mosaic,high,false,SCH_PEUCEDANUM_ROLE_AUDIT_V1,weight_mosaic_and_opposing_selection_not_undifferentiated_shared_coordinate,"Selection on perfect-flower production shifts from negative under high predation to positive under low predation; extant andromonoecy makes this a bounded SCH pattern anchor."
Nicotiana_shared_receiver,Kessler_2015_10.7554/eLife.07641,Nicotiana attenuata,benzylacetone/reward attraction coordinate,pollinator-mediated outcrossing,hawkmoth oviposition,SHARED_TRACKING_CONFLICT_CANDIDATE,pollinator_identity_x_receiver_role,experimental_coordinate_manipulation,high,false,NICOTIANA_PROGRAM_COMPOSITE_BRIDGE_V1,shared_receiver_tracking_without_common_antagonist_loss_fitness,"Manipulated attraction/reward coordinates affect pollinator service and hawkmoth oviposition, but oviposition is not a common-fitness antagonist-loss endpoint."
