trait_axis_id,cluster_id,source_id,plant_taxon,trait_coordinate,trait_domain,function_1,function_2,function_pair_family,shared_coordinate_status,pollinator_guild,antagonist_guild,antagonist_role_status,interaction_timing,trait_manipulated,consumer_context_manipulated,common_fitness_endpoint,multilevel_trait_surface,conflict_detected,alignment_detected,one_sided_or_null_detected,context_shift_detected,compromise_detected,cancellation_detected,identification_level,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,eligibility_reason,source_verification_state,source_basis,coding_status,notes
Mitraria_000202_fragment_context,Mitraria_coccinea_fragmentation_program,SCHPRISMA-000202,Mitraria coccinea,floral display and reproductive effort across edge-gap context,MULTIVARIATE_OR_COMPOSITE,hummingbird pollination,bumblebee nectar robbery,MUTUALIST_ANTAGONIST,NOT_STRICT_SHARED_COORDINATE,hummingbirds,Bombus dahlbomii nectar robber,NET_ANTAGONISTIC,SPATIAL_CONTEXT,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_PROGRAM_NOT_TRAIT_GEOMETRY,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,"Edges and gaps alter flower production, fruit set and robbery rate, but the source does not estimate two functional responses to one declared plant trait coordinate.",SOURCE_VERIFIED_PRIMARY,"Magrach et al. 2012 Austral Ecology DOI 10.1111/j.1442-9993.2011.02320.x",SOURCE_DOWNGRADED_NO_SHARED_AXIS,"Nectar robbing is much higher in gappy patches and lowers reproductive success; this is ecological-context dependence rather than same-axis conflict."
Protea_000209_flower_color,Protea_aurea_color_program,SCHPRISMA-000209,Protea aurea,floral pigmentation / white-vs-pink color,CHEMICAL_OR_VISUAL_SIGNAL,pollinator visitation time,seed-predator-mediated fecundity pathway,MUTUALIST_ANTAGONIST,SAME_COORDINATE,avian pollinators,seed predators,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,NO,NO,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_PATH_ONE_SIDED_GEOMETRY,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,"Avian pollinators spend more time on white morphs, but that behavioral difference has no apparent fecundity consequence and surviving seed production is not directly associated with color.",SOURCE_VERIFIED_PRIMARY,"Carlson & Holsinger 2013 Oecologia DOI 10.1007/s00442-012-2453-2",OUTCOME_CODED,"Color is a pollinator-facing signal but the source does not support a matched negative seed-predator selection component on color."
Protea_000209_flower_number,Protea_aurea_color_program,SCHPRISMA-000209,Protea aurea,flowers per inflorescence,DISPLAY_STATE,pollinator/reward pathway,seed-predator occurrence,MUTUALIST_ANTAGONIST,SAME_COORDINATE,avian pollinators,seed predators,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,NO,NO,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,OBSERVATIONAL_PATH_ONE_SIDED_GEOMETRY,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,"Flower number is positively associated with nectar production, seed-predator occurrence and total long-term seed production, but seeds surviving predation are not directly associated with flower number.",SOURCE_VERIFIED_PRIMARY,"Carlson & Holsinger 2013 Oecologia DOI 10.1007/s00442-012-2453-2",OUTCOME_CODED,"The dominant fecundity path is not an identified opposing pollinator-versus-seed-predator geometry."
Vaccinium_000253_congener_phenology,Vaccinium_hirtum_smallii_congener_program,SCHPRISMA-000253,"Vaccinium hirtum / Vaccinium smallii",flowering schedule and congener floral syndrome,PHENOLOGY,pollinator service,flower and seed predation,MUTUALIST_ANTAGONIST,NOT_STRICT_SHARED_COORDINATE,bumblebees,moth/fly flower predators and weevil seed predator,NET_ANTAGONISTIC,SEQUENTIAL_LIFE_HISTORY_FILTER,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,COMPARATIVE_SPECIES_CONTEXT_NOT_TRAIT_GEOMETRY,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,"Sequentially flowering congeners differ simultaneously in phenology, floral morphology and breeding system, so species differences cannot be promoted to one trait-axis geometry.",SOURCE_VERIFIED_PRIMARY,"Mahoro 2003 Plant Ecology DOI 10.1023/A:1023203325501",SOURCE_DOWNGRADED_NO_SHARED_AXIS,"The early species is pollen limited but does not consistently escape flower/seed predation; the study is an ecological comparison, not a same-axis conflict test."
Camissoniopsis_000287_mating_syndrome,Camissoniopsis_cheiranthifolia_mating_transition_program,SCHPRISMA-000287,Camissoniopsis cheiranthifolia,floral size / mating-system syndrome,MULTIVARIATE_OR_COMPOSITE,pollen limitation / outcrossing service,floral parasitism,MUTUALIST_ANTAGONIST,NOT_STRICT_SHARED_COORDINATE,oligolectic bees,Mompha florivore,NET_ANTAGONISTIC,SPATIAL_CONTEXT,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,GEOGRAPHIC_MATING_SYNDROME_NOT_TRAIT_GEOMETRY,INELIGIBLE_MULTIVARIATE_UNRESOLVED,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_MULTIVARIATE_UNRESOLVED,YES,"Flower size, herkogamy and mating system covary geographically; florivory is higher in large-flowered populations but large-flowered individuals are not generally more vulnerable within populations.",SOURCE_VERIFIED_PRIMARY,"Dart et al. programme; Annals of Botany 2015 PMCID PMC4551092 plus Queen's dissertation source",SOURCE_DOWNGRADED_NO_SHARED_AXIS,"Reduced floral parasitism in small-flowered selfing populations is interpreted as an ecological consequence rather than a demonstrated driver of the mating-system transition."
Tanacetum_000352_individual_chemotype,Tanacetum_vulgare_chemodiversity_program,SCHPRISMA-000352,Tanacetum vulgare,individual floral chemotype / terpenoid profile,CHEMICAL_SIGNAL,pollinator visitation,florivore visitation,MUTUALIST_ANTAGONIST,SAME_COORDINATE,multiple pollinator groups,florivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,NO,NO,YES,YES,UNRESOLVED,UNRESOLVED,CHEMOTYPE_ONE_SIDED_GEOMETRY,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,"Chemotype affects florivore visits and marginally pollinator visits in one plot context; germination varies with chemotype and pollinator visitation but not florivore visitation.",SOURCE_VERIFIED_PRIMARY,"Sasidharan et al. 2024 Functional Ecology DOI 10.1111/1365-2435.14673; preprint SCHPRISMA-000352",OUTCOME_CODED,"Individual chemical identity does not resolve as a stable pollinator-florivore conflict; realized effects depend on visitor group and plot context."
Tanacetum_000352_plot_chemodiversity,Tanacetum_vulgare_chemodiversity_program,SCHPRISMA-000352,Tanacetum vulgare,plot-level floral chemodiversity,CHEMICAL_SIGNAL,pollinator visitation,florivore visitation,MUTUALIST_ANTAGONIST,SAME_COORDINATE,multiple pollinator groups,florivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,YES,YES,YES,NO,NO,NO,YES,YES,UNRESOLVED,UNRESOLVED,PLOT_CHEMODIVERSITY_ONE_SIDED_GEOMETRY,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,"Heterogeneous plots receive more pollinator visits, while plot type has no significant effect on florivore visits or germination success.",SOURCE_VERIFIED_PRIMARY,"Sasidharan et al. 2024 Functional Ecology DOI 10.1111/1365-2435.14673; preprint SCHPRISMA-000352",OUTCOME_CODED,"A clean one-sided visitor response at the neighborhood chemical-diversity scale."
Collaea_000353_flower_number,Collaea_cipoensis_attractiveness_program,SCHPRISMA-000353,Collaea cipoensis,flower number,DISPLAY_STATE,pollinator visitation/effectiveness,antagonist visitation and reproductive loss,MUTUALIST_ANTAGONIST,SAME_COORDINATE,hummingbirds,Trigona spinipes and other floral antagonists,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NETWORK_CONTEXT_ON_EXISTING_AXIS,ELIGIBLE_SAME_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,"Many-flowered individuals are more central and receive more visits; antagonists dominate the network and reduce reproductive success, but this source does not re-estimate trait-specific opposing selection on flower number.",SOURCE_VERIFIED_PRIMARY,"Gélvez-Zúñiga et al. 2024 Biotropica DOI 10.1111/btp.13342",AXIS_FROZEN_OUTCOME_PARTIAL,"Same biological flower-number axis as SCHPRISMA-000312; use as additional network context, not an independent canonical trait axis."
Collaea_000353_network_centrality,Collaea_cipoensis_attractiveness_program,SCHPRISMA-000353,Collaea cipoensis,individual network centrality,MULTIVARIATE_OR_COMPOSITE,pollinator-network connectivity,antagonist-network connectivity,MUTUALIST_ANTAGONIST,NOT_STRICT_SHARED_COORDINATE,hummingbirds,Trigona spinipes and other floral antagonists,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,EMERGENT_NETWORK_METRIC_NOT_PLANT_TRAIT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,"Centrality is an emergent network property rather than a declared plant phenotypic coordinate, so it does not enter H1 trait-axis models.",SOURCE_VERIFIED_PRIMARY,"Gélvez-Zúñiga et al. 2024 Biotropica DOI 10.1111/btp.13342",SOURCE_DOWNGRADED_NO_SHARED_AXIS,"Retained for H4/network context only."
Lobelia_000659_multitrait_selection,Lobelia_cardinalis_Bartkowska_selection_program,SCHPRISMA-000659,Lobelia cardinalis,"six measured floral/reproductive traits; split into numeric axes downstream",MULTIVARIATE_OR_COMPOSITE,pollinator-mediated selection,herbivore-mediated seed-fitness paths,MUTUALIST_ANTAGONIST,SPLIT_REQUIRED,insect pollinators,"slugs; weevils; caterpillars",NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,TOTAL_SELECTION_GRADIENT_CONTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Source Table 2 resolves six standardized trait gradients under natural versus supplemental pollination; axes are preserved separately in the numeric freeze and are not collapsed to one H1 outcome.",SOURCE_VERIFIED_PRIMARY,"Bartkowska & Johnston 2012 New Phytologist DOI 10.1111/j.1469-8137.2011.04013.x",AXIS_SPLIT_REQUIRED_NUMERIC_FREEZE,"Source-axis coverage record only; no conflict sign is assigned here."
