trait_axis_id,cluster_id,source_id,plant_taxon,trait_coordinate,trait_domain,function_1,function_2,function_pair_family,shared_coordinate_status,pollinator_guild,antagonist_guild,antagonist_role_status,interaction_timing,trait_manipulated,consumer_context_manipulated,common_fitness_endpoint,multilevel_trait_surface,conflict_detected,alignment_detected,one_sided_or_null_detected,context_shift_detected,compromise_detected,cancellation_detected,identification_level,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,eligibility_reason,source_verification_state,source_basis,coding_status,notes
Caryopteris_000330_corolla_tube,Caryopteris_divaricata_robbing_program,SCHPRISMA-000330,Caryopteris divaricata,corolla tube length,MORPHOLOGY,legitimate pollinator visitation and seed production,nectar-robbing-mediated reproductive loss,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,bumblebees,bumblebee nectar robbers,ROLE_DEPENDENT,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,NO,YES,NO,YES,UNRESOLVED,UNRESOLVED,CONTEXT_DEPENDENT_REINFORCING_GEOMETRY,BOUNDARY_ROLE_DEPENDENT,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_ROLE_DEPENDENT,YES,"Short-tubed flowers experience lower robbery, higher legitimate visitation and higher seed production in the presence of robbers; when robbers are excluded, tube-length differences in pollination and seed production disappear.",SOURCE_VERIFIED_PRIMARY,"Tie et al. 2023 Plant Diversity DOI 10.1016/j.pld.2022.11.002",OUTCOME_CODED_BOUNDARY,"Realized routes both favor shorter tubes under robbery, but legitimate-visitor effects are antagonist-context dependent and visitor roles can switch."
Caryopteris_000330_nectar_volume,Caryopteris_divaricata_robbing_program,SCHPRISMA-000330,Caryopteris divaricata,nectar volume,REWARD,legitimate pollinator visitation,nectar-robbing intensity,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,bumblebees,bumblebee nectar robbers,ROLE_DEPENDENT,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_DEPENDENT_REWARD_GEOMETRY,BOUNDARY_ROLE_DEPENDENT,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_ROLE_DEPENDENT,YES,"Nectar volume covaries with tube length and robber-intensity groups, but the source does not isolate two independent fitness components for nectar volume itself.",SOURCE_VERIFIED_PRIMARY,"Tie et al. 2023 Plant Diversity DOI 10.1016/j.pld.2022.11.002",AXIS_FROZEN_OUTCOME_PARTIAL,"Retained without inheriting the corolla-tube result."
Caryopteris_000330_sugar_concentration,Caryopteris_divaricata_robbing_program,SCHPRISMA-000330,Caryopteris divaricata,nectar sugar concentration,REWARD,legitimate pollinator visitation,nectar-robbing intensity,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,bumblebees,bumblebee nectar robbers,ROLE_DEPENDENT,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,CONTEXT_DEPENDENT_REWARD_GEOMETRY,BOUNDARY_ROLE_DEPENDENT,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_ROLE_DEPENDENT,YES,"Sugar concentration varies among robber-intensity groups and with floral phenotype, but a trait-specific two-route fitness geometry is not isolated.",SOURCE_VERIFIED_PRIMARY,"Tie et al. 2023 Plant Diversity DOI 10.1016/j.pld.2022.11.002",AXIS_FROZEN_OUTCOME_PARTIAL,"Retained unresolved."
Sesame_000336_corolla_tube,Sesamum_indicum_visitor_role_program,SCHPRISMA-000336,Sesamum indicum,corolla tube length,MORPHOLOGY,pollination service,nectar-robbing behavior,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,multiple bee pollinators,multiple bee nectar robbers,ROLE_DEPENDENT,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,UNRESOLVED,UNRESOLVED,YES,YES,UNRESOLVED,UNRESOLVED,ROLE_DEPENDENT_ONE_SIDED_GEOMETRY,BOUNDARY_ROLE_DEPENDENT,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_ROLE_DEPENDENT,YES,"Longer corolla tubes receive more robbing, while the source does not identify a matched tube-length effect on plant reproductive success; many pollinating bee species also rob.",SOURCE_VERIFIED_PRIMARY,"Layek et al. 2024 PLOS ONE DOI 10.1371/journal.pone.0300398",OUTCOME_CODED_BOUNDARY,"Robbing frequency changes across flowering period and time of day, but robbing does not significantly change fruit or seed set."
Sesame_000336_nectar_availability,Sesamum_indicum_visitor_role_program,SCHPRISMA-000336,Sesamum indicum,nectar availability,REWARD,legitimate visitation,nectar-robbing behavior,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,multiple bee pollinators,multiple bee nectar robbers,ROLE_DEPENDENT,SIMULTANEOUS_OR_OVERLAPPING,YES,YES,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,ROLE_DEPENDENT_REWARD_GEOMETRY,BOUNDARY_ROLE_DEPENDENT,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_ROLE_DEPENDENT,YES,"Higher nectar availability increases visitor abundance and strongly reduces the fraction of robbing visits, but the manipulation is not linked to an independent antagonist fitness cost.",SOURCE_VERIFIED_PRIMARY,"Layek et al. 2024 PLOS ONE DOI 10.1371/journal.pone.0300398",AXIS_FROZEN_OUTCOME_PARTIAL,"Resource availability changes visitor tactics rather than yielding a fixed pollinator-versus-antagonist geometry."
Trifolium_000391_inflorescence_production,Trifolium_repens_selection_program,SCHPRISMA-000391,Trifolium repens,inflorescence production,DISPLAY_STATE,pollinator-mediated selection,herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,insect pollinators,herbivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,NO,NO,YES,YES,UNRESOLVED,UNRESOLVED,FACTORIAL_ONE_SIDED_SELECTION,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Herbivores weaken selection for increased inflorescence production, whereas pollinators show no independent selection effect on this trait.",SOURCE_VERIFIED_PRIMARY,"Santangelo et al. 2019 Journal of Evolutionary Biology DOI 10.1111/jeb.13392",OUTCOME_CODED,"A clear one-sided/null geometry on a common reproductive-fitness analysis."
Trifolium_000391_flower_size,Trifolium_repens_selection_program,SCHPRISMA-000391,Trifolium repens,flower size,MORPHOLOGY,pollinator-mediated selection,herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,insect pollinators,herbivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,NO,NO,YES,YES,UNRESOLVED,UNRESOLVED,DEFENCE_MODERATED_ONE_SIDED_SELECTION,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Herbivores weaken selection on flower size among acyanogenic plants, while pollinators show no independent effect on flower-size selection.",SOURCE_VERIFIED_PRIMARY,"Santangelo et al. 2019 Journal of Evolutionary Biology DOI 10.1111/jeb.13392",OUTCOME_CODED,"One-sided/null geometry is itself defence-genotype dependent."
Trifolium_000391_flowering_time,Trifolium_repens_selection_program,SCHPRISMA-000391,Trifolium repens,flowering time,PHENOLOGY,pollinator-mediated selection,herbivore-mediated selection,MUTUALIST_ANTAGONIST,SAME_COORDINATE,insect pollinators,herbivores,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,YES,YES,NO,NO,NO,YES,YES,UNRESOLVED,UNRESOLVED,DEFENCE_MODERATED_ONE_SIDED_SELECTION,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,"Pollinators weaken selection for later flowering among cyanogenic plants but not acyanogenic plants; the optimized source model does not retain an independent herbivore-mediated flowering-time effect.",SOURCE_VERIFIED_PRIMARY,"Santangelo et al. 2019 Journal of Evolutionary Biology DOI 10.1111/jeb.13392; full-text results and model table",OUTCOME_CODED,"One-sided/null geometry with defence-genotype context dependence: pollinator-mediated phenology selection is conditional, while an independent herbivore-mediated phenology component is not supported."
Polygala_000334_flower_size,Polygala_vayredae_robbing_program,SCHPRISMA-000334,Polygala vayredae,flower size,MORPHOLOGY,legitimate pollination,nectar-robbing frequency,MUTUALIST_ANTAGONIST,SAME_COORDINATE,legitimate insect pollinators,nectar robbers,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,POPULATION_DEPENDENT_TRAIT_GEOMETRY,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,"Flower size is positively associated with robbing frequency in one population, but a matched pollinator-mediated effect of flower size is not source-resolved.",SOURCE_VERIFIED_PRIMARY,"Castro et al. 2009 Ecological Research DOI 10.1007/s11284-008-0481-5",AXIS_FROZEN_OUTCOME_PARTIAL,"Do not promote the paper-level proposed robber-mediated negative selection to a two-route conflict without matched pollinator direction."
Polygala_000334_nectar_reward,Polygala_vayredae_robbing_program,SCHPRISMA-000334,Polygala vayredae,nectar reward / nectar gland dimensions,REWARD,legitimate pollination,nectar-robbing frequency,MUTUALIST_ANTAGONIST,SAME_COORDINATE,legitimate insect pollinators,nectar robbers,NET_ANTAGONISTIC,SIMULTANEOUS_OR_OVERLAPPING,NO,NO,YES,NO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,POPULATION_DEPENDENT_REWARD_GEOMETRY,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,"Legitimate pollination is primarily influenced by nectar reward, while a matched robber preference/effect for the nectar-reward axis is not frozen.",SOURCE_VERIFIED_PRIMARY,"Castro et al. 2009 Ecological Research DOI 10.1007/s11284-008-0481-5",AXIS_FROZEN_OUTCOME_PARTIAL,"Negative correlations between robbing frequency and legitimate pollination in two populations are not treated as trait-specific opposing components."
