record_id,screening_source_phase,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,trait_axis_action,source_verification_state,eligibility_rationale,outcome_coding_status
SCHPRISMA-000008,V2_FULLTEXT_ADDITIONS,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Multiple floral traits have pollinator- and herbivore-linked selection across eight populations; trait-specific axes must be separated before ecological sign coding.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000025,V3_REMAINING_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Herbivory is the upstream treatment and changes floral display/pollinator behavior; antagonist response to the same floral coordinate is not measured.",NOT_CODED
SCHPRISMA-000030,V2_FULLTEXT_ADDITIONS,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Pollination and herbivory are factorially manipulated and mediate selection on multiple floral traits on one female-fitness scale; each trait requires its own axis.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000031,V1_PRIOR_SOURCE_ADJUDICATION,ELIGIBLE_SAME_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"One declared fragrance contrast is manipulated and linked to pollinator response, florivore response and seed-production direction in the same experiment.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000032,V2_FULLTEXT_ADDITIONS,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Landscape and herbivory alter display, pollination and seed set, but antagonist response to the same floral coordinate is not a paired function of A.",NOT_CODED
SCHPRISMA-000036,V3_REMAINING_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Genetic linkage among floral and herbivory-induced volatiles is measured without focal pollinator and antagonist response functions on one trait axis.",NOT_CODED
SCHPRISMA-000037,V3_REMAINING_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"A common upstream soil amendment changes growth, flowers, visitors, herbivore performance and yield; the floral coordinate is not isolated as the shared causal axis.",NOT_CODED
SCHPRISMA-000043,V2_FULLTEXT_ADDITIONS,UNRESOLVED_SOURCE,PENDING_SOURCE_RECODE,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Morph-specific floral and nectar traits, pollinators, robbers and seed production are reported, but the current audit does not yet establish which individual trait coordinates carry both functions.",DEFERRED_PENDING_AXIS_SOURCE_RECODE
SCHPRISMA-000046,V3_REMAINING_FULLTEXT,INELIGIBLE_NO_COMMON_FITNESS_LINK,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_COMMON_FITNESS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"The same synthetic floral scent coordinate elicits adult feeding and oviposition responses, but there is no common plant reproductive outcome linking the two functions.",NOT_CODED
SCHPRISMA-000051,V3_REMAINING_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Aphid infestation changes floral cues and pollinator behavior, but antagonist response to the altered floral coordinate is not measured.",NOT_CODED
SCHPRISMA-000054,V2_FULLTEXT_ADDITIONS,ELIGIBLE_SAME_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"One flower-colour axis is linked to pollinator- and seed-predator-mediated paths on reproductive output within one population.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000066,V2_FULLTEXT_ADDITIONS,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Morph/organ-position differences are linked to legitimate visitation, nectar-robbing behavior and fruit/seed output across six populations and two years.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000069,V3_REMAINING_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Nectar is experimentally manipulated for oviposition, but the focal experiment lacks a same-study pollinator response to the nectar coordinate.",NOT_CODED
SCHPRISMA-000070,V1_PRIOR_SOURCE_ADJUDICATION,INELIGIBLE_NO_COMMON_FITNESS_LINK,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_COMMON_FITNESS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"The same sesquiterpenoid axis tracks both visitor roles across taxa, but no common reproductive outcome links the two routes.",NOT_CODED
SCHPRISMA-000085,V3_REMAINING_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"The inflorescence display is tested for herbivore response while pollinator attraction comes from prior work rather than the same study.",NOT_CODED
SCHPRISMA-000172,V1_PRIOR_SOURCE_ADJUDICATION,UNRESOLVED_SOURCE,PENDING_GEOMETRY_RESOLUTION,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"The beta-ocimene axis is linked to bees and crab spiders across multiple populations and contexts, but the present audit does not yet provide one common-A reproductive decomposition for H1.",DEFERRED_PENDING_AXIS_SOURCE_RECODE
SCHPRISMA-000219,V1_PRIOR_SOURCE_ADJUDICATION,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Colour and scent predict seed-predator host choice, but the same study does not measure the matching pollination response on those axes.",NOT_CODED
SCHPRISMA-000411,V1_PRIOR_SOURCE_ADJUDICATION,INELIGIBLE_NO_COMMON_FITNESS_LINK,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_COMMON_FITNESS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Benzylacetone is manipulated and both pollinator and antagonist routes are measured across complementary assays, but the outcomes are split rather than one common reproductive scale.",NOT_CODED
SCHPRISMA-000523,V2_FULLTEXT_ADDITIONS,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"A genetically based scape-height morph is linked to pollinator- and grazer-mediated selection and mature-fruit fitness across replicated populations/experiments.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000593,V2_FULLTEXT_ADDITIONS,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SPLIT_FOR_H4,SOURCE_VERIFIED_FULLTEXT,"Component-specific scent manipulations identify florivore functions, but matching same-component pollinator responses are not measured in the focal experiment.",NOT_CODED
SCHPRISMA-000658,V1_PRIOR_SOURCE_ADJUDICATION,ELIGIBLE_SAME_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"One showy-bract area axis is linked to pollinator and seed-predator selection on an observational reproductive-fitness decomposition.",DEFERRED_UNTIL_AXIS_RECODE
