record_id,screening_source_phase,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,trait_axis_action,source_verification_state,eligibility_rationale,outcome_coding_status
SCHPRISMA-000001,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Floral methoxypyrazines are assayed for florivore response, but no direct pollinator response or common plant reproductive outcome is measured.",NOT_CODED
SCHPRISMA-000003,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Nectar robbing is the experimental context and alters staminode screening mechanics; antagonists are not measured as responding to an independently declared floral coordinate A.",NOT_CODED
SCHPRISMA-000023,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_NO_COMMON_FITNESS_LINK,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_COMMON_FITNESS,YES,SPLIT_FOR_H4,SOURCE_VERIFIED_FULLTEXT,"Stamen modules support pollinating versus pollen-feeding functions by the same bees, but no common plant reproductive outcome links the two routes.",NOT_CODED
SCHPRISMA-000033,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Soil/pathogen legacy alters floral phenotype and bee visitation; the pathogen is an antecedent context rather than a receiver of the same floral coordinate.",NOT_CODED
SCHPRISMA-000047,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,NO_AXIS_PROMOTION,SOURCE_VERIFIED_FULLTEXT,"Herbivory changes flower size, pollinator visitation and mating-system allocation, but antagonist response to the same flower-size coordinate is not measured.",NOT_CODED
SCHPRISMA-000048,V5_BATCH1_MEDIUM_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,INELIGIBLE_SINGLE_CONTEXT,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"A yellow anther-mimic visual coordinate is manipulated for pollination/fruit set and is borne on petal apices used by florivorous beetles; the florivory link is associational rather than a do(A) response.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000049,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SPLIT_FOR_H4,SOURCE_VERIFIED_FULLTEXT,"Herbivory and cyanogenic defence alter selection on floral traits, but direct pollinator response to the same focal coordinate is not measured.",NOT_CODED
SCHPRISMA-000050,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_NO_COMMON_FITNESS_LINK,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_COMMON_FITNESS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Flower morphology predicts whether ants act as legitimate visitors or nectar thieves, but no plant reproductive outcome closes the role comparison.",NOT_CODED
SCHPRISMA-000061,V8_BATCH1_ABSTRACT_ONLY_FULLTEXT,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SPLIT_FOR_H4,SOURCE_VERIFIED_FULLTEXT,"Long tubular corollas and abundant flowering are associated with nectar robbery across a community, but the same-study pollination response and common fitness outcome are absent.",NOT_CODED
SCHPRISMA-000067,V5_BATCH1_MEDIUM_FULLTEXT,UNRESOLVED_SOURCE,PENDING_GEOMETRY_RESOLUTION,PENDING_SOURCE_RECODE,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"A globelike floral morphology occurs in a dual-role nursery-pollination system with pollination benefit and larval seed cost, but the current audit does not establish a trait-specific response surface for the morphology.",DEFERRED_PENDING_AXIS_SOURCE_RECODE
SCHPRISMA-000074,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_MULTIVARIATE_UNRESOLVED,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_MULTIVARIATE_UNRESOLVED,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Multiple floral traits, neighborhood context, pollinators and nectar robbers are linked across habitats, but no single common trait coordinate is yet isolated.",NOT_CODED
SCHPRISMA-000075,V5_BATCH1_MEDIUM_FULLTEXT,INELIGIBLE_MULTIVARIATE_UNRESOLVED,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_MULTIVARIATE_UNRESOLVED,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Experimental evolution changes a multitrait floral-attraction/defence phenotype under bee and aphid regimes, but no single focal shared coordinate is identified.",NOT_CODED
SCHPRISMA-000076,V5_BATCH1_MEDIUM_FULLTEXT,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,INELIGIBLE_ROLE_DEPENDENT,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Corolla access geometry predicts legitimate versus robbing honeybee behavior and yield across cultivars; the same consumer switches functional role.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000112,V13_BATCH2_FULLTEXT_CLOSURE,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SPLIT_FOR_H4,SOURCE_VERIFIED_FULLTEXT,"Water stress and herbivory induce floral volatile changes that affect bumblebee choice, but herbivores are antecedent treatments rather than receivers of the same floral coordinate.",NOT_CODED
SCHPRISMA-000120,V13_BATCH2_FULLTEXT_CLOSURE,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Flower-size/access geometry is linked to nectar-robbing behavior without a same-coordinate pollinator response or common reproductive endpoint.",NOT_CODED
SCHPRISMA-000122,V13_BATCH2_FULLTEXT_CLOSURE,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Within-tree flowering synchrony is studied in a dual-role pollinating seed-predator system, but no paired receiver-response geometry is identified for the phenology coordinate.",NOT_CODED
SCHPRISMA-000130,V13_BATCH2_FULLTEXT_CLOSURE,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Species-specific floral scent responses are resolved for Epicephala pollinators, but no separate antagonist response to the same code or common fitness outcome is measured.",NOT_CODED
SCHPRISMA-000136,V13_BATCH2_FULLTEXT_CLOSURE,UNRESOLVED_SOURCE,PENDING_GEOMETRY_RESOLUTION,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Female-flower morphology is embedded in a pollinating seed-predator association, but the current source audit does not resolve a same-coordinate component geometry suitable for H1.",DEFERRED_PENDING_AXIS_SOURCE_RECODE
SCHPRISMA-000151,V13_BATCH2_FULLTEXT_CLOSURE,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_SOURCE_RECODE,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Population-differentiated floral morphology is linked to pollination efficacy, Greya oviposition/seed parasitism and seed set across two populations; trait-specific axes must be separated.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000167,V13_BATCH2_FULLTEXT_CLOSURE,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_NUMERIC_EXTRACTION,YES,SPLIT_REQUIRED,SOURCE_VERIFIED_FULLTEXT,"Scape length, flower number and petal size are exposed to pollinator and seed-predator/grazer selection on female reproductive success across populations; same Primula farinosa programme as SCHPRISMA-000523.",DEFERRED_UNTIL_AXIS_RECODE
SCHPRISMA-000195,V13_BATCH2_FULLTEXT_CLOSURE,INELIGIBLE_NO_TWO_FUNCTION_GEOMETRY,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_TWO_COMPONENTS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Petal stickiness is experimentally manipulated and linked to florivory and fruit set, but pollinator response to do(stickiness) is not directly measured.",NOT_CODED
SCHPRISMA-000197,V13_BATCH2_FULLTEXT_CLOSURE,INELIGIBLE_NO_COMMON_FITNESS_LINK,INELIGIBLE_GEOMETRY_NOT_ESTABLISHED,INELIGIBLE_NO_COMMON_FITNESS,YES,SINGLE_AXIS,SOURCE_VERIFIED_FULLTEXT,"Identical synthetic scent compounds attract bumblebees and repel ants, but no common plant reproductive outcome links the two receiver responses and ant role is conditional.",NOT_CODED
