trait,consumer_regime,beta,se,p_value,fitness_estimate,source_table,doi
flower_number,BUMBLE_BEE,0.13,0.04,0.003,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
flower_number,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,0.23,0.08,0.003,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
flower_number,CABBAGE_BUTTERFLY,0.07,0.09,0.44,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
corolla_size,BUMBLE_BEE,0.22,0.04,<0.001,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
corolla_size,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,0.22,0.08,0.005,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
corolla_size,CABBAGE_BUTTERFLY,0.26,0.09,0.007,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
benzaldehyde,BUMBLE_BEE,-0.03,0.08,0.65,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
benzaldehyde,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,0.02,0.12,0.86,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
benzaldehyde,CABBAGE_BUTTERFLY,0.17,0.14,0.40,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
phenylacetaldehyde,BUMBLE_BEE,0.15,0.05,0.006,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
phenylacetaldehyde,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,-0.09,0.08,0.27,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
phenylacetaldehyde,CABBAGE_BUTTERFLY,0.08,0.10,0.18,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
1_butene_4_isothiocyanate,BUMBLE_BEE,-0.11,0.04,0.011,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
1_butene_4_isothiocyanate,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,0.07,0.08,0.41,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
1_butene_4_isothiocyanate,CABBAGE_BUTTERFLY,-0.13,0.09,0.20,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
methyl_benzoate,BUMBLE_BEE,0.11,0.06,0.08,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
methyl_benzoate,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,0.15,0.10,0.11,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
methyl_benzoate,CABBAGE_BUTTERFLY,0.03,0.12,0.81,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
methyl_salicylate,BUMBLE_BEE,-0.05,0.05,0.32,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
methyl_salicylate,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,-0.17,0.08,0.032,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
methyl_salicylate,CABBAGE_BUTTERFLY,-0.02,0.10,0.83,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
p_anisaldehyde,BUMBLE_BEE,-0.01,0.07,0.87,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
p_anisaldehyde,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,0.09,0.11,0.39,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
p_anisaldehyde,CABBAGE_BUTTERFLY,-0.13,0.13,0.30,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
e_alpha_farnesene,BUMBLE_BEE,0.11,0.04,0.014,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
e_alpha_farnesene,BUMBLE_BEE_PLUS_CABBAGE_BUTTERFLY,0.15,0.07,0.042,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
e_alpha_farnesene,CABBAGE_BUTTERFLY,0.06,0.10,0.53,relative_seed_set,Table_2,10.1007/s10682-016-9878-8
