record_id,doi,title,year,venue,query_ids,recovery_tier,explicit_selection_signal,final_performance_signal,repeated_context_signal,focal_trait_signal,pollinator_signal,antagonist_signal,estimand_recovery_target,current_title_abstract_decision,decision_note,fulltext_recovery_status,outcome_blind_priority,review_order
SCHPRISMA-000317,10.1002/ece3.72133,"Floral Integration and Phenotypic Selection on Floral Traits of Ipomoea cavalcantei (Convolvulaceae), a Rare, Endemic, and Endangered Species to the Amazon Ironstone Outcrops",2025,Ecology and Evolution,Q10;Q12;Q13,FT0_EXPLICIT_SELECTION,YES,NO,NO,YES,YES,YES,TOTAL_SELECTION_EFFECT_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,Ipomoea floral integration/selection study contains pollination and seed-predation evidence; retain for floral-trait selection and antagonist-role coding.,PENDING,YES,1
SCHPRISMA-000400,10.1111/nph.13652,Heritability of floral volatiles and pleiotropic responses to artificial selection in Brassica rapa,2015,New Phytologist,Q01;Q05;Q06;Q09;Q10;Q11,FT0_EXPLICIT_SELECTION,YES,NO,NO,YES,YES,YES,TOTAL_SELECTION_EFFECT_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,Artificial selection on heritable floral volatiles includes pleiotropic pollinator/herbivore context; retain for evolutionary and shared-cue architecture coding.,PENDING,YES,2
SCHPRISMA-000309,10.1002/ajb2.70167,Fitness consequences of trait‐mediated plant–pollinator interactions,2026,American Journal of Botany,Q10;Q13,FT1_FINAL_PERFORMANCE,NO,YES,NO,YES,YES,YES,TOTAL_SELECTION_EFFECT_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,Trait-mediated plant-pollinator fitness study also contains herbivore/nectar-robber context; uncertainty resolves to full text.,PENDING,YES,3
SCHPRISMA-000310,10.1890/1051-0761(2001)011[0934:fohbwa]2.0.co;2,FITNESS OF HYBRIDS BETWEEN WEEDY AND CULTIVATED RADISH: IMPLICATIONS FOR WEED EVOLUTION,2001,Ecological Applications,Q09,FT1_FINAL_PERFORMANCE,NO,YES,NO,YES,YES,YES,TOTAL_SELECTION_EFFECT_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,"Radish hybrid-fitness study includes flowers, pollinators and herbivores; retain to determine whether a floral coordinate links the channels.",PENDING,YES,4
SCHPRISMA-000386,10.26786/1920-7603(2022)685,"Hawaiian Endemic Honeycreepers (Drepanidinae) are Nectar Robbers of the Invasive Banana Poka (Passiflora tarminiana, Passifloraceae)",2022,Journal of Pollination Ecology,Q13,FT1_FINAL_PERFORMANCE,NO,YES,NO,YES,YES,YES,TOTAL_SELECTION_EFFECT_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,Honeycreepers are explicitly nectar robbers in an invasive flowering plant and pollination is present in the abstract; retain for visitor-role and reproduction coding.,PENDING,YES,5
SCHPRISMA-000370,10.1002/ecy.1756,Functional consequences of plant‐animal interactions along the mutualism‐antagonism gradient,2017,Ecology,Q08;Q12;Q13,FT2_CONTEXT_RICH,NO,NO,YES,YES,YES,YES,REPEATED_CONTEXT_ESTIMAND_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,Study explicitly analyzes functional consequences across a mutualism-antagonism gradient and contains flowers/pollinators/florivores/seed predators; retain.,PENDING,YES,6
SCHPRISMA-000372,10.1016/j.baae.2026.07.005,Functional roles and plant-mediated bottom-up effects influence arthropod responses to habitat fragmentation,2026,Basic and Applied Ecology,Q09,FT2_CONTEXT_RICH,NO,NO,YES,YES,YES,YES,REPEATED_CONTEXT_ESTIMAND_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,"Fragmentation study contains floral resources, pollinators and herbivory across spatial context; uncertainty resolves to full text and may inform the geography lane.",PENDING,YES,7
SCHPRISMA-000378,10.1002/ecs2.2943,"Geographic isolation, pollination syndromes, and pollinator generalization in HimalayanRoscoeaspp. (Zingiberaceae)",2019,Ecosphere,Q08;Q09;Q10;Q13,FT2_CONTEXT_RICH,NO,NO,YES,YES,YES,YES,REPEATED_CONTEXT_ESTIMAND_CANDIDATE_UNCONFIRMED,RETAIN_FULLTEXT,"Himalayan Roscoea study combines geographic isolation, pollination syndromes and nectar-robber context; retain as a strong geography/receiver candidate.",PENDING,YES,8
SCHPRISMA-000303,10.30707/etd2015.hembrough.a,Factors Constraining the Reproductive Output of Baptisia alba macrophylla,2015,,Q08;Q12,FT3_OTHER_RETAINED,NO,YES,NO,NO,YES,NO,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Dissertation explicitly concerns reproductive output and contains both pollination and seed-predation signals; retain for full-text same-A and outcome adjudication.,PENDING,YES,9
SCHPRISMA-000308,10.3390/plants14182885,Fig Macula as a Key Multifunctional Structure Mediating the Fig–Fig Wasp Mutualism,2025,Plants,Q01;Q05,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,NO,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Fig macula study directly concerns a floral/fig structure mediating pollinating and non-pollinating wasps; retain for Ficus receiver-architecture and same-structure coding.,PENDING,YES,10
