case_id,cluster_id,canonical_trait_axis_id,trait_axis_id,source_id,plant_taxon,population_or_site,year_or_season,treatment_or_consumer_regime,trait_coordinate,function_1,function_2,function_1_direction_or_optimum,function_2_direction_or_optimum,combined_or_net_response,conflict_detected,alignment_detected,one_sided_or_null_detected,context_shift_from_reference,compromise_detected,cancellation_detected,pollinator_guild,antagonist_guild,antagonist_role_status,antagonist_pressure,resource_or_abiotic_state,common_fitness_endpoint,effect_metric,effect_1,effect_2,effect_1_se,effect_2_se,effect_covariance,cancellation_index,latitude,longitude,location_provenance,source_verification_state,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,eligibility_reason,notes
Primula_scape_Mock_control,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Möck,2006_FIELD_EXPERIMENT,CONTROL_OPEN_POLLINATED_NATURAL_GRAZING,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,SHORT_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,SHORT_SCAPE_FAVORED_CI_OVERLAPS_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,REFERENCE_CONTEXT,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,NATURAL_GRAZING,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Positive point estimate; no significance mark in Fig. 4A.
Primula_scape_Morby_control,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Mörby,2006_FIELD_EXPERIMENT,CONTROL_OPEN_POLLINATED_NATURAL_GRAZING,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,LONG_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,LONG_SCAPE_FAVORED_CI_EXCLUDES_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,REFERENCE_CONTEXT,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,NATURAL_GRAZING,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Negative bar with significance mark in Fig. 4A.
Primula_scape_Ols4_control,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Ols4,2006_FIELD_EXPERIMENT,CONTROL_OPEN_POLLINATED_NATURAL_GRAZING,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,SHORT_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,SHORT_SCAPE_FAVORED_CI_OVERLAPS_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,REFERENCE_CONTEXT,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,NATURAL_GRAZING,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Small positive point estimate; no significance mark in Fig. 4A.
Primula_scape_Ols5_control,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Ols5,2006_FIELD_EXPERIMENT,CONTROL_OPEN_POLLINATED_NATURAL_GRAZING,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,SHORT_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,SHORT_SCAPE_FAVORED_CI_EXCLUDES_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,REFERENCE_CONTEXT,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,NATURAL_GRAZING,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Positive bar with significance mark in Fig. 4A.
Primula_scape_Mock_no_grazers,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Möck,2006_FIELD_EXPERIMENT,GRAZERS_EXCLUDED_OPEN_POLLINATED,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,LONG_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,LONG_SCAPE_FAVORED_CI_OVERLAPS_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,GRAZERS_EXCLUDED,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Negative point estimate; no significance mark in Fig. 4B.
Primula_scape_Morby_no_grazers,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Mörby,2006_FIELD_EXPERIMENT,GRAZERS_EXCLUDED_OPEN_POLLINATED,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,LONG_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,LONG_SCAPE_FAVORED_CI_EXCLUDES_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,GRAZERS_EXCLUDED,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Negative bar with significance mark in Fig. 4B.
Primula_scape_Ols4_no_grazers,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Ols4,2006_FIELD_EXPERIMENT,GRAZERS_EXCLUDED_OPEN_POLLINATED,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,LONG_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,LONG_SCAPE_FAVORED_CI_EXCLUDES_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,GRAZERS_EXCLUDED,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Strong negative bar with significance mark in Fig. 4B.
Primula_scape_Ols5_no_grazers,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Ols5,2006_FIELD_EXPERIMENT,GRAZERS_EXCLUDED_OPEN_POLLINATED,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,LONG_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,LONG_SCAPE_FAVORED_CI_EXCLUDES_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,GRAZERS_EXCLUDED,OPEN_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Negative bar with significance mark in Fig. 4B.
Primula_scape_Mock_hand_poll,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Möck,2006_FIELD_EXPERIMENT,NATURAL_GRAZING_HAND_POLLINATED,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,SHORT_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,SHORT_SCAPE_FAVORED_CI_EXCLUDES_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,NATURAL_GRAZING,SUPPLEMENTAL_HAND_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Positive bar with significance mark in Fig. 4C.
Primula_scape_Morby_hand_poll,Primula_farinosa_scape_program,Primula_farinosa_000523_scape,Primula_farinosa_000523_scape,SCHPRISMA-000523,Primula farinosa,Mörby,2006_FIELD_EXPERIMENT,NATURAL_GRAZING_HAND_POLLINATED,scape-height morph,realized female-fitness selection on scape morph,pollination and grazing treatment context,SHORT_SCAPE_FAVORED,NOT_DECOMPOSED_IN_CELL,SHORT_SCAPE_FAVORED_CI_EXCLUDES_ZERO,UNRESOLVED,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,UNRESOLVED,Osmia bicolor; Pyrgus malvae; other insect pollinators,mammalian grazers,NET_ANTAGONISTIC,NATURAL_GRAZING,SUPPLEMENTAL_HAND_POLLINATION,YES,RELATIVE_FITNESS_SHORT_LOG_RATIO_DIRECTION_AND_95CI_ZERO_STATUS,,,,,,,,,PRIMARY_FIG4_FOUR_POPULATION_FIELD_EXPERIMENT,SOURCE_VERIFIED_PRIMARY_FIGURE,ELIGIBLE_SAME_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_LOCAL_COMPONENT_GEOMETRY,YES,Published Fig. 4 resolves the sign of relative fitness of the short-scaped morph and whether the bootstrapped 95% CI overlaps zero for each population × treatment cell; local agent components are not separately estimated.,Positive bar with significance mark in Fig. 4C.
