case_id,cluster_id,canonical_trait_axis_id,trait_axis_id,source_id,plant_taxon,population_or_site,year_or_season,treatment_or_consumer_regime,trait_coordinate,function_1,function_2,function_1_direction_or_optimum,function_2_direction_or_optimum,combined_or_net_response,conflict_detected,alignment_detected,one_sided_or_null_detected,context_shift_from_reference,compromise_detected,cancellation_detected,pollinator_guild,antagonist_guild,antagonist_role_status,antagonist_pressure,resource_or_abiotic_state,common_fitness_endpoint,effect_metric,effect_1,effect_2,effect_1_se,effect_2_se,effect_covariance,cancellation_index,latitude,longitude,location_provenance,source_verification_state,geometry_eligibility,context_switch_eligibility,cancellation_eligibility,design_audit_eligible,eligibility_reason,notes
Erysimum_000008_corolla_diameter_Em01,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_diameter,Erysimum_000008_corolla_diameter,SCHPRISMA-000008,Erysimum mediohispanicum,Em01,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla diameter,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_-0.037,UNRESOLVED,UNRESOLVED,UNRESOLVED,REFERENCE_CONTEXT,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_11.11,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,-0.037,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=YES. Blank population cells are not treated as zero.
Erysimum_000008_corolla_diameter_Em08,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_diameter,Erysimum_000008_corolla_diameter,SCHPRISMA-000008,Erysimum mediohispanicum,Em08,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla diameter,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_-0.033,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_1.11,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,-0.033,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=NO. Blank population cells are not treated as zero.
Erysimum_000008_corolla_diameter_Em23,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_diameter,Erysimum_000008_corolla_diameter,SCHPRISMA-000008,Erysimum mediohispanicum,Em23,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla diameter,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_0.022,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_36.67,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,0.022,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=NO. Blank population cells are not treated as zero.
Erysimum_000008_corolla_diameter_Em25,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_diameter,Erysimum_000008_corolla_diameter,SCHPRISMA-000008,Erysimum mediohispanicum,Em25,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla diameter,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_-0.005,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_58.89,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,-0.005,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=NO. Blank population cells are not treated as zero.
Erysimum_000008_corolla_tube_length_Em01,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_tube_length,Erysimum_000008_corolla_tube_length,SCHPRISMA-000008,Erysimum mediohispanicum,Em01,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla tube length,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_0.087,UNRESOLVED,UNRESOLVED,UNRESOLVED,REFERENCE_CONTEXT,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_11.11,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,0.087,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=YES. Blank population cells are not treated as zero.
Erysimum_000008_corolla_tube_length_Em22,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_tube_length,Erysimum_000008_corolla_tube_length,SCHPRISMA-000008,Erysimum mediohispanicum,Em22,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla tube length,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_0.035,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_21.11,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,0.035,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=YES. Blank population cells are not treated as zero.
Erysimum_000008_corolla_tube_length_Em23,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_tube_length,Erysimum_000008_corolla_tube_length,SCHPRISMA-000008,Erysimum mediohispanicum,Em23,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla tube length,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_0.061,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_36.67,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,0.061,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=YES. Blank population cells are not treated as zero.
Erysimum_000008_corolla_tube_length_Em24,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_tube_length,Erysimum_000008_corolla_tube_length,SCHPRISMA-000008,Erysimum mediohispanicum,Em24,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla tube length,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_0.1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_43.33,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,0.1,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=YES. Blank population cells are not treated as zero.
Erysimum_000008_corolla_tube_length_Em25,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_tube_length,Erysimum_000008_corolla_tube_length,SCHPRISMA-000008,Erysimum mediohispanicum,Em25,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla tube length,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_0.011,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_58.89,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,0.011,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=NO. Blank population cells are not treated as zero.
Erysimum_000008_corolla_tube_width_Em01,Erysimum_mediohispanicum_selection_mosaic,Erysimum_000008_corolla_tube_width,Erysimum_000008_corolla_tube_width,SCHPRISMA-000008,Erysimum mediohispanicum,Em01,TWO_YEAR_STUDY_CONTEXT_POOLED_SELECTION_MODEL,NATURAL_POPULATION_SELECTION_MOSAIC,corolla tube width,local pollinator assemblage context,ungulate herbivory context,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,NOT_SEPARATED_IN_TABLE5_TOTAL_PATH,TOTAL_DIRECT_SELECTION_PATH_0.058,UNRESOLVED,UNRESOLVED,UNRESOLVED,REFERENCE_CONTEXT,UNRESOLVED,UNRESOLVED,population-specific mixed pollinator assemblage,ungulate herbivores,NET_ANTAGONISTIC,UNGULATE_DAMAGE_PERCENT_11.11,NATURAL_POPULATION_CONTEXT,YES,SEM_TOTAL_DIRECT_SELECTION_PATH_COEFFICIENT,0.058,,,,,,,,SOURCE_POPULATION_ID_SIERRA_NEVADA_SPAIN,SOURCE_VERIFIED_PRIMARY_PDF_TABLE5,ELIGIBLE_BOUNDED_COORDINATE,ELIGIBLE_MULTI_CONTEXT,PENDING_COMPONENT_DECOMPOSITION,YES,Exact population-level total direct selection path coefficient is reported in Table 5; pollinator and herbivore local components are not separated in this row.,Table 5 numeric cell; significant_p_lt_0.05=YES. Blank population cells are not treated as zero.
