record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason
SCHPRISMA-000202,10.1111/j.1442-9993.2011.02320.x,Differential effects of anthropogenic edges and gaps on the reproduction of a forest‐dwelling plant: The role of plant reproductive effort and nectar robbing by bumblebees,2011,https://openalex.org/W1499119639,Q12;Q13,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,nectar robbing,flower;flowers,pollinated;pollinators,antagonists;nectar robbing,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000204,10.1101/2021.01.12.426409,Differential gene expression associated with a floral scent polymorphism in the evening primrose Oenothera harringtonii (Onagraceae),2021,https://openalex.org/W3120350445,Q01;Q05,preprint,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinator,herbivore,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000205,10.1186/s12864-022-08370-6,Differential gene expression associated with a floral scent polymorphism in the evening primrose Oenothera harringtonii (Onagraceae),2022,https://openalex.org/W4226086771,Q01;Q05,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinator,herbivore,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000206,10.1086/696234,Differential Outcomes of Nectar Robbing on the Reproductive Success of a Melittophilous and an Ornithophilous Species,2018,https://openalex.org/W2787609990,Q13,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,nectar robbing,flower;flowers,pollinated;pollinator;pollinators,nectar robber;nectar robbers;nectar robbing,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000210,10.1038/s41598-017-15811-w,Disentangling the co-structure of multilayer interaction networks: degree distribution and module composition in two-layer bipartite networks,2017,https://openalex.org/W2768024192,Q12;Q13,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollinating,antagonistic;herbivory,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000214,10.2307/1939214,"Disturbance, Pollinator Predictability, and Pollination Success Among Costa Rican Cloud Forest Plants",1987,https://openalex.org/W2043719902,Q13,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollination;pollinator,,flowers,pollination;pollinator,nectar robber,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000215,10.1002/ecy.4111,Divergent responses of generalist and specialist pollinators to experimental drought: Outcomes for plant reproduction,2023,https://openalex.org/W4378529603,Q05;Q08;Q09;Q10,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollinators,,floral;flowers,pollinated;pollinator;pollinators,antagonists,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000216,10.3732/ajb.1600056,Diversification and coevolution in brood pollination mutualisms: Windows into the role of biotic interactions in generating biological diversity,2016,https://openalex.org/W2528570428,Q05,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollination,,fig;figs,pollination;pollinator;pollinators,seed predators,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000218,10.1016/j.sajb.2009.07.018,Do floral traits of Strelitzia reginae limit nectar theft by sunbirds?,2009,https://openalex.org/W2012624455,Q13,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flower;flowers,flower visitors;pollinating;pollination;pollinators,nectar thieves;non-pollinating,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000222,10.1007/s00442-025-05706-3,Do savanna trees mast? Phenological dynamics of flowering and fruiting in savanna tree species,2025,https://openalex.org/W4410422693,Q08;Q12,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flower,pollinators,seed predators,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000223,10.1007/s11258-025-01559-1,Do the traits of flowers and nectaries in Sapium glandulosum (Euphorbiaceae) shape insect interactions?,2025,https://openalex.org/W4413411718,Q01;Q08,article,NO,NO,,YES,NO,NO,NO,YES,YES,flowers,,,,pollination;pollinators,antagonism;herbivore;herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000224,10.1093/aobpla/ply057,Do we truly understand pollination syndromes in Petunia as much as we suppose?,2018,https://openalex.org/W2895305682,Q01;Q02;Q04;Q05;Q07;Q10;Q11;Q13,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollination,,floral;flower;flowers,floral visitors;pollinated;pollination;pollinator;pollinators,antagonist,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000226,10.1093/aob/mcaf053,Does flower size follow the ‘island rule’? A commentary on ‘Flower size evolution in the Southwest Pacific’,2025,https://openalex.org/W4409994831,Q08;Q09,article,NO,NO,,YES,NO,NO,YES,YES,YES,flower,,,fig;floral;flower;flowers,pollinated;pollination;pollinator;pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000227,,Does phylogeographic history cause among-population variation in floral scent in Arabis alpina?,2019,https://openalex.org/W2989931181,Q01,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flower,pollinator;pollinators,herbivore;herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
