record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason
SCHPRISMA-000201,10.1016/j.scitotenv.2024.177802,Diesel exhaust and ozone adversely affect pollinators and parasitoids within flying insect communities,2024,https://openalex.org/W4405327845,Q01,article,NO,NO,,NO,YES,YES,YES,YES,YES,,pollinators,parasitoids,floral;flowers,pollination;pollinator;pollinators,herbivore;herbivores;oviposition;parasitoid;parasitoids,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000202,10.1111/j.1442-9993.2011.02320.x,Differential effects of anthropogenic edges and gaps on the reproduction of a forest‐dwelling plant: The role of plant reproductive effort and nectar robbing by bumblebees,2011,https://openalex.org/W1499119639,Q12;Q13,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,nectar robbing,flower;flowers,pollinated;pollinators,antagonists;nectar robbing,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000203,10.3390/plants10071356,Differential Evolutionary History in Visual and Olfactory Floral Cues of the Bee-Pollinated Genus Campanula (Campanulaceae),2021,https://openalex.org/W3176569435,Q01;Q06,article,NO,NO,,YES,YES,NO,YES,YES,YES,floral,pollinated,,floral,pollinated;pollinator;pollinators,herbivores,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000204,10.1101/2021.01.12.426409,Differential gene expression associated with a floral scent polymorphism in the evening primrose Oenothera harringtonii (Onagraceae),2021,https://openalex.org/W3120350445,Q01;Q05,preprint,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinator,herbivore,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000205,10.1186/s12864-022-08370-6,Differential gene expression associated with a floral scent polymorphism in the evening primrose Oenothera harringtonii (Onagraceae),2022,https://openalex.org/W4226086771,Q01;Q05,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinator,herbivore,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000206,10.1086/696234,Differential Outcomes of Nectar Robbing on the Reproductive Success of a Melittophilous and an Ornithophilous Species,2018,https://openalex.org/W2787609990,Q13,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,nectar robbing,flower;flowers,pollinated;pollinator;pollinators,nectar robber;nectar robbers;nectar robbing,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000207,10.1890/0012-9658(2001)082[2032:daieoa]2.0.co;2,DIRECT AND INDIRECT EFFECTS OF ALKALOIDS ON PLANT FITNESS VIA HERBIVORY AND POLLINATION,2001,https://openalex.org/W2026311722,Q08,article,NO,NO,,NO,YES,YES,YES,YES,YES,,pollination,herbivory,floral;flowers,pollination;pollinator;pollinators,herbivores;herbivory;parasites;parasitic,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000208,10.1111/j.0030-1299.2004.12641.x,Direct and indirect effects of pollinators and seed predators to selection on plant and floral traits,2004,https://openalex.org/W2141382812,Q10;Q12,article,NO,NO,,YES,YES,YES,YES,YES,YES,floral,pollinators,seed predators,floral;flower,pollinated;pollination;pollinators,antagonists;seed predation;seed predators,HIGH_TITLE_TRIPLE,All three registered concepts occur in the title.,,
SCHPRISMA-000209,10.1007/s00442-012-2453-2,Direct and indirect selection on floral pigmentation by pollinators and seed predators in a color polymorphic South African shrub,2012,https://openalex.org/W2013425438,Q12,article,NO,NO,,YES,YES,YES,NO,NO,NO,floral,pollinators,seed predators,,,,HIGH_TITLE_TRIPLE,All three registered concepts occur in the title.,,
SCHPRISMA-000210,10.1038/s41598-017-15811-w,Disentangling the co-structure of multilayer interaction networks: degree distribution and module composition in two-layer bipartite networks,2017,https://openalex.org/W2768024192,Q12;Q13,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollinating,antagonistic;herbivory,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000211,10.1101/2022.06.25.497599,Disruptive selection via pollinators and seed predators on the height of flowers in a wind-dispersed alpine herb,2022,https://openalex.org/W4283716949,Q01;Q02;Q03;Q06;Q08;Q10;Q11;Q12,preprint,NO,NO,,YES,YES,YES,YES,YES,YES,flowers,pollinators,seed predators,floral;flower;flowers,pollinated;pollination;pollinators,antagonist;antagonists;florivors;herbivory;seed predation;seed predators,HIGH_TITLE_TRIPLE,All three registered concepts occur in the title.,,
SCHPRISMA-000212,10.5281/zenodo.6726264,Disruptive selection via pollinators and seed predators on the height of flowers in a wind-dispersed alpine herb_Chen and Pannell_AJB2022,2022,https://openalex.org/W4283514792,Q12,article,NO,NO,,YES,YES,YES,YES,YES,YES,flowers,pollinators,seed predators,floral;flower;flowers,pollinated;pollination;pollinators,antagonist;antagonists;florivors;herbivory;seed predation;seed predators,HIGH_TITLE_TRIPLE,All three registered concepts occur in the title.,,
