record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason,human_title_abstract_decision,human_title_abstract_reason,human_note
SCHPRISMA-000302,10.3390/insects14050454,Factors Affecting Pollination and Pollinators in Oil Palm Plantations: A Review with an Emphasis on the Elaeidobius kamerunicus Weevil (Coleoptera: Curculionidae),2023,https://openalex.org/W4376278717,Q01,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollination;pollinators,,flowers,pollination;pollinator;pollinators,parasitic,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000303,10.30707/etd2015.hembrough.a,Factors Constraining the Reproductive Output of Baptisia alba macrophylla,2015,https://openalex.org/W2336725473,Q08;Q12,dissertation,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flower;flowers,pollinated;pollination,seed predation,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,,,,
SCHPRISMA-000307,10.1111/j.1469-8137.2006.01889.x,Ferns represent an untapped biodiversity for improving crops for environmental stress tolerance,2006,https://openalex.org/W2007290400,Q01;Q05,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollination;pollinators,exploited,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,,,,
SCHPRISMA-000308,10.3390/plants14182885,Fig Macula as a Key Multifunctional Structure Mediating the Fig–Fig Wasp Mutualism,2025,https://openalex.org/W4414288033,Q01;Q05,article,NO,NO,,YES,NO,NO,YES,YES,YES,fig,,,fig;figs,pollinating;pollination,non-pollinating;ovipositing;ovipositor,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000309,10.1002/ajb2.70167,Fitness consequences of trait‐mediated plant–pollinator interactions,2026,https://openalex.org/W7130845460,Q10;Q13,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollinator,,fig;floral;flower;flowers,pollinator;pollinators,antagonistic;herbivore;nectar robbers,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000310,10.1890/1051-0761(2001)011[0934:fohbwa]2.0.co;2,FITNESS OF HYBRIDS BETWEEN WEEDY AND CULTIVATED RADISH: IMPLICATIONS FOR WEED EVOLUTION,2001,https://openalex.org/W2132553576,Q09,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flower;flowers,pollinators,herbivores,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,,,,
SCHPRISMA-000317,10.1002/ece3.72133,"Floral Integration and Phenotypic Selection on Floral Traits of Ipomoea cavalcantei (Convolvulaceae), a Rare, Endemic, and Endangered Species to the Amazon Ironstone Outcrops",2025,https://openalex.org/W4414166869,Q10;Q12;Q13,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinated;pollination;pollinators,seed predation;seed predators,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000324,,"Floral resource availability and its use by hummingbirds in an area of cerrado of Uberlândia, MG",2011,https://openalex.org/W7120874267,Q13,dissertation,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flower;flowers,pollinated;pollination;pollinator;pollinators,nectar thieves,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000325,,FLORAL SCENT IN A WHOLE-PLANT CONTEXT Floral volatiles controlling ant behaviour,2009,https://openalex.org/W2183295251,Q01;Q03;Q05,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinators,herbivores;seed predators,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000327,10.1201/9780429455612-10,Floral Scent Metabolic Pathways and Their Regulation,2020,https://openalex.org/W3026597822,Q02,book-chapter,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinators,florivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000337,10.1093/hr/uhae220,"Floral volatile benzenoids/phenylpropanoids: biosynthetic pathway, regulation and ecological value",2024,https://openalex.org/W4401558614,Q01;Q05,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flower,pollinator;pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000338,10.1111/j.1365-2435.2009.01632.x,Floral volatiles controlling ant behaviour,2009,https://openalex.org/W2075365169,Q01;Q02;Q03;Q04;Q05;Q09;Q10;Q12;Q13,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinators,herbivores;seed predators,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000341,10.1111/pce.12314,Floral volatiles: from biosynthesis to function,2014,https://openalex.org/W2135298692,Q01;Q02;Q03;Q05;Q09;Q11;Q12,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinators,florivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000351,10.1111/oik.01347,Flower visitation by birds in Europe,2014,https://openalex.org/W2137588919,Q13,article,NO,NO,,YES,NO,NO,YES,YES,YES,flower,,,floral;flower;flowers,pollinating;pollination;pollinators,exploiting,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000356,10.3120/0024-9637-70.4.197,"FLOWERING, FRUIT SET, AND SEED PREDATION IN ARCTOSTAPHYLOS MORROENSIS, A RARE OBLIGATE-SEEDING SHRUB",2024,https://openalex.org/W4399087562,Q12;Q13,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,seed predation,flower,pollinator;pollinators,herbivores;seed predation;seed predators,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
SCHPRISMA-000357,10.15302/j-fase-2021427,FLOWERING PLANTS AND ENTOMOPHAGOUS ARTHROPODS IN THE AGRICULTURAL LANDSCAPE: A PRACTISE-ORIENTED SUMMARY OF A COMPLEX RELATIONSHIP,2021,https://openalex.org/W4251710210,Q01,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,floral,pollination,parasitoids,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,,,,
SCHPRISMA-000358,10.1046/j.1365-2311.2002.00438.x,Flowers at the front line of invasion?,2002,https://openalex.org/W1967113924,Q12,article,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,floral;flower;flowers,pollinating;pollination;pollinator;pollinators,herbivores;seed predation;seed predators,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,,,,
