record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason
SCHPRISMA-000301,10.1111/1365-2745.12657,Facilitated exploitation of pollination mutualisms: fitness consequences for plants,2016,https://openalex.org/W2507868743,Q12;Q13,article,NO,NO,,NO,YES,YES,YES,YES,YES,,pollination,exploitation,flowers,pollinator,exploitation;exploiter;exploiters;nectar robbers;nectar robbing,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000302,10.3390/insects14050454,Factors Affecting Pollination and Pollinators in Oil Palm Plantations: A Review with an Emphasis on the Elaeidobius kamerunicus Weevil (Coleoptera: Curculionidae),2023,https://openalex.org/W4376278717,Q01,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollination;pollinators,,flowers,pollination;pollinator;pollinators,parasitic,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000303,10.30707/etd2015.hembrough.a,Factors Constraining the Reproductive Output of Baptisia alba macrophylla,2015,https://openalex.org/W2336725473,Q08;Q12,dissertation,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flower;flowers,pollinated;pollination,seed predation,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000304,10.3410/f.736775180.793572211,"Faculty Opinions recommendation of A Promiscuous CYP706A3 Reduces Terpene Volatile Emission from Arabidopsis Flowers, Affecting Florivores and the Floral Microbiome.",2020,https://openalex.org/W4236195341,Q01;Q02;Q05;Q11,peer-review,NO,NO,,YES,NO,YES,YES,YES,YES,floral;flowers,,florivores,floral;flower;flowers,pollinators,florivores;florivory,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000305,10.3410/f.717989053.793472819,Faculty Opinions recommendation of Caffeine in floral nectar enhances a pollinator's memory of reward.,2013,https://openalex.org/W4244801482,Q01;Q08,peer-review,NO,NO,,YES,YES,NO,YES,YES,YES,floral,pollinator,,floral,pollinator;pollinators,antagonist,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000306,10.3410/f.717957258.793461757,Faculty Opinions recommendation of The contribution of a pollinating seed predator to selection on Silene latifolia females.,2012,https://openalex.org/W4210318985,Q12,peer-review,NO,NO,,NO,YES,YES,YES,YES,YES,,pollinating,seed predator,flower;flowers,pollinating,antagonistic;seed predator,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000307,10.1111/j.1469-8137.2006.01889.x,Ferns represent an untapped biodiversity for improving crops for environmental stress tolerance,2006,https://openalex.org/W2007290400,Q01;Q05,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollination;pollinators,exploited,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000308,10.3390/plants14182885,Fig Macula as a Key Multifunctional Structure Mediating the Fig–Fig Wasp Mutualism,2025,https://openalex.org/W4414288033,Q01;Q05,article,NO,NO,,YES,NO,NO,YES,YES,YES,fig,,,fig;figs,pollinating;pollination,non-pollinating;ovipositing;ovipositor,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000309,10.1002/ajb2.70167,Fitness consequences of trait‐mediated plant–pollinator interactions,2026,https://openalex.org/W7130845460,Q10;Q13,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollinator,,fig;floral;flower;flowers,pollinator;pollinators,antagonistic;herbivore;nectar robbers,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000310,10.1890/1051-0761(2001)011[0934:fohbwa]2.0.co;2,FITNESS OF HYBRIDS BETWEEN WEEDY AND CULTIVATED RADISH: IMPLICATIONS FOR WEED EVOLUTION,2001,https://openalex.org/W2132553576,Q09,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flower;flowers,pollinators,herbivores,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
