review_order,record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,machine_priority,live_concept_filter_drift,missing_live_concepts,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,human_title_abstract_decision,human_title_abstract_reason,human_note
1,SCHPRISMA-000208,10.1111/j.0030-1299.2004.12641.x,Direct and indirect effects of pollinators and seed predators to selection on plant and floral traits,2004,https://openalex.org/W2141382812,Q10;Q12,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinators,seed predators,floral;flower,pollinated;pollination;pollinators,antagonists;seed predation;seed predators,,,
2,SCHPRISMA-000209,10.1007/s00442-012-2453-2,Direct and indirect selection on floral pigmentation by pollinators and seed predators in a color polymorphic South African shrub,2012,https://openalex.org/W2013425438,Q12,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinators,seed predators,,,,,,
3,SCHPRISMA-000211,10.1101/2022.06.25.497599,Disruptive selection via pollinators and seed predators on the height of flowers in a wind-dispersed alpine herb,2022,https://openalex.org/W4283716949,Q01;Q02;Q03;Q06;Q08;Q10;Q11;Q12,preprint,HIGH_TITLE_TRIPLE,NO,,flowers,pollinators,seed predators,floral;flower;flowers,pollinated;pollination;pollinators,antagonist;antagonists;florivors;herbivory;seed predation;seed predators,,,
4,SCHPRISMA-000212,10.5281/zenodo.6726264,Disruptive selection via pollinators and seed predators on the height of flowers in a wind-dispersed alpine herb_Chen and Pannell_AJB2022,2022,https://openalex.org/W4283514792,Q12,article,HIGH_TITLE_TRIPLE,NO,,flowers,pollinators,seed predators,floral;flower;flowers,pollinated;pollination;pollinators,antagonist;antagonists;florivors;herbivory;seed predation;seed predators,,,
5,SCHPRISMA-000213,10.1002/ajb2.16073,Disruptive selection via pollinators and seed predators on the height of flowers on a wind‐dispersed alpine herb,2022,https://openalex.org/W4301183239,Q12,article,HIGH_TITLE_TRIPLE,NO,,flowers,pollinators,seed predators,floral;flower;flowers,pollinated;pollinators,antagonist;antagonists;florivores;herbivory;seed predation;seed predators,,,
6,SCHPRISMA-000221,10.4067/s0717-66432011000200007,Do pollinators respond in a dose-dependent manner to flower herbivory?: An experimental assessment in Loasa tricolor (Loasaceae),2011,https://openalex.org/W2002593568,Q01;Q05,article,HIGH_TITLE_TRIPLE,NO,,flower,pollinators,herbivory,floral;flower;flowers,pollinator;pollinators,florivory,,,
7,SCHPRISMA-000225,10.1007/s11829-019-09723-x,Does florivory affect the attraction of floral visitors to buzz-pollinated Solanum rostratum?,2019,https://openalex.org/W2980713602,Q02,article,HIGH_TITLE_TRIPLE,NO,,floral,floral visitors;pollinated,florivory,,,,,,
8,SCHPRISMA-000244,10.1016/j.flora.2016.08.005,Effect of mutualistic and antagonistic bees on floral resources and pollination of a savanna shrub,2016,https://openalex.org/W2510487915,Q13,article,HIGH_TITLE_TRIPLE,NO,,floral,pollination,antagonistic,,,,,,
9,SCHPRISMA-000251,10.3390/plants13040547,Effects of Florivory on Floral Visitors and Reproductive Success of Sagittaria lancifolia (Alismataceae) in a Mexican Wetland,2024,https://openalex.org/W4391959484,Q08;Q09;Q12;Q13,article,HIGH_TITLE_TRIPLE,NO,,floral,floral visitors,florivory,floral;flower;flowers,floral visitors;pollinator,florivore;florivores;florivory,,,
10,SCHPRISMA-000253,10.1023/a:1023203325501,Effects of flower and seed predators and pollinators on fruit production in two sequentially flowering congeners,2003,https://openalex.org/W40526369,Q12,article,HIGH_TITLE_TRIPLE,NO,,flower,pollinators,seed predators,,,,,,
