review_order,record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,machine_priority,live_concept_filter_drift,missing_live_concepts,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,human_title_abstract_decision,human_title_abstract_reason,human_note
1,SCHPRISMA-000312,10.1111/btp.12574,Floral antagonists counteract pollinator‐mediated selection on attractiveness traits in the hummingbird‐pollinatedCollaea cipoensis(Fabaceae),2018,https://openalex.org/W2883797074,Q13,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinatedcollaea;pollinator,antagonists,floral;flower;flowers,pollinated;pollinator;pollinators,antagonist;antagonists;florivores,,,
2,SCHPRISMA-000316,10.1101/184382,Floral herbivory does not reduce pollination-mediated fitness in shelter rewarding Royal Irises,2017,https://openalex.org/W2753807379,Q06;Q08;Q09;Q10;Q11;Q12,preprint,HIGH_TITLE_TRIPLE,NO,,floral,pollination,herbivory,floral;flower;flowers,pollination;pollinator;pollinators,antagonistic;florivores;florivory;herbivores;herbivory,,,
3,SCHPRISMA-000322,10.1111/pce.13520,Floral plasticity: Herbivore‐species‐specific‐induced changes in flower traits with contrasting effects on pollinator visitation,2019,https://openalex.org/W2909741367,Q10,article,HIGH_TITLE_TRIPLE,NO,,floral;flower,pollinator,herbivore,floral;flower;flowers,flower visitors;pollinating;pollinator;pollinators,antagonist;antagonists;herbivore;herbivores;herbivory,,,
4,SCHPRISMA-000323,10.1093/aob/mct189,Floral polymorphism and the fitness implications of attracting pollinating and florivorous insects,2013,https://openalex.org/W2161903288,Q06;Q07;Q08;Q09;Q10;Q12,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinating,florivorous,floral,pollinating;pollinator;pollinators,antagonistic;florivores;non-pollinating,,,
5,SCHPRISMA-000334,10.1007/s11284-008-0481-5,"Floral traits variation, legitimate pollination, and nectar robbing in Polygala vayredae (Polygalaceae)",2008,https://openalex.org/W2013177683,Q13,article,HIGH_TITLE_TRIPLE,NO,,floral,pollination,nectar robbing,floral;flower;flowers,flower visitors;pollinations,nectar robbers;nectar robbing,,,
6,SCHPRISMA-000340,10.1101/2023.02.13.528270,Floral volatiles evoke partially similar responses in both florivores and pollinators and are correlated with non-volatile reward chemicals,2023,https://openalex.org/W4320719640,Q01;Q02;Q05;Q08;Q10;Q11,preprint,HIGH_TITLE_TRIPLE,NO,,floral,pollinators,florivores,floral;flower;flowers,flower visitor;flower visitors;pollinators,antagonistic;antagonists;exploitation;florivores,,,
7,SCHPRISMA-000343,10.3389/fpls.2022.813418,Florivory and Pollination Intersection: Changes in Floral Trait Expression Do Not Discourage Hummingbird Pollination,2022,https://openalex.org/W4221066800,Q01;Q02;Q05;Q07;Q08,article,HIGH_TITLE_TRIPLE,NO,,floral,pollination,florivory,floral;flowers,pollination;pollinator,florivore;florivores;florivory,,,
8,SCHPRISMA-000353,10.1111/btp.13342,Flower visitor networks: Reduced reproductive success driven by antagonists in a hummingbird‐pollinated species,2024,https://openalex.org/W4398776692,Q05;Q08;Q09;Q10;Q13,article,HIGH_TITLE_TRIPLE,NO,,flower,flower visitor;pollinated,antagonists,floral;flower,flower visitor;flower visitors;pollinators,antagonist;antagonistic;antagonists,,,
9,SCHPRISMA-000360,10.1111/1365-2745.70103,Foliar herbivory pushes plant individuals towards the periphery of a plant–floral visitor interaction network,2025,https://openalex.org/W4412361948,Q05;Q08,article,HIGH_TITLE_TRIPLE,NO,,floral,floral visitor,herbivory,floral;flower;flowers,flower visitor;flower visitors;pollinators,herbivores;herbivory,,,
10,SCHPRISMA-000365,10.1007/s10886-006-9051-x,Fragrance of Canada Thistle (Cirsium arvense) Attracts Both Floral Herbivores and Pollinators,2006,https://openalex.org/W2066723483,Q01;Q02,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinators,herbivores,,,,,,
