study_id,plant_taxon,source,A_status,D_status,trait_factorial_status,total_AxD_status,G_toggle_status,P_toggle_status,M0_delta_status,independent_kappa_status,highest_recoverable_layer,primary_blocker
Gorden_Adler_2018_Impatiens_capensis,Impatiens capensis,10.1002/ajb2.1182,observed_flower_redness,observed_floral_tannins,no_trait_randomization,observational_AxD_unresolved,randomized_intensity_addition_not_exclusion,randomized_intensity_addition_not_exclusion,not_identified,no,total_interaction_plus_randomized_context_modification,A_and_D_not_randomized_and_no_selective_consumer_toggles
Kessler_Gase_Baldwin_2008_Nicotiana,Nicotiana attenuata,10.1126/science.1160072,manipulated_floral_BA,manipulated_nicotine_candidate,full_2x2_A_D_like_factorial,discrete_sign_positive_formal_uncertainty_unresolved,no,no,not_identified,no,direct_discrete_trait_interaction,systemic_D_scope_plus_no_crossed_selective_consumer_toggles
Irwin_Adler_2006_Gelsemium,Gelsemium sempervirens,10.3732/ajb.93.1.64,measured_pollination_associated_floral_traits,measured_gelsemine_nectar_chemistry,no,no_AxD_term,no,no,not_identified,no,joint_A_D_measurement,no_AxD_and_no_consumer_interventions
Gross_Sun_Schiestl_2016_Gymnadenia,Gymnadenia odoratissima,10.1371/journal.pone.0147975,measured_total_floral_scent,absent,no,no_D_axis,no,no,not_identified,no,A_to_antagonism_only,no_distinct_D_axis
Dalechampia_linked_panel_candidate,Dalechampia spp.,historical_candidate,plausible_attraction_axis,plausible_defence_axis,no,not_identifiable,no,no,not_identified,no,study_level_candidate,individual_level_linkage_not_verified
Strauss_Irwin_2004_Raphanus,Raphanus sativus,10.1111/j.1365-2745.2004.00843.x,petal_colour_context,glucosinolate_defence_context,no,no_direct_AxD_fitness_term,no,no,not_identified,no,joint_trait_architecture,no_direct_AxD_common_outcome
Gronquist_2001_Hypericum,Hypericum calycinum,10.1073/pnas.231471698,same_pigment_axis,same_pigment_axis,no_distinct_axes,no_distinct_A_D_interaction,no,no,not_identified,no,dual_function_single_trait,A_and_D_are_not_distinct_coordinates
Kessler_2015_Nicotiana,Nicotiana attenuata,10.7554/eLife.07641,manipulated_benzylacetone,manipulated_nectar_reward_axis,full_2x2_flower_phenotype,no_strict_AxD_because_D_invalid,no,no,not_identified,no,factorial_phenotype_near_miss,second_axis_is_reward_not_independent_defence
Santangelo_2019_Trifolium,Trifolium repens,10.1111/jeb.13392,measured_floral_display_traits,whole_plant_HCN_defence,defence_x_agent_factorial_with_trait_interactions,floral_trait_x_HCN_terms_present,herbivory_manipulated,pollination_context_present_but_not_trait_factorial_toggle,not_identified,no,cross_organ_trait_by_defence_interaction,D_not_flower_specific_and_A_not_manipulated
Egan_2021_Fragaria,Fragaria vesca,10.1002/evl3.262,measured_attraction_related_traits,leaf_defence_metabolites,no_A_D_trait_factorial,no_A_trait_x_D_trait_term,herbivory_presence_absence,pollination_open_vs_hand,not_identified,no,consumer_agent_factorial_with_trait_selection,A_D_not_manipulated_and_D_leaf_specific
Garcia_2024_Asclepias,Asclepias syriaca,10.26786/1920-7603(2024)758,measured_floral_attraction_traits,measured_flower_specific_latex,no,main_effects_only,no,no,not_identified,no,same_individual_A_D_measurement,no_AxD_term_and_no_consumer_toggles
Knauer_Schiestl_2017_Brassica,Brassica rapa,10.1007/s10682-016-9878-8,measured_attractive_floral_signals,absent,no,no_D_axis,antagonist_context,pollinator_context,not_identified,no,A_multiroute_selection,no_distinct_D_axis
Strauss_1999_Brassica,Brassica rapa,10.1111/j.1558-5646.1999.tb04525.x,measured_floral_display_traits,whole_plant_myrosinase_resistance,defence_selection_regime_x_damage,no_flower_A_trait_x_D_trait_term,herbivore_damage_manipulated,pollinator_use_observed,not_identified,no,cross_organ_ecological_cost,D_not_flower_specific_and_A_not_manipulated
Hanley_2009_Hakea,Hakea spp.,10.1111/j.1469-8137.2008.02709.x,comparative_flower_colour_pollination_syndrome,comparative_floral_cyanide_plus_physical_defence,no,comparative_covariation_only,no,no,not_identified,no,comparative_A_D_covariance,no_within_system_AxD_or_consumer_intervention
Kessler_2013_Petunia,Petunia x hybrida,10.1111/ele.12038,transgenic_attractive_scent_components,transgenic_defensive_scent_components,component_specific_lines_not_crossed_A_D,no_common_outcome_AxD,no,no,not_identified,no,component_partitioning,attractive_and_defensive_components_not_crossed_on_common_outcome
Sun_Huang_2015_Pedicularis_rex,Pedicularis rex,10.1093/aobpla/plv019,absent,manipulated_water_holding_bract,no_A_axis,no_AxD,D_effect_on_seed_predator_not_consumer_toggle,pollinator_response_measured_not_toggle,not_identified,no,selective_D_system_anchor,no_independent_A_manipulation
