stage,layer,target,status,evidence_ceiling,next_gate
T1,theory,shared_coordinate_optimum,GENERAL_N_FUNCTION_STRICT_CONVEX_THEORY_PROVED_UNDER_DECLARED_ASSUMPTIONS,common_scalar_or_declared_d_dimensional_shared_coordinate_and_fixed_loss_families,T2
T2,theory,fitness_scale_conflict_bridge,STRONG_CONVEX_CURVATURE_BOUNDS_AND_THEORY_TO_ESTIMAND_BRIDGE_IMPLEMENTED,curvature_bounds_and_component_definition_required,T3
T3,theory,falsifiable_weight_optimum_global_minimax_binding_support_dimension_functional_geometry_design_capacity_weight_balance_chord_curvature_finite_reoptimization_pareto_support_weight_uncertainty_normal_cone_dual_reconstruction_and_finite_support_geometry,N_FUNCTION_WEIGHT_SENSITIVITY_MINIMAX_D_PLUS_1_SUPPORT_EXACT_CURVATURE_RANK_VANISHING_MINOR_LOCAL_DIMENSION_WHITENED_GRAM_LINEAR_TRAIT_COORDINATE_INVARIANCE_EFFECTIVE_DIMENSION_SPECTRAL_CERTIFICATE_WEIGHT_PERTURBATION_DESIGN_CAPACITY_CURVATURE_NULLSPACE_WEIGHT_IDENTIFICATION_WEIGHT_CHORD_CURVATURE_GAP_FINITE_WEIGHT_REOPTIMIZATION_RELIEF_FINITE_EFFECTIVE_CURVATURE_SYMMETRIC_FORWARD_REVERSE_CHORD_CURVATURE_SUPPORTED_PARETO_FRONTIER_WEIGHT_POLYTOPE_VERTEX_CERTIFICATE_CONVEX_SUPPORT_REGION_WEIGHT_PATH_NO_REENTRY_PAIRWISE_SWITCH_HYPERPLANE_POSITIVE_WEIGHT_CONVEX_UPPER_HULL_DUAL_RECONSTRUCTION_AND_FINITE_WEIGHT_NET_SUPPORT_SLACK_CERTIFICATE_THEOREMS_PROVED,regular_convex_minimax_conditions fixed_loss_families positive_definite_phenotype_hessian gradient_spanning_for_full_dimension invertible_linear_trait_reparameterization PSD_curvature_estimation prospectively_justified_operator_norm_error_bound sufficient_relative_weight_design_capacity one_dimensional_positive_curvature_nullspace_when_relative_weight_recovery_is_claimed valid_directional_curvature_bounds common_loss_families_with_fixed_feasible_shared_phenotype_space_over_registered_finite_weight_chords same_static_value_function_in_forward_reverse_experiments fixed_attainable_loss_set_under_positive_functional_weight_sweeps convex_registered_functional_weight_uncertainty_polytope_when_vertex_certification_is_claimed fixed_loss_vectors_along_declared_straight_weight_paths_when_support_region_no_reentry_is_claimed nonempty_compact_attainable_loss_set_when_exact_positive_weight_halfspace_reconstruction_is_claimed and valid_attainable_candidate_norm_bounds_plus_a_registered_positive_weight_delta_net_when_finite_support_slack_is_claimed,C0
C0,causal,trait_manipulation_qualification,ANALYZER_IMPLEMENTED_EMPIRICAL_EXECUTION_PENDING,technical_gate_only,C1
C1,causal,selective_P_and_independent_G,CONTRACTS_IMPLEMENTED_EMPIRICAL_EXECUTION_PENDING,method_selectivity_only,C2
C2,causal,z_x_P_x_G_full_surface,ANALYZER_IMPLEMENTED_NOT_YET_EXECUTED,state_specific_causal_compromise_if_positive,C3
C3,causal,positive_fitness_scale_L,ANALYZER_AND_INTERFACE_IMPLEMENTED_NOT_YET_EXECUTED,contemporary_shared_conflict_only,G0
G0,generality,Pedicularis_same_system_causal_proof,PREFERRED_ROUTE_NOT_YET_EXECUTED,existence_not_universality,G1
G1,generality,independent_floral_replication,CANDIDATE_SET_REGISTERED_REPLICATION_INCOMPLETE,chapter_signature_recurrence_only,G2
G2,generality,cross_domain_shared_coordinate_conflict,CANDIDATES_RECOVERED_CAUSAL_REPLICATION_NOT_CLOSED,no_universality_claim_before_replication,none
