independence_cluster,A_to_pollination_route,A_to_antagonism_route,one_trait_A_axis,A_manipulated,same_A_coordinate,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,audit_status,primary_blocker,source_basis
Adler_Irwin_2005_Gelsemium,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Barlow_et_al_2017_Aconitum,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Carlson_Harms_2007_Chrysothemis,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Chauta_2022_Bejaria_resinosa,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Galen_2011_Polemonium,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Gorden_Adler_2018_Impatiens_capensis,yes,yes,early-season flower redness,no_observational,yes,yes,yes,yes_same_plant_reproductive_components,FAIL,A_not_manipulated,empirical/identification_design/IMPATIENS_2018_IDENTIFICATION_RETROFIT_V1.md
Gronquist_2001_Hypericum,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Gross_Sun_Schiestl_2016_Gymnadenia_odoratissima,no,yes,total floral scent,no_observational,yes,no_current_same_study_route,yes,no_common_reproductive_outcome,FAIL,A_not_manipulated_and_pollinator_route_absent,empirical/mechanism_pattern_synthesis/DIRECT_AXD_AUDIT_V1.csv
Irwin_Adler_Brody_2004_Ipomopsis,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Jones_Agrawal_2016_Asclepias,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Kessler_Baldwin_2007_Nicotiana,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Kessler_Bing_Haverkamp_Baldwin_2019_Nicotiana,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Kessler_et_al_2015_Nicotiana,yes,yes,benzylacetone floral scent,yes,yes,yes,yes,no_separate_seed_and_oviposition_assays,FAIL,no_common_reproductive_outcome_across_roles,empirical/mechanism_pattern_synthesis/KESSLER_2015_FACTORIAL_REAUDIT_V1.md
McCall_2013_Raphanus_sativus,no,yes,petal colour morph,no_reproductive_A_intervention,yes,no_current_same_study_route,yes,no_common_reproductive_outcome,FAIL,pollinator_response_absent_from_focal_study,empirical/mechanism_pattern_synthesis/RAPHANUS_2013_COLOR_FLORIVORY_AUDIT_V1.md
McCarren_2021_Erica,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Page_2014_Silene_signals,no,yes,flower colour and floral scent,no_recombinant_observational_axes,yes,no_current_same_study_route,yes,no_common_reproductive_outcome,FAIL,pollinator_response_absent_from_focal_study,empirical/mechanism_pattern_synthesis/SILENE_LATIFOLIA_2014_SIGNAL_PREDATION_AUDIT_V1.md
Perez_Barrales_2013_Dalechampia_scandens,yes,yes,showy involucral bract area,no_observational,yes,yes,yes,yes_observational_fitness_decomposition,FAIL,A_not_manipulated,empirical/mechanism_pattern_synthesis/DALECHAMPIA_2013_SHARED_TRACKING_AUDIT_V1.md
Stephenson_1982_Catalpa_speciosa,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Sun_Huang_2015_Pedicularis_rex,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Tagawa_2018_Menyanthes_trifoliata,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Takeda_2021_slippery_perianths,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Takeda_Kadokawa_Kawakita_2021,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Theis_Adler_2012_Cucurbita,yes,yes,enhanced floral fragrance,yes,yes,yes,yes,yes_seed_production_directional_only,PASS_DIRECTIONAL_ONLY,raw_main_experiment_data_unavailable,empirical/mechanism_pattern_synthesis/THEIS_ADLER_2012_FIGSHARE_ROUTE_READOUT_V1.md
Theis_et_al_2014_Cucurbitaceae,yes,yes,floral sesquiterpenoid emission,no_comparative,yes,yes,yes,no_common_reproductive_outcome,FAIL,A_not_manipulated_and_no_common_reproductive_outcome,empirical/mechanism_pattern_synthesis/THEIS_2014_CUCURBITA_MULTIROUTE_READOUT_V1.md
Wu_Gao_2024_Thunia_alba,no,no,not_evaluated,not_evaluated,not_evaluated,no_current_route,no_current_route,not_evaluated,NOT_EVALUABLE_NO_A_ROUTE,no_committed_A_route,data/source_exports/BITA_TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
