species,subgenus,section,pollinator,reproductive_system,cao_sample_n,phylogenetic_scent_scaffold,private_pollinator_channel,nonpollinator_scent_tracking,dual_receiver_molecular_evidence,history_intersection_status,priority,source_basis
Ficus_maxima,Pharmacosycea,Pharmacosycea,Tetrapus_americanus,M,3,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_hombroniana,Pharmacosycea,Oreosycea,Dolichoris_sp,D,3,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_macrophylla,Urostigma,Malvanthera,Pleistodontes_froggatti,M,4,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_aurea,Urostigma,Americana,Pegoscapus_jimenezi,M,3,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_citrifolia,Urostigma,Americana,Pegoscapus_tonduzi,M,7,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_lutea,Urostigma,Galoglychia,Allotriozoon_heterandromorphum,M,4,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_glumosa,Urostigma,Galoglychia,Elisabethiella_glumosa,M,5,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_trichopoda,Urostigma,Galoglychia,Elisabethiella_bergi,M,3,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_burkei,Urostigma,Galoglychia,Elisabethiella_burkei,M,5,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_natalensis,Urostigma,Galoglychia,Alfonsiella_longiscapa,M,15,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_carica,Ficus,Ficus,Blastophaga_psenes,D,6,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_erecta,Ficus,Ficus,Blastophaga_nipponica,D,7,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_fulva,Ficus,Eriosycea,Valisia_compacta,D,6,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_asperifolia,Sycidium,Sycidium,Kradibia_gestroi_afrum,D,4,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_cyrtophylla,Sycidium,Sycidium,Kradibia_sp,D,3,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_exasperata,Sycidium,Sycidium,Kradibia_gestroi_afrum,D,33,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_subulata,Sycidium,Palaeomorphe,Kradibia_subulatae,D,4,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_tinctoria,Sycidium,Palaeomorphe,Kradibia_rutherfordi,D,7,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NONHOST_CONTROL_IN_F_HISPIDA_DUAL_AUDIENCE_ASSAY,NOT_MATCHED,PHYLOGENY_PLUS_NONHOST_SPECIFICITY_CONTROL,P2_CONTROL,Cao2026_10.1111_nph.71133;Proffit2009_10.1111_j.1570-7458.2009.00823.x
Ficus_itoana,Sycomorus,Adenosperma,Ceratosolen_armipes,D,11,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_adenosperma,Sycomorus,Adenosperma,Ceratosolen_cf_adenospermae,D,3,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_microdictya,Sycomorus,Adenosperma,Ceratosolen_kaironkensis,M,10,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_mollior,Sycomorus,Adenosperma,Ceratosolen_medlerianus,D,4,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_racemosa,Sycomorus,Sycomorus,Ceratosolen_fusciceps,M,5,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,DIRECT_STAGE_SPECIFIC_NPFW_ODOR_RESPONSE,NOT_MATCHED,PHYLOGENY_PLUS_ANTAGONIST_SCENT_RESPONSE,P2_DUAL_AUDIENCE_EXPANSION,Cao2026_10.1111_nph.71133;Proffit2007_10.1111_j.1365-2656.2007.01213.x;Proffit2009_10.1111_j.1570-7458.2009.00823.x
Ficus_oligodon,Sycomorus,Sycomorus,Ceratosolen_cf_emarginatus,D,3,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_auriculata,Sycomorus,Sycomorus,Ceratosolen_emarginatus,D,5,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
Ficus_sycomorus,Sycomorus,Sycomorus,Ceratosolen_galili,M,4,YES_32_SPECIES_PHYLOGENY,NOT_DIRECTLY_TESTED,NOT_MATCHED_IN_CURRENT_AUDIT,NOT_MATCHED,PHYLOGENY_ONLY,P3_SCAFFOLD,Cao2026_10.1111_nph.71133
