study,doi,design_scope,cue_architecture_evidence,selection_form,evolutionary_scale,compromise_maintenance,polymorphism_maintenance,directional_specialization,population_differentiation,lineage_branching,cue_modularization,adjudication,positive_recovery,claim_ceiling,source_basis
Sasidharan_et_al_2023,10.1093/aob/mcad064,cross_study_assembled_response_synthesis,shared_and_role_specific_response_patterns,not_measured,cross_study,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,INDIRECT_ONLY,MECHANISM_ONLY,recurrent shared attraction and rarer shared repulsion are recovered,response aggregation does not identify a fitness surface or evolutionary outcome,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Theis_Adler_2012,10.1890/11-0825.1,field_A_manipulation,single_declared_fragrance_contrast,single_contrast_net_negative,within_experiment,NOT_EVALUABLE,NOT_EVALUABLE,LOCAL_DIRECTION_ONLY,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,PARTIAL_LOCAL_DIRECTION,reduced seed production under enhanced fragrance is recovered,one contrast cannot locate an optimum or branching geometry,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Page_et_al_2014,10.1371/journal.pone.0098755,observational_recombinant_signal_axes,colour_and_scent_axes_used_by_antagonist,not_measured,within_population,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,INDIRECT_COMPONENT_STRUCTURE,MECHANISM_ONLY,antagonist discrimination among floral cue axes is recovered,no same-axis pollination or common-fitness geometry,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Junker_Bluethgen_2010,10.1093/aob/mcq045,cross_study_consumer_response_synthesis,consumer_dependency_changes_signal_filtering,not_measured,cross_study,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,INDIRECT_RESPONSE_SEPARABILITY,MECHANISM_ONLY,role-dependent signal filtering is recovered,resource-dependence categories do not identify evolved cue modules,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Knauer_Bakhtiari_Schiestl_2018,10.1038/s41467-018-03792-x,field_manipulation_and_common_garden,shared_beta_ocimene_with_state_dependent_induction,context_dependent_selection_and_gating,populations,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,DIRECT_PHENOTYPIC_DIFFERENTIATION,NOT_EVALUABLE,DIRECT_CONDITIONAL_GATING,BOUNDED_POPULATION_DIFFERENTIATION,shared cue gating and common-garden population differentiation are recovered,local adaptation is supported inference and private-cue evolution is not shown,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Kessler_et_al_2015,10.7554/eLife.07641,multi_trait_manipulation_split_assays,benzylacetone_and_nectar_axes_experimentally_uncoupled,split_outcomes,within_experiment,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,DIRECT_AXIS_SEPARABILITY,PARTIAL_MODULARITY_MECHANISM,independent trait control and consumer-specific responses are recovered,split assays do not establish evolution of private modules or a common net-fitness gain,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Perez_Barrales_2013,10.1111/j.1600-0706.2013.20780.x,observational_shared_tracking_and_fitness_decomposition,same_showy_bract_axis_tracks_both_roles,observational_net_stabilizing,within_population,DIRECT_OBSERVATIONAL_STABILIZING,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,RECOVERED_CASE_LEVEL_COMPROMISE,opposing selection and a stabilizing net tendency on one display axis are recovered,no randomized do(A) response or prevalence claim,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Theis_et_al_2014,10.3732/ajb.1400171,comparative_panel,same_sesquiterpenoid_axis_tracks_both_roles,not_measured,among_taxa,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,COMPARATIVE_MECHANISM_ONLY,comparative shared tracking is recovered,taxon differences do not establish evolutionary transitions,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Kessler_et_al_2013,10.1111/ele.12038,transgenic_component_perturbations,volatile_components_have_host_location_or_deterrent_functions,not_measured,within_experiment,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,DIRECT_COMPONENT_FUNCTION_DIFFERENTIATION,PARTIAL_MODULARITY_MECHANISM,within-bouquet functional partitioning is recovered,pollinator preservation and evolved module origin are not tested,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
Torang_Ehrlen_Agren_2008,10.1890/07-1283.1,field_frequency_dependent_selection,display_morphs,frequency_dependent_variable_among_years_and_populations,within_population,NOT_EVALUABLE,DIRECT_CONTEXT_DEPENDENT_MAINTENANCE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,RECOVERED_CASE_LEVEL_POLYMORPHISM,frequency-dependent selection capable of maintaining alternative display morphs is recovered,variable sign does not guarantee universal persistence or lineage branching,docs/SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1.md
