study_id,one_trait_rescreen_status,first_blocker,source_basis
Gorden_Adler_2018_Impatiens_capensis,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Kessler_Gase_Baldwin_2008_Nicotiana,FAIL,no_common_reproductive_outcome_across_pollination_and_oviposition_channels,empirical/identification_design/KESSLER_2008_IDENTIFICATION_REAUDIT_V2.md
Irwin_Adler_2006_Gelsemium,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Gross_Sun_Schiestl_2016_Gymnadenia,FAIL,A_not_manipulated_and_pollinator_route_absent,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Dalechampia_linked_panel_candidate,FAIL,A_not_manipulated_and_individual_linkage_unverified,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Strauss_Irwin_2004_Raphanus,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Gronquist_2001_Hypericum,FAIL,pollinator_response_and_common_reproductive_outcome_absent,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Kessler_2015_Nicotiana,FAIL,no_common_reproductive_outcome_across_pollination_and_oviposition_channels,empirical/mechanism_pattern_synthesis/KESSLER_2015_FACTORIAL_REAUDIT_V1.md
Santangelo_2019_Trifolium,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Egan_2021_Fragaria,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Garcia_2024_Asclepias,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Knauer_Schiestl_2017_Brassica,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Strauss_1999_Brassica,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Hanley_2009_Hakea,FAIL,A_not_manipulated,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Kessler_2013_Petunia,FAIL,no_same_experiment_common_reproductive_outcome_for_both_roles,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
Sun_Huang_2015_Pedicularis_rex,FAIL,no_A_axis,empirical/identification_design/HIGH_INFORMATION_IDENTIFICATION_COVERAGE_V1.csv
