record_id,doi,title,year,venue,source_databases,query_ids,openalex_id,crossref_url,identification_status,screen_title_abstract,screen_title_abstract_reason,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,notes
SCHPRISMA-000001,10.1002/ps.4895,"2‐Alkyl‐3‐methoxypyrazines are potent attractants of florivorous scarabs (Melolonthidae, Cyclocephalini) associated with economically exploitable Neotropical palms (Arecaceae)",2018,Pest Management Science,OPENALEX,Q02,https://openalex.org/W2794141272,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000002,10.1086/711754,2020 American Society of Naturalists Awards,2021,The American Naturalist,OPENALEX,Q08;Q10,https://openalex.org/W4285541031,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000003,10.3390/biology11081203,A Decrease in the Staminode-Mediated Visitor Screening Mechanism in Response to Nectar Robbers Positively Affects Reproduction in Delphinium caeruleum Jacq. ex Camb. (Ranunculaceae),2022,Biology,OPENALEX,Q08;Q13,https://openalex.org/W4291000381,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000004,10.1002/aps3.11326,A fishing expedition to discover the pollinators of several subtropical Apocynaceae,2020,Applications in Plant Sciences,OPENALEX,Q13,https://openalex.org/W3006327257,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000005,10.1093/aob/mcad101,"A Focus on Plant Reproduction, and a New Cover for Annals of Botany",2023,Annals of Botany,OPENALEX,Q05;Q08;Q10,https://openalex.org/W4386080670,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000006,10.1016/j.ecolind.2021.108321,A framework to estimate the contribution of weeds to the delivery of ecosystem (dis)services in agricultural landscapes,2021,Ecological Indicators,OPENALEX,Q09;Q12,https://openalex.org/W3210514059,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000007,10.1186/1471-2229-12-67,A generalized deceptive pollination system of Doritis pulcherrima (Aeridinae: Orchidaceae) with non-reconfigured pollinaria,2012,BMC Plant Biology,OPENALEX,Q10,https://openalex.org/W2153115410,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000008,10.1890/08-0511.1,A geographic selection mosaic in a generalized plant–pollinator–herbivore system,2009,Ecological Monographs,OPENALEX,Q10,https://openalex.org/W2002803958,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000009,10.3389/fpls.2025.1552335,A guide to sunflowers: floral resource nutrition for bee health and key pollination syndromes,2025,Frontiers in Plant Science,OPENALEX,Q01;Q05;Q09,https://openalex.org/W4410014262,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000010,,A Hive Mind: Bounded Rationality and Bees,2025,VTechWorks (Virginia Tech),OPENALEX,Q12,https://openalex.org/W7112160285,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
