record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,geographic_contrast,receiver_assemblage_contrast,decision_source,decision_note
SCHPRISMA-000312,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,flower size and flower number,NO_OBSERVATIONAL_SELECTION,YES_POLLINATOR_VISIT_RATE_AND_SELECTION,YES_NECTAR_ROBBER_FLORIVORE_VISIT_RATE_AND_SELECTION,YES_MULTIPLICATIVE_FEMALE_FITNESS_COMPONENT,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Collaea study quantifies pollinator and antagonist visitation and opposing selection on flower size/number with attacked versus non-attacked female fitness.
SCHPRISMA-000316,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral damage state,YES_SIMULATED_FLORIVORY,YES_POLLEN_DEPOSITION_OR_POLLINATION_MEDIATED_FITNESS,NO_FLORIVORE_RESPONSE_TO_DO_A,YES_FRUIT_AND_SEED_OUTCOMES,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Royal Iris experiment manipulates floral herbivory and measures pollination-mediated fitness and reproduction; reported effects are weak/null but informative.
SCHPRISMA-000322,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivore-induced flower trait bundle,NO_HERBIVORE_TREATMENTS_ARE_UPSTREAM,YES_POLLINATOR_VISITATION_RESPONSE,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Six herbivore species induce species-specific floral changes with contrasting pollinator visitation responses.
SCHPRISMA-000323,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,spotted versus spotless floral morph,NO_OBSERVATIONAL_POLYMORPHISM,YES_POLLINATOR_MORPH_PREFERENCE,YES_FLORIVORE_OVULE_PREDATION_BY_MORPH,YES_FEMALE_FITNESS_AND_MALE_FITNESS_INFERENCE,POLYMORPHIC_POPULATIONS_WITH_SITE_CONTEXT,POLLINATOR_AND_FLORIVORE_COMMUNITY_CONTEXT_DIFFERS_AMONG_SITES,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Ursinia spotted morph attracts the dominant pollinator but suffers greater ovule predation; community composition is proposed to shift selection among sites.
SCHPRISMA-000334,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,corolla morphology nectar gland size and nectar reward,NO_OBSERVATIONAL_TRAIT_VARIATION,YES_LEGITIMATE_POLLINATION_RESPONSE,YES_NECTAR_ROBBING_RESPONSE_TO_FLORAL_TRAITS,YES_FEMALE_FITNESS_OR_SUCCESSFUL_POLLINATION,THREE_POPULATION_FLORAL_TRAIT_CONTRAST,POLLINATION_ROBBING_RELATIONS_DIFFER_AMONG_POPULATIONS,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Polygala study spans three populations; floral traits and nectar rewards predict legitimate pollination and robber preferences, with population-specific relationships."
SCHPRISMA-000340,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,bioRxiv preprint of Sasidharan et al. 2023; published Annals of Botany representation is SCHPRISMA-000339/source-registry anchor.
SCHPRISMA-000343,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,florivory-altered corolla outline and display,YES_SIMULATED_FLORIVORY,YES_HUMMINGBIRD_POLLINATION_RESPONSE,NO_FLORIVORE_RESPONSE_TO_DO_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Frontiers study combines natural/simulated florivory, changed floral expression and hummingbird pollination; no antagonist response to do(A)."
SCHPRISMA-000353,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flower number and display centrality,NO_OBSERVATIONAL_NETWORK,YES_HUMMINGBIRD_POLLINATOR_VISITS,YES_NECTAR_ROBBER_AND_FLORIVORE_VISITS,YES_VIABLE_SEED_OR_REPRODUCTIVE_SUCCESS,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Flower-visitor network study links display, hummingbird pollinators, antagonists and viable seed production; independence must be clustered with SCHPRISMA-000312."
SCHPRISMA-000360,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory-associated floral display and network position,NO_NATURAL_HERBIVORY_IS_UPSTREAM,YES_FLOWER_VISITOR_NETWORK_RESPONSE,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,NO_PLANT_FITNESS_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"2025 Journal of Ecology study links foliar herbivory, flowerhead density/visitation and network centrality."
SCHPRISMA-000365,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,individual floral scent compounds,YES_SYNTHETIC_SCENT_BAITS,YES_MULTIPLE_POLLINATOR_SPECIES_ATTRACTED,YES_MULTIPLE_FLORAL_HERBIVORE_SPECIES_ATTRACTED,NO_PLANT_REPRODUCTIVE_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Canada thistle scent-bait experiments show benzaldehyde/phenylacetaldehyde attracting both pollinators and floral herbivores.
