record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000101,EXCLUDE,TA_NOT_FLORAL_SIGNAL,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,western flower thrips is an insect name; focal monoterpene-resistance study does not establish a floral attraction/display signal
SCHPRISMA-000102,EXCLUDE,TA_NOT_FLORAL_SIGNAL,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,local adaptation to soil/biotic interactions; floral signal coordinate is not the focal object
SCHPRISMA-000103,EXCLUDE,TA_NOT_FLORAL_SIGNAL,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,preprint of soil-local-adaptation study; floral signal coordinate is not the focal object
SCHPRISMA-000104,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,nectar robber in a pollination-adapted bellflower; retain for floral access/dual-role adjudication
SCHPRISMA-000106,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,masting/seed-predator system with pollination context may bear on reproductive display/phenology trade-offs
SCHPRISMA-000107,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,flower-visitor/herbivore interaction-network dissertation; uncertainty resolves to full-text retention
SCHPRISMA-000109,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,"book review, not an independent primary study or focused synthesis"
SCHPRISMA-000111,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,parasites are bee parasites rather than plant antagonists/exploiters acting through the focal floral signal
SCHPRISMA-000112,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,herbivory/water stress alters bumblebee attraction to flowers; retain for induced-floral-state adjudication
SCHPRISMA-000113,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,predators reduce pollinator density; focal antagonist acts on pollinators rather than the plant/floral signal
SCHPRISMA-000114,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,nectar toxin experiment concerns bumblebee response; no focal plant antagonist response is evident
SCHPRISMA-000115,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,floral scent-pattern learning study is pollinator-focused; no focal plant antagonist response is evident
SCHPRISMA-000117,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,mating-system/sexual-selection divergence study; antagonist wording is not a focal plant antagonist channel
SCHPRISMA-000118,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,preprint of mating-system/sexual-selection study; no focal plant antagonist channel
SCHPRISMA-000119,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,nectar robbery is linked to fruit quality and pollination context; retain
SCHPRISMA-000120,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,nectar-robbing bumblebees on Fuchsia with pollination context; retain
SCHPRISMA-000122,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,Ficus phenology links pollinators and seed predators; retain for temporal shared/private-cue adjudication
SCHPRISMA-000123,RETAIN_FULLTEXT,,ASSISTED_BATCH2_REMAINDER_TITLE_ABSTRACT_SCREEN_2026-08-31,"duplicate-index form of Ficus phenology paper; duplicate status is adjudicated at full text, not silently at TA"
