record_id,screen_title_abstract,screen_title_abstract_reason,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000011,RETAIN_FULLTEXT,,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Moreira et al. 2019 is a meta-analysis of herbivore effects on floral traits, pollinator attractiveness and reproductive success. It remains synthesis/source-registry evidence but is not double-counted as a primary included study."
SCHPRISMA-000017,RETAIN_FULLTEXT,,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Aygoren Uluer 2021 is explicitly a review article on papilionaceous-flower pollinators; retain bibliographically but exclude from the primary-study count."
SCHPRISMA-000018,RETAIN_FULLTEXT,,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Barman et al. 2023 is explicitly a review of cucurbit floral scents, pigments, pollinators and florivores; useful source-registry material, not a primary included experiment."
SCHPRISMA-000025,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory_mediated_floral_display_architecture,NO_A_MANIPULATION_HERBIVORY_TREATMENT_UPSTREAM,YES_POLLINATOR_FORAGING_BEHAVIOR,NO_ANTAGONIST_RESPONSE_TO_A_HERBIVORY_IS_TREATMENT,YES_FRUIT_AND_SEED_PRODUCTION_MEASURED,UPSTREAM_HERBIVORY_EFFECT_ON_DISPLAY_AND_POLLINATORS,FLORAL_DISPLAY_MEDIATES_INDIRECT_PATH,within_experiment,HERBIVORY_TREATMENT_PLUS_POLLINATOR_OBSERVATION,"Primary thesis experiment recovers herbivory effects on floral display and pollinator foraging with female fitness measured, but the display A axis itself is not manipulated and antagonist response to A is absent",NOT_REPORTED,Canada,NOT_REPORTED,NOT_REPORTED,experiment,single_experimental_system,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Lythrum salicaria herbivory treatments changed display architecture and pollinator foraging; no detectable fruit/seed-production difference. Near-pass only because herbivory, not A, is manipulated."
SCHPRISMA-000035,RETAIN_FULLTEXT,,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"bioRxiv preprint of the dataset published as SCHPRISMA-000036 / New Phytologist 10.1111/nph.16739; exclude duplicate report and retain the version of record."
SCHPRISMA-000036,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME,floral_and_herbivory_induced_terpene_emission,NO_FOCAL_CONSUMER_RESPONSE_MANIPULATION,NO,NO,NO_COMMON_REPRODUCTIVE_OUTCOME,NOT_MEASURED,GENETICALLY_LINKED_FLORAL_AND_DEFENCE_VOLATILES,natural_accessions,GENETIC_ARCHITECTURE_AND_ALLELIC_ASSOCIATION,"Direct evidence that pleiotropy/genetic linkage can correlate floral and herbivory-induced volatile evolution; no pollinator/antagonist response coefficients or net fitness surface",natural_Nicotiana_attenuata_accessions,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,accessions,multiple_natural_accessions,NOT_REPORTED,NO_REGISTERED_SPATIAL_RECEIVER_REGIME_CONTRAST,NO_REGISTERED_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,GENETIC_CONSTRAINT_MECHANISM_NOT_LINEAGE_TRANSITION,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Xu et al. 2020 links allelic variation at clustered terpene synthases to correlated floral and herbivory-induced volatile variation. Evolutionary architecture evidence only; consumer responses are not the focal experiment."
SCHPRISMA-000037,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flower_number_and_flower_visitor_attractiveness,NO_A_MANIPULATION_SOIL_AMENDMENT_UPSTREAM,YES_FLOWER_VISITOR_ABUNDANCE,YES_HERBIVORE_PERFORMANCE_AND_ABUNDANCE,YES_SEED_YIELD,UPSTREAM_TREATMENT_EFFECTS_ON_MULTIPLE_CHANNELS,FLORAL_DISPLAY_AND_PLANT_VIGOUR_MEDIATE_PATHS,within_experiment,COMMON_GARDEN_SOIL_AMENDMENT,"Soil amendment increased growth, flower number, visitors and seed yield and altered herbivore performance, but the focal floral A coordinate is not randomized independently",common_garden,Netherlands,NOT_REPORTED,NOT_REPORTED,experiment,single_common_garden,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Barragan-Fonseca et al. 2023 measures pollinator attraction, herbivore performance and seed yield under a common upstream soil treatment. Near-pass/context evidence, not a strict do(A) experiment."
SCHPRISMA-000046,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,synthetic_Datura_floral_scent_and_linalool_enantiomers,YES_SYNTHETIC_SCENT_AND_ENANTIOMER_MANIPULATION,YES_MANDUCA_FEEDING_RESPONSE,YES_MANDUCA_OVIPOSITION_RESPONSE,NO_PLANT_REPRODUCTIVE_OUTCOME,NOT_MEASURED,SAME_CHEMICAL_COORDINATE_DUAL_BEHAVIORAL_PATHWAYS,within_experiment,DIRECT_SYNTHETIC_CUE_BEHAVIOR,"Strong same-code behavioral near-pass: floral scent/linalool directly manipulated and adult feeding versus female oviposition measured, but no common plant reproductive outcome",southwestern_USA,USA,NOT_REPORTED,NOT_REPORTED,experiment,single_Datura_Manduca_system,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Reisenman et al. 2010 shows enantiomer-specific antagonism between Manduca feeding and oviposition pathways on the same Datura floral scent coordinate. It does not close the strict fitness gate."
SCHPRISMA-000051,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,visual_floral_scent_and_nectar_chemistry,NO_A_MANIPULATION_APHID_INFESTATION_UPSTREAM,YES_HADENA_POLLINATOR_BEHAVIOR,NO_ANTAGONIST_RESPONSE_TO_A_APHID_IS_TREATMENT,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,SEX_SPECIFIC_UPSTREAM_HERBIVORY_EFFECTS,MULTIMODAL_FLORAL_CUES,within_experiment,APHID_MANIPULATION_PLUS_POLLINATOR_BEHAVIOR,"Aphid infestation causally changes floral chemistry and pollinator attractiveness, especially in females; it does not measure antagonist response to manipulated A or a common plant-fitness outcome",Kiel_Germany,Germany,NOT_REPORTED,NOT_REPORTED,experiment,single_experimental_system,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,SEX_SPECIFIC_INTERACTION_CONTEXT_NOT_EVOLUTIONARY_TRANSITION,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Zill et al. version of record (J Exp Bot, eraf522). Retain published article; duplicate bioRxiv report SCHPRISMA-000052 is excluded."
SCHPRISMA-000052,RETAIN_FULLTEXT,,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"bioRxiv preprint of the study published as SCHPRISMA-000051 / Journal of Experimental Botany 10.1093/jxb/eraf522; exclude duplicate report."
