record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000794,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Primary Erysimum capitatum study combines observational and experimental work across four populations/years to evaluate pollinator and herbivore preferences, plant fitness and selection on floral traits; retain as a strong multi-agent context/selection source."
SCHPRISMA-000795,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Short addendum on floral signals establishing ant pollination mutualism in Cytinus; ants are effective pollinators in the focal work and no measured plant antagonist/exploiter channel is established.
SCHPRISMA-000796,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Sexually deceptive daisy study links pollinator phylogeography/mate preference to floral divergence but lacks a focal plant antagonist/exploiter response.
SCHPRISMA-000797,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Bat-flower network study concerns spatiotemporal overlap and morphology in pollination microstructure without a focal plant antagonist/exploiter channel.
SCHPRISMA-000798,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Science commentary 'The Invisible Bouquet' is not an independent primary study or sufficiently focused SCH synthesis.
SCHPRISMA-000799,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Sidalcea hendersonii gynodioecy programme includes Bombus pollination observations, sex-biased seed predation, viable seed production and survival; retain for pollinator/predator/fitness adjudication."
SCHPRISMA-000802,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Phenylpropene-synthase molecular-evolution study characterizes enzyme lineages without ecological pollinator and antagonist receiver responses.
SCHPRISMA-000803,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Nicotiana africana study measures alkaloids and herbivory without a focal pollinator service/response.
SCHPRISMA-000804,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Highbush-blueberry pollination-ecology thesis focuses pollinator abundance/effectiveness and crop pollination without a focal plant antagonist/exploiter response.
SCHPRISMA-000805,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Acacia population-genetics/dispersal thesis does not center a floral trait/reward coordinate with pollinator and antagonist responses.
SCHPRISMA-000807,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Focused review synthesizes how herbivory changes floral traits, pollinator visitation and fruit/seed production; retain as relevant synthesis/source-chasing material."
SCHPRISMA-000808,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Honey-bee larval parasite on flowers reduces pollinator visitation, but the parasite acts on the pollinator rather than as a plant antagonist/exploiter channel."
SCHPRISMA-000809,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Genomics review focuses plant-pollinator interactions without a focal plant antagonist/exploiter channel.
SCHPRISMA-000810,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Primary macro-comparative study tests whether insect-herbivore richness predicts plant sexual/mating traits that control outcrossing and dependence on pollinators; retain for evolutionary mutualist-antagonist trait adjudication.
SCHPRISMA-000811,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Repository/data identity of the Red Queen herbivore-pressure versus plant mating-strategy study; retain at TA stage and resolve report dependence with SCHPRISMA-000810 at full text.
SCHPRISMA-000813,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,American Journal of Botany commentary/review on comparative biochemistry is not a focused plant pollinator-antagonist floral-trait synthesis.
SCHPRISMA-000815,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Mediterranean-perspective review concerns pollinator roles in floral evolution without a focal plant antagonist/exploiter channel.
SCHPRISMA-000817,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Repository identity of Veratrum mast-flowering study measuring pollination success, floral-stem herbivory, seed predation and seed production across habitats/years; retain and resolve report dependence with SCHPRISMA-000818 at full text."
SCHPRISMA-000818,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Published Veratrum study measures pollination success, floral-stem herbivory, seed predation and seed production across lowland/alpine populations and years. Pollination success is null with respect to floral density, making it a valid negative/one-sided multi-agent source."
SCHPRISMA-000819,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Focused review of nectar-robbing sensory/cognitive ecology explicitly covers switching between legitimate and robbing behaviour and consequences for plant fitness, natural selection and floral evolution; retain as role-boundary synthesis."
SCHPRISMA-000820,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Study of commercial honeybee effects on invertebrate flower-visitor communities lacks a focal plant floral trait/reward coordinate and plant reproductive endpoint.
SCHPRISMA-000821,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Primary Breynia floral-scent study is embedded in an obligate pollination-seed-consumption mutualism with Epicephala; post-pollination scent change is discussed as limiting ovary overexploitation by seed-predator pollinators. Retain for coupled-role signal adjudication.
SCHPRISMA-000823,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,"Sunbird visitation/pollen-transport network study concerns pollination only, without a focal plant antagonist/exploiter response."
SCHPRISMA-000824,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,New Phytologist commentary 'The sweet stench of decay' comments on carrion-flower scent chemistry/pollination and is not an independent primary study or focused SCH synthesis.
SCHPRISMA-000825,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_N_SCREEN_V51_2026-09-26,Schiedea study links floral volatile timing to shared pollinator foraging activity without a focal plant antagonist/exploiter response.
