record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000680,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Banksia reproductive-biology/mating-system study concerns pollination and breeding biology without a focal plant antagonist/exploiter response.
SCHPRISMA-000682,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Kigelia reproductive-biology study addresses pollination/reproduction without a focal plant antagonist/exploiter response.
SCHPRISMA-000683,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Alfalfa reproductive-ecology review is centered on pollination and seed production rather than a measured plant mutualist-antagonist floral coordinate.
SCHPRISMA-000684,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Agastache reproductive-ecology study for pollinator gardens focuses pollination service without a focal plant antagonist/exploiter channel.
SCHPRISMA-000685,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Western silvery aster reproductive-ecology study lacks a focal measured plant antagonist/exploiter response.
SCHPRISMA-000686,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Annual-plant reproductive-escape study measures response to butterfly eggs/herbivory and accelerated seed production without a focal pollinator service/response.
SCHPRISMA-000687,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Roscoea reproductive-isolation study concerns pollination and species integrity without a focal plant antagonist/exploiter response.
SCHPRISMA-000688,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Restoration-oriented reproductive-phenology study lacks a focal floral trait/reward coordinate with pollinator and antagonist responses.
SCHPRISMA-000689,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Midge-orchid study measures fly pollination and reproductive success without a focal plant antagonist/exploiter response.
SCHPRISMA-000690,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Cabralea reproductive-success study in forest fragments does not establish a focal pollinator-antagonist floral coordinate.
SCHPRISMA-000691,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Florivory study measures resilience of floral scent emission after damage but does not directly measure pollinator response/service in the focal experiment.
SCHPRISMA-000692,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,"Primary Caladenia tessellata study jointly evaluates post-fire pollination success, herbivory and mycorrhizal context; retain for multi-agent reproductive-context adjudication."
SCHPRISMA-000693,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Oak acorn-allocation study concerns resource allocation to seed production and water-use strategy rather than a focal floral coordinate and pollinator response.
SCHPRISMA-000694,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Resource-heterogeneity/biodiversity-function study is not a focal floral trait or plant pollinator-antagonist system.
SCHPRISMA-000695,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,"Review of homoterpenes concerns arthropod-plant chemical ecology broadly, primarily herbivore/enemy signalling rather than a focal measured pollinator channel on a floral coordinate."
SCHPRISMA-000696,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Primary ant-plant-pollinator study explicitly tests how defensive-ant identity affects pollination and plant fitness; retain for mutualist-identity and pollination-cost adjudication.
SCHPRISMA-000697,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Ceropegia pollination study identifies key fly pollinators of foetid-scented flowers but lacks a focal plant antagonist/exploiter response.
SCHPRISMA-000698,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Arabidopsis aromatic-aldehyde-synthase study connects wounding/herbivory response and flower scent biosynthesis but does not measure pollinator ecological response to the scent phenotype.
SCHPRISMA-000699,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Bumblebee avoidance of contaminated flowers concerns pollinator behavioural immunity/contamination rather than a focal plant antagonist/exploiter response.
SCHPRISMA-000700,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,"Primary Cucumis study manipulates root herbivory, measures pollinator visitation, pollen receipt and fruit production, and recovers indirect and direct fitness effects; retain for herbivory-pollination-performance adjudication."
SCHPRISMA-000701,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,General review of plant volatile chemistry/biosynthesis and environmental interactions is too broad to serve as an independent primary study or focused SCH synthesis.
SCHPRISMA-000702,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,"Primary passion-flower study directly evaluates ant defence and pollination, testing whether protective ants interfere with floral visitors; retain for defence-pollination functional-boundary adjudication."
SCHPRISMA-000703,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,New Phytologist commentary 'Safe sex in plants' is not an independent primary study or substantive focused synthesis for the systematic evidence count.
SCHPRISMA-000704,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,Swedish-language summary/identity of the Arabidopsis lyrata plant-animal interaction programme covers pollinator- and herbivore-mediated selection on flowering and floral display; retain and resolve programme/report dependence with SCHPRISMA-000664 at full text.
SCHPRISMA-000705,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_J_SCREEN_V47_2026-09-26,"Primary hawthorn fragmentation study jointly measures pollination, frugivory and seed predation across spatial scales; retain for multi-function landscape-context adjudication."
