record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000001,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral methoxypyrazine blend,NO_OBSERVATIONAL_CHEMICAL_VARIATION,NO_DIRECT_POLLINATOR_ASSAY,YES_FLORIVOROUS_SCARAB_BIOASSAY,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,NOT_MEASURED,ONE_SIDED_FLORAL_ODOR_ANTAGONIST_RESPONSE,within_experiment,DIRECT_ANTAGONIST_CUE_RESPONSE,Direct florivore attraction to declared floral methoxypyrazines; pollinator use is contextual rather than measured,NOT_REPORTED,NOT_REPORTED,local_bioassay,NOT_REPORTED,NOT_REPORTED,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Primary floral-odor bioassay is useful as a one-sided near-pass but supplies no direct pollinator response or common plant-fitness outcome.
SCHPRISMA-000003,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,staminode visitor-screening mechanics,NO_ROBBING_TREATMENT_NOT_DIRECT_DO_A,YES_VISITATION_AND_POLLEN_TRANSFER,YES_NECTAR_ROBBING_TREATMENTS,YES_REPRODUCTIVE_FUNCTION_AND_FITNESS_COMPONENTS,ROBBING_CONTEXT_DEPENDENT,FLORAL_SCREENING_ARCHITECTURE_RESPONDS_TO_ROBBING,within_experiment,MANIPULATED_ROBBING_CONTEXT_WITH_POLLINATION_RESPONSE,"Robbing manipulations alter staminode mechanics, pollinator visitation and pollen transfer, but the focal floral coordinate itself is not randomized",NOT_REPORTED,NOT_REPORTED,field_experiment,NOT_REPORTED,NOT_REPORTED,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Retained as a linked ecological near-pass: the antagonist treatment changes the floral screening interface, but it is not a clean do(A) experiment on one shared floral coordinate."
SCHPRISMA-000004,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Application paper is designed to identify effective pollinators of subtropical Apocynaceae; it does not provide a focal plant-antagonist response channel.
SCHPRISMA-000020,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Primary study characterizes osmophores and a simple fragrance in a sweat-bee-pollinated rewarding orchid; no focal antagonist response is measured.
SCHPRISMA-000023,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,stamen visual-and-pollen functional partition,YES_STAMEN_EXCLUSION_MANIPULATION,YES_BEE_VISITATION_AND_POLLEN_DEPOSITION,YES_POLLEN_FEEDING_EXPLOITATION_BY_SAME_BEES,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,FUNCTIONAL_PARTITIONING,FEEDING_VS_POLLINATING_STAMEN_MODULES,within_flower,DIRECT_PARTIAL_MODULARITY_MECHANISM,Stamen manipulation and pollen functionality support division of labour that mitigates the pollen dilemma; evolutionary origin and net plant-fitness gain are not demonstrated,Brazil,NOT_REPORTED,individual_plants,three_municipalities_in_Sao_Paulo_state,MULTISITE,NO_REPLICATED_RECEIVER_REGIME_CONTRAST,NO_REPLICATED_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,FUNCTIONAL_ARCHITECTURE_NO_ANCESTRAL_TRANSITION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Direct component partitioning is admitted as partial modularity mechanism; no strict common reproductive outcome is available.
SCHPRISMA-000033,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral traits and rewards altered by soil/pathogen legacy,NO_A_NOT_RANDOMIZED_AS_FOCAL_COORDINATE,YES_BEE_VISITATION,YES_PATHOGEN_AND_MULTITROPHIC_CONTEXT,NO_COMMON_SHARED_CUE_FITNESS_SURFACE,INDIRECT_MULTITROPHIC,PATHOGEN_MEDIATED_FLORAL_PHENOTYPE,within_experiment,MULTITROPHIC_MEDIATION,"Soil and pathogen legacy alter floral phenotype and pollinator visitation, but the antagonist is not assayed as a receiver of the same floral coordinate",NOT_REPORTED,NOT_REPORTED,greenhouse_or_field_experiment,NOT_REPORTED,NOT_REPORTED,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Included as a lower near-pass linking antagonistic/pathogenic context to floral phenotype and pollinator response, not as shared-cue evidence."
SCHPRISMA-000039,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Plant Physiology ecological update/review is retained for source recovery only and not double-counted as a primary study.
SCHPRISMA-000042,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Review of floral volatile terpenoid biosynthesis/functions is secondary source material, not an independent primary experiment."
SCHPRISMA-000044,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Ant-exclusion experiment demonstrates pollination and mating-system costs of defensive ant guards, but the randomized coordinate is ant presence rather than a floral attraction/display signal."
SCHPRISMA-000045,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Turnera dissertation examines defensive ants and pollination costs, including extrafloral-nectar mechanisms, but does not supply a declared floral A coordinate for SCH."
