record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000430,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,"Primary Nicotiana study measures herbivory-induced changes in floral volatile emission and gene expression, but does not measure a pollinator response/service in the focal experiment."
SCHPRISMA-000431,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Squash domestication study compares floral attributes and floral visitor communities in wild and cultivated taxa; no focal plant antagonist/exploiter response is measured.
SCHPRISMA-000432,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,"Primary Chelonanthus study concerns bat-pollinated flowers, circum-floral nectaries attracting protective ants, and ant-mediated protection of flowers from herbivorous insects; retain for floral reward/protection and ant-pollinator boundary adjudication."
SCHPRISMA-000433,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,"Brassica exuviae/herbivory experiment measures changes in flower morphology, reflectance and VOC emission with only inferred consequences for pollinator attraction; no pollinator response is measured."
SCHPRISMA-000435,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Primary Brassica rapa study directly tests how caterpillar herbivory changes behaviour of butterfly and bumblebee pollinators; retain for herbivory-induced pollinator-response adjudication.
SCHPRISMA-000436,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Version-of-record faba-bean factorial study crosses insect pollination with Bruchus pest damage and measures yield components; retain and resolve dependence with preprint/report SCHPRISMA-000401 at full text.
SCHPRISMA-000437,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Oilseed-rape pollination study/thesis addresses insect pollination without a focal plant antagonist/exploiter component.
SCHPRISMA-000438,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Floral-visitor survey in a recovering post-mining area characterizes flower visitors but does not establish a focal plant antagonist/exploiter response.
SCHPRISMA-000439,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Hydrangea metabolome/transcriptome study resolves floral scent formation but does not measure pollinator or antagonist ecological responses to the scent phenotype.
SCHPRISMA-000440,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Primary Arabis common-garden study tests integration between floral attractive phytochemicals and foliar defensive phytochemicals across 28 populations; retain for evolutionary trait-integration/conflict-boundary adjudication even though direct insect responses are not the focal endpoint.
SCHPRISMA-000441,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Chrysanthemum terpene-synthesis omics study identifies candidate biosynthetic genes without measuring pollinator and antagonist responses to the focal chemistry.
SCHPRISMA-000442,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,"Study explicitly addresses how plant-animal interaction intensity changes phenotypic selection strength; retain under TA uncertainty for source role, floral-coordinate and interacting-agent adjudication."
SCHPRISMA-000443,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Primary tomato study tests how parasite infection of Bombus alters pollinator responses to herbivory; retain for herbivory × pollinator-state interaction adjudication.
SCHPRISMA-000444,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Cerrado ant–extrafloral-nectary study concerns defensive ant mutualism and does not measure pollination service/response to a focal floral coordinate.
SCHPRISMA-000445,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,New Phytologist symposium report broadly summarizes interaction networks and trait evolution but is not an independent primary study or a focused systematic/review synthesis of the SCH evidence question.
SCHPRISMA-000446,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Bee–bee interactions in relation to floral resources concern pollinator competition/resource use without a focal plant antagonist/exploiter channel.
SCHPRISMA-000447,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Cactus-specialist solitary bee/host-cactus study concerns pollination/host association without a focal plant antagonist response to the same floral coordinate.
SCHPRISMA-000448,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Focused review of fig mutualism and gall-inducing/non-pollinating fig wasps addresses pollinating mutualists and antagonistic/cheating sycophiles within one reproductive system; retain as relevant synthesis/source-chasing material.
SCHPRISMA-000450,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Primary Protea study records pollinating mutualists and seed-predator antagonists across 22 species and tests energetic/morphological trait matching for both interaction types; retain.
SCHPRISMA-000451,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Purple-loosestrife biocontrol thesis concerns interactions between two herbivore agents without a focal pollinator response.
SCHPRISMA-000452,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Field-bean ozone/CO2 experiment measures floral visitation and yield under abiotic treatments but no focal plant antagonist/exploiter response.
SCHPRISMA-000453,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Primary Cerrado study explicitly examines plant-pollinator and plant-florivore interactions and their density dependence; retain for shared-plant/context adjudication.
SCHPRISMA-000454,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Nicotiana/Datura volatile experiment tests hawkmoth pollinator attraction to flower-plus-leaf odour combinations without a focal plant antagonist response.
SCHPRISMA-000456,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Primary Tanacetum field experiment manipulates plot-level chemotype richness and measures herbivore and flower-visitor functional groups across seasons; retain and resolve report/programme dependence with SCHPRISMA-000424/000425 at full text.
SCHPRISMA-000457,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_B_SCREEN_V39_2026-09-25,Virtual Special Issue introduction on plant volatiles is an editorial overview rather than an independent primary study or focused synthesis suitable for the systematic evidence count.
