record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,geographic_contrast,receiver_assemblage_contrast,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000202,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral display and reproductive effort under edge-gap context,NO_OBSERVATIONAL_SPATIAL_CONTEXT,YES_HUMMINGBIRD_POLLINATION_CHANNEL,YES_NECTAR_ROBBING_RATE,YES_FRUIT_SET_AND_TOTAL_FRUIT_CROP,SPATIAL_CONTEXT_MEDIATED_MUTUALIST_ANTAGONIST_BALANCE,display_reward_context,ecological_spatial_context,OBSERVATIONAL_MULTI_FRAGMENT_COMPARISON,Spatial context links display/reproduction to pollination and nectar robbery but does not randomize floral A,Chile,FOREST_EDGE_VS_ANTHROPOGENIC_GAP_CONTRAST,NECTAR_ROBBING_AND_POLLINATION_REGIME_DIFFERS_BY_PATCH,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Austral Ecology source compares edges and anthropogenic gaps; flowers are hummingbird-pollinated and bumblebee-robbed and robbery reduces fruit set.
SCHPRISMA-000204,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Preprint representation of the Oenothera harringtonii RNA-seq study retained as published SCHPRISMA-000205 for report-level provenance only.
SCHPRISMA-000205,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Published RNA-seq study resolves genetic regulation of a floral linalool polymorphism; herbivore defence is a proposed function rather than a measured antagonist response in this study.
SCHPRISMA-000206,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Nectar robbing is the interaction treatment and reproductive consequence; no independently declared floral attraction/display coordinate A is evaluated against both audiences.
SCHPRISMA-000214,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flowering display across disturbance patch types,NO_OBSERVATIONAL_PATCH_CONTRAST,YES_HUMMINGBIRD_VISITATION_AND_POLLEN_DEPOSITION,YES_NECTAR_ROBBING_FREQUENCY,YES_FRUIT_SET,SPATIAL_DISTURBANCE_RECEIVER_MOSAIC,flowering_display_in_patch_context,ecological_spatial_context,OBSERVATIONAL_MULTI_PATCH_COMPARISON,Patch type changes pollination and robbery context but does not identify do(A),Costa_Rica,LARGE_GAP_SMALL_GAP_UNDERSTORY_CONTRAST,HUMMINGBIRD_VISIT_AND_ROBBERY_REGIME_CONTRAST,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Ecology source records pollinator visits pollen transfer fruit set and nectar piercing across 14 plots and three disturbance patch types.
SCHPRISMA-000215,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Drought experiment measures generalist/specialist pollinator foraging pollen transfer and reproduction; antagonists are framing context rather than a focal plant antagonist response.
SCHPRISMA-000216,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Brood-pollination diversification article is a synthesis/review and not an independent primary report for the systematic study count.
SCHPRISMA-000218,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,petal nectar-barrier geometry,YES_NECTAR_BARRIER_REMOVAL,NO_DIRECT_POLLINATOR_RESPONSE_MEASURED,YES_NECTAR_THIEF_CONSUMPTION_TO_DO_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,ANTAGONIST_ACCESS_BARRIER_TEST,floral_access_geometry,within_experiment,MANIPULATED_A_ONE_RECEIVER,Direct flower-geometry manipulation identifies nectar-theft protection but lacks the paired pollinator response and common plant outcome,South_Africa,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NO_HISTORICAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Strelitzia nectar barriers were experimentally removed and non-pollinating sunbirds consumed more nectar when the barrier was absent.
SCHPRISMA-000222,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Masting/phenology study tracks flowering and fruiting; pollination and seed predation are hypotheses/background rather than responses to a declared floral attraction coordinate.
SCHPRISMA-000223,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Sapium natural history documents fly pollination and a foliar herbivore while defence is attributed to latex/extrafloral nectaries; the antagonist is not evaluated on the same floral A.
SCHPRISMA-000224,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Petunia study resolves pollination-syndrome traits and pollen scent but does not measure a focal plant-antagonist response to the same floral coordinate in the current experiment.
