record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,decision_source,decision_note
SCHPRISMA-000108,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Aerides full text links the nectariferous spur to legitimate pollination and larceny/florivory with fruit-set consequences. Near-pass only because the focal floral state is generated by consumer damage or larceny rather than an independent do(A)."
SCHPRISMA-000110,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Aspidistra establishes obligate pollination plus larval pollen parasitism by the same midge system but does not test a declared floral attraction/display coordinate A against receiver responses."
SCHPRISMA-000128,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Mount Cameroon full text records pollinators robbers and thieves across a floral-trait community gradient and finds a robber-versus-thief access-trait trade-off. Comparative receiver-overlap evidence only because no common reproductive outcome or do(A) is present."
SCHPRISMA-000166,AVAILABLE,INCLUDE,,STRICT_LINKED_EXPERIMENT,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Sanchez-Lafuente 2007 manipulates corolla lower-lip structure and measures pollinator response fruit-predator visitation and reproductive output. The antagonist response to A is null so this is a strict measurement-architecture pass rather than positive dual-audience conflict."
SCHPRISMA-000188,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Brassica nigra herbivore treatments alter pollinator community composition florivore performance and seed set but the causal contrast is herbivore identity or induced state rather than a declared floral A coordinate."
SCHPRISMA-000105,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Blueberry cultivar corolla morphology predicts legitimate visitor identity/visitation and nectar-robbing behaviour. No plant reproductive outcome or randomized A manipulation closes the strict chain."
SCHPRISMA-000116,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Fitch and Vandermeer report that pollinators and nectar robbers prefer larger displays and robbery lowers reproduction. Survey and array estimates converge on an overrepresented flower-number optimum but the common reproductive outcome is not one randomized A surface."
SCHPRISMA-000132,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Kula et al. report consistent Hadena preference for longer corolla tubes and associations of oviposition with both fruit initiation and later flower/fruit predation. The trait is observational rather than randomized."
SCHPRISMA-000146,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"The Silene-Hadena paper is a nine-population comparative genetic-structure analysis. It does not evaluate a declared floral A coordinate or its mutualist and antagonist response functions."
SCHPRISMA-000155,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Rivest et al. evaluate pollen alkaloids against pollen thieves and legitimate pollinators. Thief abundance is unrelated to alkaloids and Bombus responses at natural thermopsine concentration are zero-compatible; no common plant reproductive outcome is linked to the same A contrast."
SCHPRISMA-000161,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Wenninger et al. relate pollinators to flower density but seed predators to seed density. The two audiences therefore are not evaluated on the same declared floral coordinate A."
SCHPRISMA-000164,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"The Silene-Hadena-Microbotryum study measures oviposition against infection and floral traits but explicitly notes that visitation patterns to healthy versus infected flowers had not been specifically studied."
SCHPRISMA-000165,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Symphytum shows nectar-robbing pressure triggering corolla abscission that enhances delayed self-pollination and seed set. The causal contrast is robber action causing a floral response rather than a predeclared A read by both audiences."
SCHPRISMA-000168,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Irwin and Adler test floral morph and gelsemine expression with pollination and nectar-robbing responses across five populations. This is observational shared-trait evidence without randomized A or common reproductive fitness closure."
SCHPRISMA-000170,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Lichtenberg et al. compare legitimate and nectar-robbing handling tactics and energetic efficiencies. The focal contrast is animal foraging tactic rather than a declared plant floral coordinate A."
SCHPRISMA-000199,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-31,"Yoshikawa and Isagi separate bird-flower interactions into mutualistic and antagonistic subnetworks and show flower-size effects on feeding behaviour. No experimental A or common plant reproductive outcome is present."
