record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000208,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,calyx length and floral display traits,NO_OBSERVATIONAL_SELECTION,YES_POLLINATOR_SELECTION_COMPONENT,YES_PREDISPERSAL_SEED_PREDATOR_SELECTION,YES_RELATIVE_SEED_SET,OPPOSING_SELECTION_ON_FLORAL_TRAITS,same_floral_display_axis_exposed_to_pollinators_and_seed_predators,within_population,OBSERVATIONAL_SELECTION_ANALYSIS,"Opposing pollinator and seed-predator selection on floral traits supports compromise, but A is not randomized and does not establish a positive dual-response causal chain.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,population,field_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Cariveau et al. quantify pollination and pre-dispersal seed-predation selection on calyx length, flower production and plant height with relative seed set as fitness."
SCHPRISMA-000209,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral pigmentation and correlated floral morphology,NO_OBSERVATIONAL_COLOR_POLYMORPHISM,YES_POLLINATOR_BEHAVIOR_AND_SELECTION,YES_SEED_PREDATION_AND_SELECTION,YES_MATERNAL_FECUNDITY,PATH_ANALYSIS_OF_OPPOSING_SELECTION,color_and_morphology_axes_exposed_to_pollinators_and_seed_predators,among_populations,OBSERVATIONAL_PATH_ANALYSIS,"Pollinators and seed predators contribute opposing/indirect selection on floral phenotype across populations; no randomized do(A) or historical cue transition is identified.",South_Africa,South_Africa,NOT_REPORTED,NOT_REPORTED,populations,two_populations,MULTISITE,NO_REGISTERED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,REGIONAL_POPULATION_COMPARISON,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Protea color-polymorphism study links pollinator behavior, seed predation, floral phenotype and fecundity in two populations; retained as selection/evolutionary evidence, not strict causal evidence."
SCHPRISMA-000211,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"bioRxiv preprint of the published disruptive-selection study retained as SCHPRISMA-000213; exclude from independent report counting."
SCHPRISMA-000213,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,flowering stalk height,NO_OBSERVATIONAL_SELECTION_WITH_LEAF_REMOVAL_CONTEXT,YES_POLLINATION_COMPONENT,YES_SEED_PREDATION_COMPONENT,YES_SEED_MATURATION_AND_FITNESS,DISRUPTIVE_AND_OPPOSING_SELECTION,same_height_axis_exposed_to_pollinators_and_seed_predators,among_populations,FIELD_SELECTION_ANALYSIS,"Disruptive selection on flower height arises from pollination and seed-predation components, but the focal A is not randomized in the selection surface.",alpine_China,China,NOT_REPORTED,NOT_REPORTED,populations,multiple_field_populations,MULTISITE,NO_REGISTERED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,ALPINE_POPULATION_CONTEXT,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Published AJB study quantifies fertilization, seed predation and seed maturation across populations and recovers disruptive selection on flowering height."
SCHPRISMA-000221,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,petal display after simulated florivory,YES_PETAL_REMOVAL,YES_POLLINATOR_VISITATION_RESPONSE,NO_FLORIVORE_RESPONSE_TO_DO_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,FLORAL_DAMAGE_TO_POLLINATOR_RESPONSE,damaged_visual_display_axis,within_experiment,MANIPULATED_FLORAL_DAMAGE,"Petal removal changes pollinator visitation, but florivory is represented by antecedent simulated damage rather than an antagonist response to the manipulated A and plant fitness is not measured.",Chile,Chile,NOT_REPORTED,NOT_REPORTED,field_experiment,single_site,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Loasa experiment removes petals at graded levels and measures pollinator visitation; retained as an induced/damage-state near-pass only."
SCHPRISMA-000225,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral phenotype altered by florivory,YES_SIMULATED_OR_STANDARDIZED_FLORAL_DAMAGE,YES_POLLINATOR_AND_FLORAL_VISITOR_PREFERENCE,NO_CAUSAL_FLORIVORE_RESPONSE_TO_DO_A,YES_FRUIT_AND_SEED_OUTCOMES,FLORIVORY_DAMAGE_TO_VISITORS_AND_FITNESS,damaged_floral_multimodal_axis,within_experiment,MANIPULATED_DAMAGE_WITH_VISITOR_AND_FITNESS_READOUT,"Damaged flowers alter legitimate and illegitimate visitor behavior and reproductive outcomes, but the florivore is the antecedent cause of A rather than a receiver responding to do(A); strict shared-cue conflict is not identified.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,field_experiment,single_system,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Solanum rostratum study links standardized florivory/damage to visitor attraction and reproduction; retained as a strong induced-state near-pass."
SCHPRISMA-000244,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Jacaranda study distinguishes mutualistic and antagonistic bee resource use and pollination effects, but the focal contrast is visitor role/resource exploitation rather than one declared floral attraction/display coordinate A."
SCHPRISMA-000251,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral damage level from florivory,NO_OBSERVATIONAL_NATURAL_DAMAGE_CLASSES,YES_FLORAL_VISITOR_RESPONSE,NO_FLORIVORE_RESPONSE_TO_DO_A,YES_FRUIT_AND_SEED_REPRODUCTIVE_SUCCESS,DAMAGE_ASSOCIATION_WITH_VISITORS_AND_FITNESS,damaged_flower_axis,within_population,OBSERVATIONAL_DAMAGE_GRADIENT,"Natural florivory covaries with floral visitation and reproductive success, but A is not randomized and antagonists are the source of damage rather than a response channel to A.",Mexico,Mexico,NOT_REPORTED,NOT_REPORTED,population,wetland_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Sagittaria study quantifies natural florivory categories, floral visitors and reproductive success; retained as a near-pass."
SCHPRISMA-000253,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flowering schedule and floral display differences between congeners,NO_COMPARATIVE_OBSERVATIONAL,YES_POLLINATOR_ACTIVITY,YES_FLOWER_AND_SEED_PREDATORS,YES_FRUIT_PRODUCTION,COMPARATIVE_COST_BENEFIT,phenology_and_display_axes,between_species,COMPARATIVE_FIELD_STUDY,"Pollinators and flower/seed predators jointly shape fruit production, but the floral axis is comparative rather than experimentally manipulated.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,species_pair,coflowering_congeners,NOT_REPORTED,NO_REPLICATED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Sequentially flowering congeners are compared for pollination, flower/seed predation and fruit production; retained as a comparative near-pass."
SCHPRISMA-000255,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory-induced architecture flowering phenology and floral display,NO_HERBIVORY_TREATMENT_IS_UPSTREAM_STATE,YES_FLOWER_VISITOR_ACTIVITY,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,YES_REPRODUCTIVE_SUCCESS,HERBIVORY_TO_FLORAL_STATE_TO_VISITORS_AND_REPRODUCTION,induced_architecture_and_phenology_axis,within_experiment,THESIS_FIELD_EXPERIMENT,"Herbivory changes architecture/phenology, visitor activity and reproduction, but the antagonist is an upstream treatment rather than a receiver responding to the floral coordinate.",North_America,USA,NOT_REPORTED,NOT_REPORTED,field_experiment,local_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Cirsium altissimum thesis links insect herbivory, architecture, flowering phenology, flower visitors and reproductive success; retained as an induced-state near-pass."
SCHPRISMA-000207,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Classic alkaloid experiment manipulates defensive chemistry/herbivory and follows pollination and seed fitness, but its manipulated coordinate is whole-plant defense rather than a declared floral attraction/display A."
SCHPRISMA-000217,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral morphology among Lithophragma species and sites,NO_COMPARATIVE_OBSERVATIONAL,YES_FLORAL_VISITOR_ASSEMBLAGE_AND_POLLINATION_EFFICACY,YES_GREYA_POLLINATING_FLORAL_PARASITE_ROLE,YES_SEED_SET_FOR_VISITOR_EFFICACY,GEOGRAPHIC_VISITOR_ASSEMBLAGE_AND_DUAL_ROLE_CONTEXT,floral_morphology_with_pollinating_floral_parasite,among_species_and_sites,COMPARATIVE_MULTISITE_FIELD_STUDY,"Geographically distinct communities differ in floral morphology and visitor assemblages including pollinating floral parasites, but A is not randomized and no common manipulated-A antagonist/pollinator surface is available.",California,USA,NOT_REPORTED,NOT_REPORTED,sites,Hopland_and_Hastings,MULTISITE,HOPLAND_VS_HASTINGS_FLORAL_VISITOR_COMMUNITIES,FLORAL_VISITOR_ASSEMBLAGES_DIFFER_BETWEEN_SITES,LITHOPHRAGMA_GEOGRAPHIC_VISITOR_MOSAIC,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Lithophragma study directly compares geographically distinct visitor assemblages, floral morphology and pollination efficacy around Greya; adds one joint geography-receiver record, not a strict experiment."
