record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000104,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,"Natural-history report documents nectar robbing by a wedge-billed hummingbird on a sicklebill-adapted Andean bellflower; legitimate pollination is system context, not a focal pollinator response measured against the same floral coordinate."
SCHPRISMA-000106,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,"The masting study models synchronized intermittent reproduction under pollen limitation and specialist seed predation, but the focal state is reproductive timing/seed production rather than a declared floral attraction or display coordinate evaluated by both audiences."
SCHPRISMA-000107,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,"The eutrophication dissertation analyzes bottom-up changes in flower-visitor, herbivore and parasitoid networks through plant-community composition; it does not evaluate one declared floral attraction/display coordinate A."
SCHPRISMA-000112,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory- and water-stress-associated floral volatile blend,NO_INDUCED_STATE_NOT_DIRECT_DO_A,YES_BUMBLEBEE_ODOR_CHOICE,NO_HERBIVORY_IS_ANTECEDENT_TREATMENT_NOT_RESPONSE_TO_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,INDUCED_STATE_TO_FLORAL_ODOR_TO_POLLINATOR,induced_floral_volatile_axis,within_experiment,MANIPULATED_STRESS_AND_HERBIVORY_WITH_ODOR_BIOASSAY,"Induced-state mechanism only: floral volatile changes alter bumblebee attraction, but the antagonist is the antecedent herbivore treatment rather than a receiver responding to the same A and no common plant fitness outcome is measured.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,"Full-text source shows combined water stress and whitefly herbivory alter Matthiola floral volatiles and bumblebee preference. Retained as a near-pass mechanism bridge, not a shared-A conflict test."
SCHPRISMA-000119,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,"The blueberry thesis evaluates carpenter-bee nectar robbery and fruit quality, but the focal contrast is robber damage/behavior rather than an independently declared floral attraction/display coordinate A."
SCHPRISMA-000120,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flower size / corolla access geometry,NO_OBSERVATIONAL,NO_SAME_A_POLLINATOR_RESPONSE_MEASURED,YES_NECTAR_ROBBING_BEHAVIOR,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,OBSERVATIONAL_ROBBER_TRAIT_ASSOCIATION,floral_access_geometry,within_population,OBSERVATIONAL_BEHAVIORAL_ASSOCIATION,"Antagonist/cheater use of flower-size geometry is identified, but the same-A legitimate pollinator response and plant reproductive outcome are absent.",Ireland,Ireland,NOT_REPORTED,NOT_REPORTED,naturalized_population,local_field_system,NOT_REPORTED,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,Fuchsia magellanica study links floral dimensions to bumblebee nectar-robbing behavior; retained as a one-channel shared-access near-pass.
SCHPRISMA-000122,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,within-tree flowering synchrony / phenological display,NO_OBSERVATIONAL,NO_DIRECT_POLLINATOR_RESPONSE_TO_DO_A,YES_DUAL_ROLE_WASP_LARVAE_ARE_SEED_PREDATORS,NO_COMMON_CAUSAL_REPRODUCTIVE_SURFACE,PHENOLOGICAL_COST_BENEFIT_TEST,temporal_display_axis_in_dual_role_pollinating_seed_predator_system,within_species,OBSERVATIONAL_PHENOLOGY_WITH_HYPOTHESIS_TEST,"Ficus phenological architecture is evaluated in a dual-role pollinating seed-predator system, but no manipulated A or paired receiver-response surface is identified; the proposed seasonality adaptation is rejected for F. aurea.",Florida,USA,NOT_REPORTED,NOT_REPORTED,within_tree_and_population,two_year_field_study,SINGLE_REGION,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_ASSEMBLAGE_CONTRAST,NORTHERN_RANGE_LIMIT_CONTEXT,NO_ANCESTRAL_STATE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,"Primary source tests costs and benefits of within-tree phenological synchrony in Ficus aurea, whose agaonid adults pollinate and larvae consume seeds. Retained as temporal-architecture near-pass only."
SCHPRISMA-000123,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,Duplicate bibliographic representation of the same 1992 Ficus aurea article retained as SCHPRISMA-000122; exclude from independent study counting.
SCHPRISMA-000125,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,"Silene stellata mating-system study compares nursery-pollinating seed predators and generalist pollination in reproductive-system terms, but does not evaluate a declared floral attraction/display coordinate A."
SCHPRISMA-000129,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH2_FULLTEXT_V13_2026-08-31,Chemical communication article is a broad synthesis/commentary rather than an independent primary shared-cue study; retain for citation chasing only.
