record_id,screen_title_abstract,screen_title_abstract_reason,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000008,RETAIN_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Primary geographic selection-mosaic study integrates pollinators, herbivores, floral traits and spatially varying selection."
SCHPRISMA-000009,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Review concerns sunflower resources/pollinator health; the parasite signal is a bee gut parasite, not a plant antagonist/exploiter acting through the focal floral signal."
SCHPRISMA-000011,RETAIN_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Relevant quantitative synthesis of herbivore effects on floral traits, pollinator attractiveness and plant reproductive success; retain for synthesis/source role adjudication."
SCHPRISMA-000015,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Primary CYP706A3 study measures floral volatile chemistry, florivory and microbiome effects; pollinators are background context rather than a measured pollinator response/service."
SCHPRISMA-000017,RETAIN_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Relevant synthesis explicitly tabulates keel-flower pollinators and pollen/nectar robbers; retain for synthesis/source-role adjudication."
SCHPRISMA-000018,RETAIN_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Relevant cucurbit synthesis explicitly covers floral scents/pigments, pollinators and antagonistic florivores; retain for synthesis/source-role adjudication."
SCHPRISMA-000019,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Primary floral-humidity study is a pollinator-only signal experiment; 'exploited as a cue' refers to pollinator cue use, not an antagonist/exploiter audience."
SCHPRISMA-000025,RETAIN_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Primary thesis manipulates herbivory and measures floral display, pollinator-mediated interactions and female reproductive output."
SCHPRISMA-000026,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Primary phylogenetic study concerns non-pollinating fig-wasp host specialization; no pollinator response/service channel is evaluated in the abstract."
SCHPRISMA-000030,RETAIN_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSISTED_SOURCE_VERIFIED_PRIMARY_SCREEN_2026-08-30,"Primary study: pollinators and herbivores impose selection on floral traits; retain for linked/evolutionary full-text adjudication."
