system,layer,target,evidence_status,implementation_status,empirical_execution_status,claim_ceiling,next_gate
GENERAL_SCH,theory,pure_function_optima_framework,THEORY_RECOVERED,IMPLEMENTED,NOT_APPLICABLE,theory_level_z_F1_z_F2_only,none
GENERAL_SCH,analysis,state_specific_compromise_analyzer,NOT_EMPIRICAL,IMPLEMENTED,NOT_YET_EXECUTED,analyzer_ready_not_positive_result,run_valid_z_x_P_x_G
GENERAL_SCH,analysis,pure_function_component_upgrade,NOT_EMPIRICAL,IMPLEMENTED,NOT_YET_EXECUTED,optional_context_stable_component_optima_only,positive_state_specific_surface
Pedicularis_rex,real_world,shared_exsertion_conflict,RECOVERED_FROM_PRIMARY_LITERATURE,NOT_APPLICABLE,EXISTING_OBSERVATIONAL_DATA,shared_conflict_not_causal_compromise,validate_multi_level_z
Pedicularis_rex,real_world,geographic_antagonist_weight_variation,RECOVERED_FROM_PRIMARY_LITERATURE,NOT_APPLICABLE,EXISTING_OBSERVATIONAL_DATA,external_functional_weight_variation,replicate_causal_surface_across_low_high_predation_contexts
Pedicularis_rex,stage_P0,multi_level_exsertion_manipulation,CONGENERIC_METHOD_PRECEDENT,IMPLEMENTED,NOT_YET_EXECUTED,manipulation_validity_only,collect_same_context_P0_data
Pedicularis_rex,stage_P1,pollination_weight_supplementation,POLLINATOR_DEPENDENCE_RECOVERED,IMPLEMENTED,NOT_YET_EXECUTED,pollination_weight_selectivity_only,collect_same_context_supplementation_pilot
Pedicularis_rex,deprecated_G,water_defence_as_SCH_antagonist_weight,CAUSAL_FUNCTION_RECOVERED_FROM_PRIMARY_EXPERIMENT,DEPRECATED_FOR_SCH_TO_BITA_CHAIN,NOT_TO_BE_USED_FOR_REFERENCE_SURFACE,functional_water_y_evidence_only,use_as_BITA_D1_precedent_not_SCH_G
Pedicularis_rex,stage_G2,independent_seed_predator_effect_selectivity,OVIPOSITION_WINDOW_NATURAL_HISTORY_RECOVERED,IMPLEMENTED,NOT_YET_EXECUTED,independent_antagonist_weight_selectivity_only,validate_EXPOSED_vs_EXCLUDED_with_water_y_fixed
Pedicularis_rex,stage_G3,timed_predator_exclusion_method,POST_POLLINATION_SHIELDING_PRECEDENT_RECOVERED_OUTSIDE_PEDICULARIS,IMPLEMENTED,NOT_YET_EXECUTED,method_timing_and_pollinator_access_only,qualify_post_pollination_or_local_barrier_in_P_rex
Pedicularis_rex,readiness,z_P_methodqualifiedG_same_context_gate,NOT_EMPIRICAL,IMPLEMENTED,NOT_YET_EXECUTED,execution_readiness_only,obtain_z_P_and_SCH_PEDICULARIS_PREDATOR_METHOD_V3_positive_receipts_same_context
Pedicularis_rex,chapter1_full_surface_v1,water_G_surface,NOT_EMPIRICAL,DEPRECATED_FOR_SAME_SPECIES_BITA,DO_NOT_USE_FOR_BITA_REFERENCE,acute_water_mechanism_only,use_V2
Pedicularis_rex,chapter1_full_surface_v2,causal_compromise_surface_independent_G,SHARED_CONFLICT_REALITY_RECOVERED,IMPLEMENTED,NOT_YET_EXECUTED,state_specific_causal_compromise_if_positive,PEDICULARIS_FULL_SURFACE_READINESS_V3_then_run_V2_surface
Dalechampia,real_world,stabilizing_compromise_case,RECOVERED_FROM_PRIMARY_LITERATURE,STAGE0_IMPLEMENTED,NOT_YET_CAUSALLY_CLOSED,case_level_compromise_not_species_wide,qualify_conflict_active_population_and_selective_G
Nicotiana_attenuata,real_world,same_coordinate_pollinator_antagonist_response,RECOVERED_FROM_PRIMARY_LITERATURE,PILOT_CONTRACT_IMPLEMENTED,NOT_YET_CAUSALLY_CLOSED,local_shared_coordinate_mechanism_only,combined_P_G_selectivity
Castilleja_linariaefolia,real_world,short_path_opposing_selection,RECOVERED_FROM_PRIMARY_LITERATURE,AUDIT_IMPLEMENTED,NOT_YET_CAUSALLY_CLOSED,observational_opposing_selection_only,direct_z_manipulation_and_selective_predator_intervention
Platycodon_grandiflorus,negative_control,aligned_multifunctionality,RECOVERED_FROM_EXPERIMENTAL_LITERATURE,NOT_APPLICABLE,EXISTING_EXPERIMENT,multifunctionality_without_conflict,retain_as_negative_control
